URY Website,موقع المطعم
URY Website Image,صور موقع المطعم
URY Website Hours,أوقات عمل موقع المطعم
Page Address,عنوان رابط الصفحة
Display Name,الاسم الظاهر للزوار
Design & Identity,التصميم والهوية
Cover Image,صورة الغلاف
Introductory Label,العبارة الافتتاحية
Headline,العنوان الرئيسي
Introduction,النص التعريفي
Show Our Story,إظهار حكاية المطعم
Story Heading,عنوان الحكاية
Our Story,حكاية المطعم
Story Image,صورة الحكاية
Show Menu,إظهار قائمة الطعام
Public Menu,قائمة الطعام للزوار
Menu Note,ملاحظة قائمة الطعام
Visit & Contact,الزيارة والتواصل
Public Address,العنوان الظاهر للزوار
Public Phone,رقم التواصل للزوار
Map Link,رابط الموقع على الخريطة
Instagram Link,رابط إنستغرام
Opening Hours,أوقات العمل
Online Reservations,الحجز الإلكتروني
Accept Online Reservations,استقبال الحجوزات الإلكترونية
Sitting Duration (Minutes),مدة الجلسة بالدقائق
Minimum Advance Notice (Minutes),الحد الأدنى للحجز المسبق بالدقائق
Booking Horizon (Days),عدد الأيام المتاحة للحجز المسبق
Maximum Guests per Online Booking,الحد الأقصى للأشخاص في الحجز الإلكتروني
Reservation Policy,سياسة الحجز
Privacy Notice,بيان الخصوصية
Search & Sharing,محركات البحث والمشاركة
Search Title,عنوان محركات البحث
Search Description,وصف محركات البحث
Preview Website,معاينة الموقع
Open Website,فتح الموقع
Opens,وقت الفتح
Closes,وقت الإغلاق
Olive,زيتوني
Terracotta,طيني
Midnight,أزرق داكن
Website Request ID,معرّف طلب الموقع
This table is already reserved for the selected time.,هذه الطاولة محجوزة في الموعد المحدد.
