About,O,
Add Item,Dodaj stavku,
Additional Details,Dodatni Detalji,
Address,Adresa,
All,Sve,
Amended From,Izmijenjena Od,
Amount,Iznos,
Apps,Aplikacije,
Bill,račun,
Branch,Ogranak,
Buying Price List,Kupovni cjenovnik,
Cancelled,Otkazano,
Cashier,Blagajna,
Click Enter To Add,Kliknite Enter za dodavanje,
Closing Amount,Završni iznos,
Comment,Komentar,
Comments,Komentari,
Company,Preduzeće,
Cost Per Unit,Trošak po Jedinici,
Cost of Goods Sold,Troškovi prodane robe,
Current Order,Trenutna porudžbina,
Customer,Kupci,
Customer Name,Naziv kupca,
Date,Datum,
Default Price List,Zadani cjenik,
Default Tax Template,Podrazumevani obrazac poreza,
Delivery,Isporuka,
Depreciation,Amortizacija,
Details,Detalji,
Difference,Razlika,
Direct Expenses,Direktni troškovi,
Disabled,Ugašeno,
Draft,Draft,
Duplicate,Duplikat,
Enabled,Omogućeno,
Expected Amount,Očekivani iznos,
Expense,rashod,
Failed,Nije uspio,
Frappe Support,Frappe podrška,
Grand Total,Ukupno za platiti,
Image,Slika,
Indirect Expenses,Neizravni troškovi,
Invoice,Faktura,
Invoice Created,Izrada fakture,
Invoice Series Prefix,Prefix serije računa,
Item,Artikl,
Item Group,Grupa artikla,
Item Groups,stavka grupe,
Item Name,Naziv predmeta,
Items,Artikli,
Keyboard Shortcuts,Prečice na tastaturi,
Linked Invoices,Povezane fakture,
Log out,Odjava,
Material,Materijal,
Menu,Meni,
Minimum Seating,Minimalno sedenje,
Mobile Number,Broj mobitela,
Mode of Payment,Način plaćanja,
My Profile,Moj profil,
My Settings,Moje postavke,
Net Profit/Loss,Neto dobit / gubitak,
Net Total,Osnovica,
No of Seats,Broj sedišta,
Occupied,Zauzeti,
Opening Amount,Iznos otvaranja,
Order,Redoslijed,
Order No,Broj Naloga,
Order Status,Status Nalog,
Order Type,Vrsta narudžbe,
POS Invoice,POS faktura,
POS Opening Entry,POS otvaranje,
POS Profile,POS profil,
POS Transactions,POS transakcije,
Payment Amount,Plaćanje Iznos,
Payment Reconciliation,Pomirenje plaćanja,
Payment Type,Vrsta plaćanja,
Percent,Procenat,
Period Details,Detalji Perioda,
Period End Date,Datum završetka perioda,
Period Start Date,Datum početka perioda,
Posting Date,Objavljivanje Datum,
Posting Time,Objavljivanje Vrijeme,
Price List (Auto created),Cenovnik (Automatski kreiran),
Print,Ispis,
Printer,Štampač,
Printer Settings,Postavke štampača,
Priority,Prioritet,
Production,Proizvodnja,
Qty,Kol,
Quantity,Količina,
Queued,Na čekanju,
Rate,Cijena,
Reason,Razlog,
Receiver By Role,Primalac po ulozi,
Recipients,Primatelji,
Reload,Ponovo učitaj,
Remarks,Primjedbe,
Restaurant,Restoran,
Restaurant Menu,Restoran meni,
Restaurant Table,Restoran Stol,
Role,Uloga,
Room,soba,
Room Type,Tip sobe,
Session Defaults,Sesije zadano,
Status,Status,
Submitted,Potvrđeno,
Summary,Sažetak,
System Manager,System Manager,
Table,Table,
Tax,Porez,
Time,Vreme,
Toggle Full Width,Prebaci punu širinu,
Toggle Theme,Prebaci temu,
Total Quantity,Ukupna količina,
Type,Vrsta,
User,User,
User Details,Detalji o korisniku,
Verified,Provjereno,
View Website,Pogledaj web stranicu,
Warehouse,Skladište,
user,korisnik,
