Add Item,Afegeix element,
Additional Details,Detalls addicionals,
Address,Adreça,
All,Tots,
Amended From,Modificada Des de,
Amount,Quantitat,
Bill,projecte de llei,
Branch,Branca,
Buying Price List,Llista de preus de compra,
Cancelled,CANCERAT,
Cashier,Caixer,
Click Enter To Add,Feu clic a Intro per afegir,
Closing Amount,Import de tancament,
Comment,Comentar,
Comments,Comentaris,
Company,Empresa,
Cost of Goods Sold,Cost de Vendes,
Current Order,Ordre actual,
Customer,Client,
Customer Name,Nom del client,
Date,Data,
Default Price List,Llista de preus per defecte,
Default Tax Template,Plantilla d&#39;impostos predeterminada,
Delivery,Lliurament,
Depreciation,Depreciació,
Details,Detalls,
Difference,Diferència,
Direct Expenses,Despeses directes,
Disabled,Deshabilitat,
Draft,Esborrany,
Duplicate,Duplicar,
Enabled,Activat,
Expected Amount,Quantia esperada,
Expense,Despesa,
Failed,Fracassat,
Grand Total,Gran Total,
Image,Imatge,
Indirect Expenses,Despeses indirectes,
Invoice,Factura,
Invoice Created,Factura creada,
Invoice Series Prefix,Prefix de la sèrie de factures,
Item,Article,
Item Group,Grup d'articles,
Item Groups,els grups d&#39;articles,
Item Name,Nom de l&#39;ítem,
Items,Articles,
Keyboard Shortcuts,Dreceres de teclat,
Linked Invoices,Factures enllaçades,
Material,Material,
Menu,Menú,
Minimum Seating,Seient mínim,
Mobile Number,Número de mòbil,
Mode of Payment,Mode de pagament,
Net Profit/Loss,Resultat / pèrdua neta,
Net Total,Total net,
No of Seats,No de seients,
Occupied,Ocupada,
Opening Amount,Import inicial,
Order,ordre,
Order Type,Tipus d'ordre,
POS Invoice,Factura TPV,
POS Opening Entry,Entrada d&#39;obertura TPV,
POS Profile,POS Perfil,
POS Transactions,Transaccions TPV,
Payment Amount,Quantitat de pagament,
Payment Reconciliation,Reconciliació de Pagaments,
Payment Type,Tipus de pagament,
Percent,Per cent,
Period End Date,Data de finalització del període,
Period Start Date,Data d&#39;inici del període,
Posting Date,Data de publicació,
Posting Time,Temps d'enviament,
Price List (Auto created),Llista de preus (creada automàticament),
Print,Imprimir,
Printer,Impressora,
Printer Settings,Configuració de la impressora,
Priority,Prioritat,
Production,Producció,
Qty,Quantitat,
Quantity,Quantitat,
Queued,En cua,
Rate,Tarifa,
Reason,Raó,
Receiver By Role,Receptor per funció,
Recipients,Destinataris,
Reload,Recarregar,
Remarks,Observacions,
Restaurant,Restaurant,
Restaurant Menu,Menú de restaurant,
Restaurant Table,Taula de restaurants,
Role,Rol,
Room,habitació,
Room Type,Tipus d&#39;habitació,
Session Defaults,Defectes predeterminats de la sessió,
Status,Estat,
Submitted,Enviat,
Summary,Resum,
System Manager,Administrador del sistema,
Table,Taula,
Tax,Impost,
Time,Temps,
Total Quantity,Quantitat total,
Type,Tipus,
User,Usuari,
User Details,Detalls de l&#39;usuari,
Verified,Verificat,
View Website,Veure Lloc Web,
Warehouse,Magatzem,
user,usuari,
