Add Item,Přidat položku,
Additional Details,další detaily,
Address,Adresa,
All,Všechno,
Amended From,Platném znění,
Amount,Částka,
Bill,Účet,
Branch,Větev,
Buying Price List,Nákupní ceník,
Cancelled,Zrušeno,
Cashier,Pokladní,
Click Enter To Add,Klepněte na tlačítko Zadat pro přidání,
Closing Amount,Konečná částka,
Comment,Komentář,
Comments,Komentáře,
Company,Společnost,
Cost of Goods Sold,Náklady na prodej zboží,
Current Order,Aktuální objednávka,
Customer,Zákazník,
Customer Name,Jméno zákazníka,
Date,Datum,
Default Price List,Výchozí Ceník,
Default Tax Template,Výchozí daňová šablona,
Delivery,dodávka,
Depreciation,Znehodnocení,
Details,Podrobnosti,
Difference,Rozdíl,
Direct Expenses,Přímé náklady,
Disabled,Vypnuto,
Draft,Návrh,
Duplicate,Duplikát,
Enabled,Zapnuto,
Expected Amount,Očekávaná částka,
Expense,Výdaj,
Failed,Nepodařilo,
Grand Total,Celkem,
Image,Obrázek,
Indirect Expenses,Nepřímé náklady,
Invoice,Faktura,
Invoice Created,Faktura byla vytvořena,
Invoice Series Prefix,Předvolba série faktur,
Item,Položka,
Item Group,Skupina položek,
Item Groups,Položka Skupiny,
Item Name,Název položky,
Items,Položky,
Keyboard Shortcuts,Klávesové zkratky,
Linked Invoices,Linkované faktury,
Material,Materiál,
Menu,Menu,
Minimum Seating,Minimální počet sedadel,
Mobile Number,Telefonní číslo,
Mode of Payment,Režim platby,
Net Profit/Loss,Čistý zisk / ztráta,
Net Total,Net Total,
No of Seats,Počet sedadel,
Occupied,Obsazený,
Opening Amount,Počáteční částka,
Order,Objednat,
Order Type,Typ objednávky,
POS Invoice,POS faktura,
POS Opening Entry,Otevírací vstup POS,
POS Profile,POS Profile,
POS Transactions,POS transakce,
Payment Amount,Částka platby,
Payment Reconciliation,Platba Odsouhlasení,
Payment Type,Typ platby,
Percent,Procento,
Period End Date,Datum konce období,
Period Start Date,Datum zahájení období,
Posting Date,Datum zveřejnění,
Posting Time,Čas zadání,
Price List (Auto created),Ceník (vytvořeno automaticky),
Print,Tisk,
Printer,Tiskárna,
Printer Settings,Nastavení tiskárny,
Priority,Priorita,
Production,Výroba,
Qty,Množství,
Quantity,Množství,
Queued,Ve frontě,
Rate,Cena,
Reason,Důvod,
Receiver By Role,Přijímač podle role,
Recipients,Příjemci,
Reload,Znovu načíst,
Remarks,Poznámky,
Restaurant,Restaurace,
Restaurant Menu,Nabídka restaurací,
Restaurant Table,Restaurace Tabulka,
Role,Role,
Room,Pokoj,
Room Type,Typ pokoje,
Session Defaults,Výchozí nastavení relace,
Status,Stav,
Submitted,Vloženo,
Summary,souhrn,
System Manager,Správce systému,
Table,Tabulka,
Tax,Daň,
Time,Čas,
Total Quantity,Celkové množství,
Type,Typ,
User,Uživatel,
User Details,Detaily uživatele,
Verified,Ověřeno,
View Website,K webové stránce,
Warehouse,Sklad,
user,uživatel,
