Add Item,Tilføj vare,
Additional Details,Yderligere detaljer,
Address,Adresse,
All,Alle,
Amended From,Ændret Fra,
Amount,Beløb,
Bill,Faktureres,
Branch,Filial,
Buying Price List,Købsprisliste,
Cancelled,Annulleret,
Cashier,Kasserer,
Click Enter To Add,Klik på Enter for at tilføje,
Closing Amount,Afslutningsbeløb,
Comment,Kommentar,
Comments,Kommentarer,
Company,Firma,
Cost of Goods Sold,Vareforbrug,
Current Order,Nuværende ordre,
Customer,Kunde,
Customer Name,Kundennavn,
Date,Dato,
Default Price List,Standardprisliste,
Default Tax Template,Standard skat skabelon,
Delivery,Levering,
Depreciation,Afskrivninger,
Details,Detaljer,
Difference,Forskel,
Direct Expenses,Direkte udgifter,
Disabled,Deaktiveret,
Draft,Udkast,
Duplicate,Duplikér,
Enabled,Aktiv,
Expected Amount,Forventet beløb,
Expense,Udlæg,
Failed,Mislykkedes,
Grand Total,Beløb i alt,
Image,Billede,
Indirect Expenses,Indirekte udgifter,
Invoice,Faktura,
Invoice Created,Faktura er oprettet,
Invoice Series Prefix,Faktura Serie Prefix,
Item,Vare,
Item Group,Varegruppe,
Item Groups,Varegrupper,
Item Name,Varenavn,
Items,Varer,
Keyboard Shortcuts,Tastaturgenveje,
Linked Invoices,Tilknyttede fakturaer,
Material,Materiale,
Menu,Menu,
Minimum Seating,Mindste plads,
Mobile Number,Mobiltelefonnr.,
Mode of Payment,Betalingsmåde,
Net Profit/Loss,Netto fortjeneste / tab,
Net Total,Netto i alt,
No of Seats,Ingen pladser,
Occupied,Optaget,
Opening Amount,Åbningsbeløb,
Order,Bestille,
Order Type,Bestil Type,
POS Invoice,POS-faktura,
POS Opening Entry,POS åbningsindgang,
POS Profile,Kassesystemprofil,
POS Transactions,POS-transaktioner,
Payment Amount,Betaling Beløb,
Payment Reconciliation,Afstemning af betalinger,
Payment Type,Betalingstype,
Percent,procent,
Period End Date,Periode Slutdato,
Period Start Date,Periode Startdato,
Posting Date,Bogføringsdato,
Posting Time,Bogføringsdato og -tid,
Price List (Auto created),Prisliste (Auto oprettet),
Print,Print,
Printer,Printer,
Printer Settings,Printerindstillinger,
Priority,Prioritet,
Production,Produktion,
Qty,Antal,
Quantity,Mængde,
Queued,Sat i kø,
Rate,Sats,
Reason,Årsag,
Receiver By Role,Modtager efter rolle,
Recipients,Modtagere,
Reload,Genindlæs,
Remarks,Bemærkninger,
Restaurant,Restaurant,
Restaurant Menu,Restaurant Menu,
Restaurant Table,Restaurantbord,
Role,Rolle,
Room,Værelse,
Room Type,Værelses type,
Session Defaults,Standard for session,
Status,Status,
Submitted,Godkendt,
Summary,Resumé,
System Manager,System Manager,
Table,Tabel,
Tax,Skat,
Time,Tid,
Total Quantity,Samlet mængde,
Type,Type,
User,Bruger,
User Details,Brugeroplysninger,
Verified,Verified,
View Website,Se hjemmeside,
Warehouse,Lager,
user,bruger,
