About,Über,
Add Item,Artikel hinzufügen,
Additional Details,Weitere Details,
Address,Adresse,
All,Alle,
Amended From,Abgeändert von,
Amount,Betrag,
Apps,Apps,
Bill,Rechnung,
Branch,Betrieb,
Buying Price List,Kauf Preisliste,
Cancelled,Abgesagt,
Cashier,Kasse,
Click Enter To Add,Klicken Sie zum Hinzufügen auf Hinzufügen.,
Closing Amount,Schlussbetrag,
Comment,Kommentar,
Comments,Kommentare,
Company,Unternehmen,
Cost Per Unit,Kosten pro Einheit,
Cost of Goods Sold,Selbstkosten,
Current Order,Aktueller Auftrag,
Customer,Kunde,
Customer Name,Kundenname,
Date,Datum,
Default Price List,Standardpreisliste,
Default Tax Template,Standardsteuervorlage,
Delivery,Auslieferung,
Depreciation,Abschreibung,
Details,Details,
Difference,Unterschied,
Direct Expenses,Direkte Aufwendungen,
Disabled,Deaktiviert,
Draft,Entwurf,
Duplicate,Duplizieren,
Enabled,Aktiviert,
Expected Amount,Erwarteter Betrag,
Expense,Aufwand,
Failed,Fehlgeschlagen,
Frappe Support,Frappe Support,
Grand Total,Gesamtbetrag,
Image,Bild,
Indirect Expenses,Indirekte Aufwendungen,
Invoice,Rechnung,
Invoice Created,Rechnung erstellt,
Invoice Series Prefix,Rechnungsserie Präfix,
Item,Artikel,
Item Group,Artikelgruppe,
Item Groups,Artikelgruppen,
Item Name,Artikelname,
Items,Artikel,
Keyboard Shortcuts,Tastaturkürzel,
Linked Invoices,Verknüpfte Rechnungen,
Log out,Abmelden,
Material,Material,
Menu,Menü,
Minimum Seating,Mindestbestuhlung,
Mobile Number,Mobilfunknummer,
Mode of Payment,Zahlungsart,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Net Profit/Loss,Nettogewinn (-verlust,
Net Total,Nettosumme,
No of Seats,Anzahl der Sitze,
Occupied,Besetzt,
Opening Amount,Eröffnungsbetrag,
Order,Auftrag,
Order Status,Bestellstatus,
Order Type,Bestellart,
POS Invoice,POS-Rechnung,
POS Opening Entry,POS-Eröffnungseintrag,
POS Profile,Verkaufsstellen-Profil,
POS Transactions,POS-Transaktionen,
Payment Amount,Zahlungsbetrag,
Payment Reconciliation,Zahlungsabgleich,
Payment Type,Zahlungsart,
Percent,Prozent,
Period Details,Periode Details,
Period End Date,Enddatum des Zeitraums,
Period Start Date,Zeitraum des Startdatums,
Posting Date,Buchungsdatum,
Posting Time,Buchungszeit,
Price List (Auto created),Preisliste (automatisch erstellt),
Print,Drucken,
Printer,Drucker,
Printer Settings,Druckereinstellungen,
Priority,Priorität,
Production,Produktion,
Qty,Menge,
Quantity,Menge,
Queued,Warteschlange,
Rate,Preis,
Reason,Grund,
Receiver By Role,Empfänger nach Rolle,
Recipients,Empfänger,
Reload,Neu laden,
Remarks,Bemerkungen,
Report an Issue,Ein Problem melden,
Restaurant,Restaurant,
Restaurant Menu,Speisekarte,
Restaurant Table,Restaurant-Tisch,
Role,Rolle,
Room,Zimmer,
Room Type,Zimmertyp,
Session Defaults,Sitzungsstandards,
Status,Status,
Submitted,Gebucht,
Summary,Zusammenfassung,
System Manager,System-Manager,
Table,Tabelle,
Tax,Steuer,
Time,Zeit,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Total Quantity,Gesamtmenge,
Type,Typ,
User,Nutzer,
User Details,Nutzerdetails,
User Forum,Anwenderforum,
Verified,Verifiziert,
View Website,Webseite anzeigen,
Warehouse,Lager,
user,Nutzer,
