Add Item,Πρόσθεσε είδος,
Additional Details,Επιπλέον Λεπτομέρειες,
Address,Διεύθυνση,
All,Ολα,
Amended From,Τροποποίηση από,
Amount,Ποσό,
Bill,Νομοσχέδιο,
Branch,Υποκατάστημα,
Buying Price List,Αγορά Τιμοκατάλογων,
Cancelled,Ακυρώθηκε,
Cashier,Ταμίας,
Click Enter To Add,Κάντε κλικ στο Enter to Add,
Closing Amount,Ποσό κλεισίματος,
Comment,Σχόλιο,
Comments,Σχόλια,
Company,Εταιρεία,
Cost of Goods Sold,Κόστος πωληθέντων,
Current Order,Τρέχουσα διαταγή,
Customer,Πελάτης,
Customer Name,Όνομα πελάτη,
Date,Ημερομηνία,
Default Price List,Προεπιλεγμένος τιμοκατάλογος,
Default Tax Template,Προκαθορισμένο πρότυπο φόρου,
Delivery,Παράδοση,
Depreciation,Απόσβεση,
Details,Λεπτομέρειες,
Difference,Διαφορά,
Direct Expenses,Άμεσες δαπάνες,
Disabled,Απενεργοποιημένο,
Draft,Προσχέδιο,
Duplicate,Διπλότυπο,
Enabled,Ενεργοποιημένο,
Expected Amount,Αναμενόμενο ποσό,
Expense,Δαπάνη,
Failed,Αποτυχία,
Grand Total,Γενικό σύνολο,
Image,Εικόνα,
Indirect Expenses,Έμμεσες δαπάνες,
Invoice,Τιμολόγιο,
Invoice Created,Δημιουργήθηκε τιμολόγιο,
Invoice Series Prefix,Πρόθεμα σειράς τιμολογίων,
Item,Είδος,
Item Group,Ομάδα ειδών,
Item Groups,Ομάδες στοιχείο,
Item Name,Ονομα προϊόντος,
Items,Είδη,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Linked Invoices,Συνδεδεμένα τιμολόγια,
Material,Υλικό,
Menu,Μενού,
Minimum Seating,Ελάχιστη χωρητικότητα,
Mobile Number,Αριθμός κινητού,
Mode of Payment,Τρόπος Πληρωμής,
Net Profit/Loss,Καθαρά κέρδη / ζημίες,
Net Total,Καθαρό Σύνολο,
No of Seats,Αριθμός καθισμάτων,
Occupied,Κατειλημμένος,
Opening Amount,Ποσό ανοίγματος,
Order,Σειρά,
Order Type,Τύπος παραγγελίας,
POS Invoice,Τιμολόγιο POS,
POS Opening Entry,Είσοδος ανοίγματος POS,
POS Profile,POS Προφίλ,
POS Transactions,Συναλλαγές POS,
Payment Amount,Ποσό πληρωμής,
Payment Reconciliation,Συμφωνία πληρωμής,
Payment Type,Τύπος πληρωμής,
Percent,Τοις εκατό,
Period End Date,Ημερομηνία λήξης περιόδου,
Period Start Date,Ημερομηνία έναρξης περιόδου,
Posting Date,Ημερομηνία αποστολής,
Posting Time,Ώρα αποστολής,
Price List (Auto created),Τιμοκατάλογος (Δημιουργήθηκε αυτόματα),
Print,Τυπώνω,
Printer,Εκτυπωτής,
Printer Settings,Ρυθμίσεις εκτυπωτή,
Priority,Προτεραιότητα,
Production,Παραγωγή,
Qty,Ποσότητα,
Quantity,Ποσότητα,
Queued,Στην ουρά,
Rate,Τιμή,
Reason,Αιτιολογία,
Receiver By Role,Παραλήπτης ανά ρόλο,
Recipients,Παραλήπτες,
Reload,Επαναφόρτωση,
Remarks,Παρατηρήσεις,
Restaurant,Εστιατόριο,
Restaurant Menu,Εστιατόριο μενού,
Restaurant Table,Πίνακας εστιατορίων,
Role,Ρόλος,
Room,Δωμάτιο,
Room Type,Τύπος δωματίου,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Status,Κατάσταση,
Submitted,Υποβλήθηκε,
Summary,Περίληψη,
System Manager,Διαχειριστής συστήματος,
Table,Πίνακας,
Tax,Φόρος,
Time,χρόνος,
Total Quantity,Συνολική ποσότητα,
Type,Τύπος,
User,Χρήστης,
User Details,Λεπτομέρειες χρήστη,
Verified,Επαληθεύτηκε,
View Website,Δείτε την ιστοσελίδα,
Warehouse,Αποθήκη,
user,χρήστης,
