URY, ExPOS,
URY Menu, ExPOS Menu,
URY Restaurant, ExPOS Restaurant,
URY Menu Course, ExPOS Menu Course,
URY Table, ExPOS Table,
URY Room, ExPOS Room,
URY KOT, ExPOS KOT,
URY KOT Items, ExPOS KOT Items,
URY User, ExPOS User,
URY Report Settings, ExPOS Report Settings,
URY Order, ExPOS Order,
URY Daily P and L, ExPOS Daily P and L,
URY Materials, ExPOS Materials,
URY Notification Recipient, ExPOS Notification Recipient,
URY Order Item, ExPOS Order Item,
URY P and L Breakup, ExPOS P and L Breakup,
URY Variable Expenses, ExPOS Variable Expenses,
URY Fixed Expenses, ExPOS Fixed Expenses,
URY Printer Settings, ExPOS Printer Expenses,
URY Production Item Groups, ExPOS Production Item Groups,
URY KOT Error Log, ExPOS KOT Error Log,
URY Cost Of Goods, ExPOS Cost Of Goods

