About,crwdns112978:0crwdne112978:0,
Address,crwdns113204:0crwdne113204:0,
All,crwdns113294:0crwdne113294:0,
Amended From,crwdns143898:0crwdne143898:0,
Apps,crwdns148374:0crwdne148374:0,
Cancelled,crwdns114378:0crwdne114378:0,
Comment,crwdns114860:0crwdne114860:0,
Comments,crwdns114880:0crwdne114880:0,
Company,crwdns114910:0crwdne114910:0,
Date,crwdns115580:0crwdne115580:0,
Details,crwdns115872:0crwdne115872:0,
Disabled,crwdns115922:0crwdne115922:0,
Draft,crwdns116322:0crwdne116322:0,
Duplicate,crwdns116344:0crwdne116344:0,
Enabled,crwdns116704:0crwdne116704:0,
Failed,crwdns145050:0crwdne145050:0,
Frappe Support,crwdns117604:0crwdne117604:0,
Image,crwdns145494:0crwdne145494:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Log out,crwdns119460:0crwdne119460:0,
Menu,crwdns119722:0crwdne119722:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
Order,crwdns146268:0crwdne146268:0,
Percent,crwdns146376:0crwdne146376:0,
Print,crwdns121600:0crwdne121600:0,
Printer,crwdns121692:0crwdne121692:0,
Printer Settings,crwdns121698:0crwdne121698:0,
Priority,crwdns121706:0crwdne121706:0,
Queued,crwdns121882:0crwdne121882:0,
Reason,crwdns122016:0crwdne122016:0,
Receiver By Role,crwdns146592:0crwdne146592:0,
Recipients,crwdns146600:0crwdne146600:0,
Reload,crwdns122270:0crwdne122270:0,
Role,crwdns122644:0crwdne122644:0,
Session Defaults,crwdns123422:0crwdne123422:0,
Status,crwdns123998:0crwdne123998:0,
Submitted,crwdns124158:0crwdne124158:0,
Summary,crwdns124238:0crwdne124238:0,
System Manager,crwdns124296:0crwdne124296:0,
Table,crwdns124320:0crwdne124320:0,
Time,crwdns124730:0crwdne124730:0,
Toggle Full Width,crwdns124932:0crwdne124932:0,
Toggle Theme,crwdns124940:0crwdne124940:0,
Type,crwdns125110:0crwdne125110:0,
User,crwdns125394:0crwdne125394:0,
User Details,crwdns147644:0crwdne147644:0,
Verified,crwdns147706:0crwdne147706:0,
View Website,crwdns125722:0crwdne125722:0,
Warehouse,crwdns147730:0crwdne147730:0,
user,crwdns148244:0crwdne148244:0,
