AC,Con Aire Acondicionado,
About,Acerca de,
Add Item,Añadir artículo,
Additional Details,Detalles adicionales,
Address,Dirección,
Aggregator Series Prefix,Prefijo de Serie de Agregador,
All,Todos,
Amended From,Modificado Desde,
Amount,Monto,
Apps,Apps,
Bill,Cuenta,
Branch,Sucursal,
Buying Price List,Lista de precios de compra,
Cancelled,Cancelado,
Cashier,Cajero,
Click Enter To Add,Haga clic en Entrar para Agregar,
Closing Amount,Monto de cierre,
Comment,Comentario,
Comments,Comentarios,
Company,Compañía,
Cost Per Unit,Costo por Unidad,
Cost of Goods Sold,Costo sobre ventas,
Course,Plato,
Current Order,Orden actual,
Customer,Cliente,
Customer Name,Nombre del Cliente,
Date,Fecha,
Default Price List,Lista de precios por defecto,
Default Room,Sala por Defecto,
Default Tax Template,Plantilla de Impuestos por Defecto,
Delivery,Entrega a Domicilio,
Depreciation,DEPRECIACIONES,
Details,Detalles,
Difference,Diferencia,
Direct Expenses,Gastos directos,
Disabled,Deshabilitado,
Documentation,Documentación,
Draft,Borrador,
Duplicate,Duplicar,
Enabled,Habilitado,
Expected Amount,Monto Esperado,
Expense,Gasto,
Failed,Falló,
Frappe Support,Soporte de Frappe,
Grand Total,Total General,
Gross Sales,Ventas Brutas,
Image,Imagen,
Indirect Expenses,Egresos indirectos,
Invoice,Factura,
Invoice Created,Factura creada,
Invoice Series Prefix,Prefijo de Serie de Facturas,
Item,Elemento,
Item Group,Grupo de Productos,
Item Groups,Grupos de productos,
Item Name,Nombre del Producto,
Items,Productos,
KOT,Orden de Cocina,
KOT Items,Ítems de Orden de Cocina,
Keyboard Shortcuts,Atajos de teclado,
Linked Invoices,Facturas Vinculadas,
Log out,Cerrar sesión,
Material,Material,
Menu,Menú,
Menu For Room,Menú para Sala,
Minimum Seating,Asientos Mínimos,
Mobile Number,Número de Móvil,
Mode of Payment,Modo de pago,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
NON-AC,Sin Aire Acondicionado,
Net Profit/Loss,Beneficio neto (pérdidas,
Net Sales,Ventas Netas,
Net Total,Total neto,
No of Seats,Nro de Asientos,
Occupied,Ocupado,
Opening Amount,Importe de apertura,
Order,Orden,
Order Status,Estado de la Orden,
Order Type,Tipo de Orden,
Order Type Menu,Menú de Tipo de Orden,
Order Type Wise Menu,Menú por Tipo de Orden,
POS Invoice,Factura POS,
POS Opening Entry,Entrada de apertura POS,
POS Profile,Perfil POS,
POS Transactions,Transacciones POS,
Payment Amount,Importe Pagado,
Payment Reconciliation,Conciliación de pagos,
Payment Type,Tipo de pago,
Percent,Por ciento,
Percentage Type,Tipo de Porcentaje,
Period Details,Detalles del periodo,
Period End Date,Fecha de Fin del Período,
Period Start Date,Fecha de Inicio del Período,
Phone In,Por Teléfono,
Posting Date,Fecha de Publicación,
Posting Time,Hora de Contabilización,
Price List (Auto created),Lista de Precios (Creada Automáticamente),
Print,Impresión,
Printer,Impresora,
Printer Settings,Configuración de la impresora,
Priority,Prioridad,
Production,Producción,
Qty,Cant,
Quantity,Cantidad,
Queued,En cola,
Rate,Tarifa,
Reason,Razón,
Receiver By Role,Receptor por función,
Recipients,Destinatarios,
Rectangle,Rectángulo,
Reload,Recargar,
Remarks,Observaciones,
Restaurant,Restaurante,
Restaurant Menu,Menú del Restaurante,
Restaurant Room,Sala del Restaurante,
Restaurant Table,Mesa de Restaurante,
Role,Rol,
Room,Sala,
Room Type,Tipo de Sala,
Room Wise Menu,Menú por Sala,
Rooms,Salas,
Session Defaults,Valores predeterminados de sesión,
Square,Cuadrado,
Status,Estado,
Submitted,Validado,
Summary,Resumen,
System Manager,Administrador del sistema,
Table,Tabla,
Take Away,Para Llevar,
Tax,Impuesto,
Time,Hora,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Total Quantity,Cantidad total,
Type,Tipo,
URY,URY,
URY Daily P and L,P&G Diario URY,
URY Fixed Expenses,Gastos Fijos URY,
URY KOT,Orden de Cocina URY,
URY KOT Error Log,Registro de Errores de KOT URY,
URY KOT Items,Ítems de Orden de Cocina URY,
URY Materials,Materiales URY,
URY Menu,Menú URY,
URY Menu Item,Ítem del Menú URY,
URY Notification Recipient,Destinatario de Notificación URY,
URY Order,Orden URY,
URY Order Item,Ítem de Orden URY,
URY P and L Breakup,Desglose de P&G URY,
URY P and L Materials,Materiales de P&G URY,
URY Printer Settings,Configuración de Impresora URY,
URY Production Unit,Unidad de Producción URY,
URY Report Settings,Configuración de Reportes URY,
URY Restaurant,Restaurante URY,
URY Room,Sala URY,
URY Table,Mesa URY,
URY User,Usuario URY,
URY Variable Expenses,Gastos Variables URY,
Units Consumed,Unidades Consumidas,
User,Usuario,
User Details,Detalles de Usuario,
Verified,Verificado,
View Website,Ver Sitio Web,
Waiter,Mesero,
Warehouse,Almacén,
user,usuario,
