About,Acerca de,
Add Item,Añadir artículo,
Additional Details,Detalles adicionales,
Address,Dirección,
All,Todos,
Amended From,Modificado Desde,
Amount,Importe,
Apps,Apps,
Bill,Cuenta,
Branch,Sucursal,
Buying Price List,Lista de precios de compra,
Cancelled,Cancelado,
Cashier,Cajero,
Click Enter To Add,Haga clic en Entrar para Agregar,
Closing Amount,Monto de cierre,
Comment,Comentario,
Comments,Comentarios,
Company,Compañía,
Cost Per Unit,Coste por unidad,
Cost of Goods Sold,Costo sobre ventas,
Current Order,Orden actual,
Customer,Cliente,
Customer Name,Nombre del cliente,
Date,Fecha,
Default Price List,Lista de precios por defecto,
Default Tax Template,Plantilla de impuesto predeterminado,
Delivery,Entregar,
Depreciation,DEPRECIACIONES,
Details,Detalles,
Difference,Diferencia,
Direct Expenses,Gastos directos,
Disabled,Deshabilitado,
Draft,Borrador,
Duplicate,Duplicar,
Enabled,Habilitado,
Expected Amount,Monto Esperado,
Expense,Gastos,
Failed,Falló,
Frappe Support,Soporte de Frappe,
Grand Total,Total,
Image,Imagen,
Indirect Expenses,Egresos indirectos,
Invoice,FACTURA,
Invoice Created,Factura creada,
Invoice Series Prefix,Prefijo de la Serie de Facturas,
Item,Producto,
Item Group,Grupo de Productos,
Item Groups,Grupos de productos,
Item Name,Nombre del árticulo,
Items,Productos,
Keyboard Shortcuts,Atajos de teclado,
Linked Invoices,Facturas Vinculadas,
Log out,Cerrar sesión,
Material,Material,
Menu,Menú,
Minimum Seating,Asientos Mínimos,
Mobile Number,Número de teléfono móvil,
Mode of Payment,Modo de pago,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Net Profit/Loss,Beneficio neto (pérdidas,
Net Total,Total neto,
No of Seats,Nro de Asientos,
Occupied,Ocupado,
Opening Amount,Importe de apertura,
Order,Orden,
Order Status,Estado del Pedido,
Order Type,Tipo de orden,
POS Invoice,Factura POS,
POS Opening Entry,Entrada de apertura POS,
POS Profile,Perfil de POS,
POS Transactions,Transacciones POS,
Payment Amount,Importe Pagado,
Payment Reconciliation,Conciliación de pagos,
Payment Type,Tipo de pago,
Percent,Por ciento,
Period Details,Detalles del periodo,
Period End Date,Fecha de Finalización del Período,
Period Start Date,Fecha de Inicio del Período,
Posting Date,Fecha de Contabilización,
Posting Time,Hora de Contabilización,
Price List (Auto created),Lista de Precios (Creada Automáticamente),
Print,Impresión,
Printer,Impresora,
Printer Settings,Configuración de la impresora,
Priority,Prioridad,
Production,Producción,
Qty,Cantidad,
Quantity,Cantidad,
Queued,En cola,
Rate,Precio,
Reason,Razón,
Receiver By Role,Receptor por función,
Recipients,Destinatarios,
Reload,Recargar,
Remarks,Observaciones,
Restaurant,Restaurante,
Restaurant Menu,Menú del Restaurante,
Restaurant Table,Mesa de Restaurante,
Role,Rol,
Room,Habitación,
Room Type,Tipo de Habitación,
Session Defaults,Valores predeterminados de sesión,
Status,Estado,
Submitted,Validado,
Summary,Resumen,
System Manager,Administrador del sistema,
Table,Tabla,
Tax,Impuesto,
Time,Hora,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Total Quantity,Cantidad total,
Type,Tipo,
User,Usuario,
User Details,Detalles de usuario,
Verified,Verificado,
View Website,Ver Sitio Web,
Warehouse,Almacén,
user,usuario,
