Add Item,Lisa toode,
Additional Details,Täiendavad detailid,
Address,Aadress,
All,Kõik,
Amended From,Muudetud From,
Amount,Summa,
Bill,arve,
Branch,Oks,
Buying Price List,Ostute hinnakiri,
Cancelled,Tühistatud,
Cashier,Kassa,
Click Enter To Add,"Klõpsake nuppu Lisa, et lisada",
Closing Amount,Lõppsumma,
Comment,Kommenteeri,
Comments,Kommentaarid,
Company,Ettevõte,
Cost of Goods Sold,Müüdud kaupade maksumus,
Current Order,Praegune tellimus,
Customer,Klienditeenindus,
Customer Name,Kliendi nimi,
Date,Kuupäev,
Default Price List,Vaikimisi hinnakiri,
Default Tax Template,Default tax template,
Delivery,Tarne,
Depreciation,Amortisatsioon,
Details,Detailid,
Difference,Erinevus,
Direct Expenses,Otsesed kulud,
Disabled,Invaliidistunud,
Draft,Mustand,
Duplicate,Duplicate,
Enabled,Lubatud,
Expected Amount,Oodatav summa,
Expense,Kulu,
Failed,Ebaõnnestunud,
Grand Total,Üldtulemus,
Image,Pilt,
Indirect Expenses,Kaudsed kulud,
Invoice,Arve,
Invoice Created,Arve loodud,
Invoice Series Prefix,Arve seeria prefiks,
Item,Kirje,
Item Group,Punkt Group,
Item Groups,Punkt Groups,
Item Name,Asja nimi,
Items,Esemed,
Keyboard Shortcuts,Klaviatuuri otseteed,
Linked Invoices,Seotud arve,
Material,Materjal,
Menu,Menüü,
Minimum Seating,Minimaalne istekoht,
Mobile Number,Mobiili number,
Mode of Payment,Makseviis,
Net Profit/Loss,Puhaskasum / -kahjum,
Net Total,Net kokku,
No of Seats,Istekohtade arv,
Occupied,Hõivatud,
Opening Amount,Ava summa,
Order,järjekord,
Order Type,Tellimus Type,
POS Invoice,POS-arve,
POS Opening Entry,POSi avakanne,
POS Profile,POS profiili,
POS Transactions,POS-tehingud,
Payment Amount,Makse summa,
Payment Reconciliation,Makse leppimise,
Payment Type,Makse tüüp,
Percent,Protsenti,
Period End Date,Perioodi lõppkuupäev,
Period Start Date,Perioodi alguskuupäev,
Posting Date,Postitamise kuupäev,
Posting Time,Foorumi aeg,
Price List (Auto created),Hinnakiri (loodud automaatselt),
Print,Prindi,
Printer,Printer,
Printer Settings,Printeri sätted,
Priority,Prioriteet,
Production,Toodang,
Qty,Kogus,
Quantity,Kogus,
Queued,Järjekorras,
Rate,Hind,
Reason,Põhjus,
Receiver By Role,Vastuvõtja rolli järgi,
Recipients,Toetuse saajad,
Reload,Reload,
Remarks,Märkused,
Restaurant,Restoran,
Restaurant Menu,Restoranimenüü,
Restaurant Table,Restoran Tabel,
Role,Osa,
Room,ruum,
Room Type,Toatüüp,
Session Defaults,Seansi vaikeväärtused,
Status,Staatus,
Submitted,Esitatud,
Summary,Kokkuvõte,
System Manager,Süsteemihaldur,
Table,Tabel,
Tax,Maks,
Time,Aeg,
Total Quantity,Kogus kokku,
Type,Tüüp,
User,Kasutaja,
User Details,Kasutaja üksikasjad,
Verified,Kinnitatud,
View Website,Vaata Koduleht,
Warehouse,Ladu,
user,kasutaja,
