About,درباره,
Add Item,این مورد را اضافه کنید,
Additional Details,توضیحات بیشتر,
Address,نشانی,
All,همه,
Amended From,اصلاح از,
Amount,مقدار,
Apps,برنامه ها,
Bill,لایحه,
Branch,شاخه,
Buying Price List,لیست قیمت خرید,
Cancelled,لغو شد,
Cashier,صندوقدار,
Click Enter To Add,برای افزودن کلیک کنید,
Closing Amount,مبلغ بسته شدن,
Comment,اظهار نظر,
Comments,نظرات,
Company,شرکت,
Cost Per Unit,هزینه هر واحد,
Cost of Goods Sold,هزینه کالاهای فروخته شده,
Current Order,سفارش فعلی,
Customer,مشتری,
Customer Name,نام مشتری,
Date,تاریخ,
Default Price List,به طور پیش فرض لیست قیمت,
Default Tax Template,قالب پیش فرض مالیات,
Delivery,تحویل,
Depreciation,استهلاک,
Details,جزئیات,
Difference,تفاوت,
Direct Expenses,هزینه های مستقیم,
Disabled,غیر فعال,
Draft,پیش نویس,
Duplicate,تکراری,
Enabled,فعال,
Expected Amount,مقدار مورد انتظار,
Expense,هزینه,
Failed,شکست خورد,
Frappe Support,پشتیبانی Frappe,
Grand Total,بزرگ ها,
Image,تصویر,
Indirect Expenses,هزینه های غیر مستقیم,
Invoice,فاکتور,
Invoice Created,فاکتور ایجاد شده,
Invoice Series Prefix,پیشوند سری فاکتور,
Item,بخش,
Item Group,مورد گروه,
Item Groups,گروه مورد,
Item Name,نام آیتم,
Items,اقلام,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Linked Invoices,فاکتورهای مرتبط شده,
Log out,خروج,
Material,ماده,
Menu,منو,
Minimum Seating,حداقل صندلی,
Mobile Number,شماره موبایل,
Mode of Payment,نحوه پرداخت,
My Profile,نمایه من,
My Settings,تنظیمات من,
Net Profit/Loss,سود / ضرر خالص,
Net Total,مجموع خالص,
No of Seats,بدون صندلی,
Occupied,مشغول,
Opening Amount,مقدار افتتاحیه,
Order,سفارش,
Order No,شماره سفارش,
Order Status,وضعیت سفارش,
Order Type,نوع سفارش,
POS Invoice,فاکتور POS,
POS Opening Entry,ورودی افتتاحیه POS,
POS Profile,نمایش POS,
POS Transactions,معاملات POS,
Payment Amount,مبلغ پرداختی,
Payment Reconciliation,آشتی پرداخت,
Payment Type,نوع پرداخت,
Percent,درصد,
Period Details,جزئیات دوره,
Period End Date,تاریخ پایان تاریخ,
Period Start Date,شروع تاریخ دوره,
Posting Date,تاریخ ارسال,
Posting Time,مجوز های ارسال و زمان,
Price List (Auto created),لیست قیمت (خودکار ایجاد شده),
Print,چاپ,
Printer,چاپگر,
Printer Settings,تنظیمات چاپگر,
Priority,اولویت,
Production,تولید,
Qty,تعداد,
Quantity,مقدار,
Queued,صف,
Rate,نرخ,
Reason,دلیل,
Receiver By Role,گیرنده بر اساس نقش,
Recipients,دریافت کنندگان,
Reload,بارگذاری مجدد,
Remarks,سخنان,
Restaurant,رستوران,
Restaurant Menu,منوی رستوران,
Restaurant Table,جدول رستوران,
Role,نقش,
Room,اتاق,
Room Type,نوع اتاق,
Session Defaults,پیش‌فرض‌های نشست,
Status,وضعیت,
Submitted,ارسال شده,
Summary,خلاصه,
System Manager,سیستم مدیریت,
Table,جدول,
Tax,مالیات,
Time,زمان,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Total Quantity,تعداد کل,
Type,نوع,
User,کاربر,
User Details,مشخصات کاربر,
Verified,تایید شده است,
View Website,مشاهده وب سایت,
Warehouse,مخزن,
user,کاربر,
