Add Item,Lisää tavara,
Additional Details,Lisätiedot,
Address,Osoite,
All,Kaikki,
Amended From,Korjattu mistä,
Amount,Summa,
Bill,Laskuttaa,
Branch,Sivutoimiala,
Buying Price List,Ostohinta,
Cancelled,peruttu,
Cashier,kassanhoitaja,
Click Enter To Add,Napsauta Enter to Add (Lisää),
Closing Amount,Päättävä summa,
Comment,Kommentti,
Comments,Kommentit,
Company,Yritys,
Cost of Goods Sold,myydyn tavaran kustannuskset,
Current Order,Nykyinen tilaus,
Customer,asiakas,
Customer Name,Asiakkaan nimi,
Date,Päiväys,
Default Price List,oletus hinnasto,
Default Tax Template,Oletusmaksutaulukko,
Delivery,Toimitus,
Depreciation,arvonalennus,
Details,lisätiedot,
Difference,Ero,
Direct Expenses,Suorat kustannukset,
Disabled,Passiivinen,
Draft,Laatia,
Duplicate,Kopioi,
Enabled,Aktiivinen,
Expected Amount,Odotettu määrä,
Expense,Kustannus,
Failed,Epäonnistui,
Grand Total,Kokonaissumma,
Image,Kuva,
Indirect Expenses,Välilliset kustannukset,
Invoice,Lasku,
Invoice Created,Lasku luotu,
Invoice Series Prefix,Laskujen sarjan etuliite,
Item,Nimike,
Item Group,Tuoteryhmä,
Item Groups,Kohta Ryhmät,
Item Name,Tuotteen nimi,
Items,Nimikkeet,
Keyboard Shortcuts,Pikanäppäimet,
Linked Invoices,Liitetyt laskut,
Material,materiaali,
Menu,Valikko,
Minimum Seating,Minimi istuma,
Mobile Number,Puhelinnumero,
Mode of Payment,Maksutapa,
Net Profit/Loss,Nettovoitto / -tappio,
Net Total,netto yhteensä,
No of Seats,Istumapaikkoja,
Occupied,miehitetty,
Opening Amount,Avaussumma,
Order,Tilaus,
Order Type,Tilaustyyppi,
POS Invoice,POS-lasku,
POS Opening Entry,POS-avaustiedot,
POS Profile,POS Profile,
POS Transactions,POS-tapahtumat,
Payment Amount,maksun arvomäärä,
Payment Reconciliation,Maksun täsmäytys,
Payment Type,Maksun tyyppi,
Percent,prosentti,
Period End Date,Kauden päättymispäivä,
Period Start Date,Ajan alkamispäivä,
Posting Date,Tositepäivä,
Posting Time,Tositeaika,
Price List (Auto created),Hinnasto (luotu automaattisesti),
Print,Tulosta,
Printer,kirjoitin,
Printer Settings,Tulostimen asetukset,
Priority,prioriteetti,
Production,tuotanto,
Qty,Yksikkömäärä,
Quantity,Määrä,
Queued,Jonossa,
Rate,Hinta,
Reason,Syy,
Receiver By Role,Vastaanottaja roolin mukaan,
Recipients,Vastaanottajat,
Reload,Päivitä,
Remarks,Huomautukset,
Restaurant,Ravintola,
Restaurant Menu,Ravintola Valikko,
Restaurant Table,Ravintola-taulukko,
Role,Rooli,
Room,Huone,
Room Type,Huone tyyppi,
Session Defaults,Istunnon oletukset,
Status,Tila,
Submitted,Vahvistettu,
Summary,Yhteenveto,
System Manager,Järjestelmän ylläpitäjä,
Table,Taulukko,
Tax,Vero,
Time,Aika,
Total Quantity,Kokonaismäärä,
Type,tyyppi,
User,käyttäjä,
User Details,Käyttäjän tiedot,
Verified,Verified,
View Website,Näytä verkkosivusto,
Warehouse,Varasto,
user,käyttäjä,
