About,A Propos,
Add Item,Ajouter un Article,
Additional Details,Détails Supplémentaires,
Address,Adresse,
All,Tout,
Amended From,Modifié Depuis,
Amount,Montant,
Bill,Facture,
Branch,Branche,
Buying Price List,Liste de prix d'achat,
Cancelled,Annulé,
Cashier,Caissier,
Click Enter To Add,Cliquez sur Entrée pour Ajouter,
Closing Amount,Montant de clôture,
Comment,Commentaire,
Comments,Commentaires,
Company,Société,
Cost of Goods Sold,Coût des marchandises vendues,
Current Order,Ordre Actuel,
Customer,Client,
Customer Name,Nom du client,
Date,Date,
Default Price List,Liste des Prix par Défaut,
Default Tax Template,Modèle de Taxes par Défaut,
Delivery,Livraison,
Depreciation,Amortissement,
Details,Détails,
Difference,Différence,
Direct Expenses,Charges Directes,
Disabled,Desactivé,
Draft,Brouillon,
Duplicate,Dupliquer,
Enabled,Activé,
Expected Amount,Montant prévu,
Expense,Charges,
Failed,Échoué,
Grand Total,Total TTC,
Image,Image,
Indirect Expenses,Charges Indirectes,
Invoice,Facture,
Invoice Created,Facture créée,
Invoice Series Prefix,Préfixe de la Série de Factures,
Item,Article,
Item Group,Groupe d'Article,
Item Groups,Groupes d'articles,
Item Name,Nom de l'article,
Items,Articles,
Keyboard Shortcuts,Raccourcis clavier,
Linked Invoices,Factures liées,
Material,Matériel,
Minimum Seating,Sièges Minimum,
Mobile Number,Numéro de Mobile,
Mode of Payment,Moyen de paiement,
My Profile,Mon profil,
My Settings,Mes paramètres,
Net Profit/Loss,Résultat net,
Net Total,Total net,
No of Seats,Nombre de Sièges,
Occupied,Occupé,
Opening Amount,Montant d'ouverture,
Order,Commande,
Order Status,Statut de la commande,
Order Type,Type de Commande,
POS Invoice,Facture PDV,
POS Opening Entry,Entrée d'ouverture de PDV,
POS Profile,Profil PDV,
POS Transactions,Transactions POS,
Payment Amount,Montant du paiement,
Payment Reconciliation,Réconciliation des Paiements,
Payment Type,Type de paiement,
Percent,Pourcent,
Period End Date,Date de fin de la période,
Period Start Date,Date de début de la période,
Posting Date,Date de Comptabilisation,
Posting Time,Heure de Publication,
Price List (Auto created),Liste de prix (créée automatiquement),
Print,Impression,
Printer,Imprimante,
Printer Settings,Paramètres de l&#39;imprimante,
Priority,Priorité,
Production,Production,
Qty,Qté,
Quantity,Quantité,
Queued,File d'Attente,
Rate,Prix,
Reason,Raison,
Receiver By Role,Destinataire par rôle,
Recipients,Destinataires,
Reload,Recharger,
Remarks,Remarques,
Restaurant,Restaurant,
Restaurant Menu,Le menu du restaurant,
Restaurant Table,Table de restaurant,
Role,Rôle,
Room,Chambre,
Room Type,Type de chambre,
Session Defaults,Session par défaut,
Status,Statut,
Submitted,Valider,
Summary,Résumé,
System Manager,Responsable Système,
Tax,Taxe,
Time,Temps,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
Total Quantity,Quantité totale,
Type,Type,
User,Utilisateur,
User Details,Détails de l'utilisateur,
Verified,Vérifié,
View Website,Voir Le Site Web,
Warehouse,Entrepôt,
user,utilisateur,
