Add Item,આઇટમ ઉમેરો,
Additional Details,વધારાની વિગતો,
Address,સરનામું,
All,બધા,
Amended From,સુધારો,
Amount,રકમ,
Bill,બિલ,
Branch,શાખા,
Buying Price List,ભાવ યાદી ખરીદી,
Cancelled,રદ,
Cashier,કેશિયર,
Click Enter To Add,ઍડ કરવા માટે દાખલ કરો ક્લિક કરો,
Closing Amount,સમાપ્તિ રકમ,
Comment,ટિપ્પણી,
Comments,ટિપ્પણીઓ,
Company,કંપની,
Cost of Goods Sold,માલની કિંમત વેચાઈ,
Current Order,વર્તમાન ઓર્ડર,
Customer,ગ્રાહક,
Customer Name,ગ્રાહક નું નામ,
Date,તારીખ,
Default Price List,ડિફૉલ્ટ ભાવ યાદી,
Default Tax Template,ડિફૉલ્ટ ટેક્સ ટેમ્પલેટ,
Delivery,ડ લવર,
Depreciation,અવમૂલ્યન,
Details,વિગતો,
Difference,તફાવત,
Direct Expenses,પ્રત્યક્ષ ખર્ચ,
Disabled,અક્ષમ,
Draft,ડ્રાફ્ટ,
Duplicate,ડુપ્લિકેટ,
Enabled,સક્ષમ,
Expected Amount,અપેક્ષિત રકમ,
Expense,ખર્ચ,
Failed,નિષ્ફળ,
Grand Total,કુલ સરવાળો,
Image,છબી,
Indirect Expenses,પરોક્ષ ખર્ચ,
Invoice,ભરતિયું,
Invoice Created,ઇન્વોઇસ બનાવ્યું,
Invoice Series Prefix,ઇન્વોઇસ સિરીઝ ઉપસર્ગ,
Item,વસ્તુ,
Item Group,વસ્તુ ગ્રુપ,
Item Groups,વસ્તુ જૂથો,
Item Name,વસ્તુનુ નામ,
Items,વસ્તુઓ,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Linked Invoices,લિંક કરેલ ઇનવૉઇસેસ,
Material,સામગ્રી,
Menu,મેનુ,
Minimum Seating,ન્યુનત્તમ બેઠક,
Mobile Number,મોબાઇલ નંબર,
Mode of Payment,ચૂકવણીની પદ્ધતિ,
Net Profit/Loss,ચોખ્ખો નફો / નુકસાન,
Net Total,નેટ કુલ,
No of Seats,બેઠકોની સંખ્યા,
Occupied,કબજો,
Opening Amount,ખુલી રકમ,
Order,ઓર્ડર,
Order Type,ઓર્ડર પ્રકાર,
POS Invoice,પોસ ઇન્વoiceઇસ,
POS Opening Entry,પોસ ઓપનિંગ એન્ટ્રી,
POS Profile,POS પ્રોફાઇલ,
POS Transactions,પીઓએસ વ્યવહારો,
Payment Amount,ચુકવણી રકમ,
Payment Reconciliation,ચુકવણી રિકંસીલેશન,
Payment Type,ચુકવણી પ્રકાર,
Percent,ટકા,
Period End Date,પીરિયડ સમાપ્તિ તારીખ,
Period Start Date,પીરિયડ પ્રારંભ તારીખ,
Posting Date,પોસ્ટ તારીખ,
Posting Time,પોસ્ટિંગ સમય,
Price List (Auto created),ભાવ સૂચિ (સ્વતઃ બનાવેલ),
Print,છાપો,
Printer,પ્રિન્ટર,
Printer Settings,પ્રિન્ટર સેટિંગ્સ,
Priority,પ્રાધાન્યતા,
Production,ઉત્પાદન,
Qty,Qty,
Quantity,જથ્થો,
Queued,કતારબદ્ધ,
Rate,દર,
Reason,કારણ,
Receiver By Role,રોલ દ્વારા રીસીવર,
Recipients,મેળવનારા,
Reload,ફરી લાવો,
Remarks,રીમાર્કસ,
Restaurant,નાસ્તાગૃહ,
Restaurant Menu,રેસ્ટોરન્ટ મેનૂ,
Restaurant Table,રેસ્ટોરન્ટ ટેબલ,
Role,ભૂમિકા,
Room,રૂમ,
Room Type,ઓરડા નો પ્રકાર,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Status,સ્થિતિ,
Submitted,સબમિટ,
Summary,સારાંશ,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Table,કોષ્ટક,
Tax,ટેક્સ,
Time,સમય,
Total Quantity,કુલ જથ્થો,
Type,પ્રકાર,
User,વપરાશકર્તા,
User Details,વપરાશકર્તા વિગતો,
Verified,ચકાસણી,
View Website,વેબસાઇટ જુઓ,
Warehouse,વેરહાઉસ,
user,વપરાશકર્તા,
