Add Item,הוסף פריט,
Additional Details,פרטים נוספים,
Address,כתובת,
All,כל,
Amended From,תוקן מ,
Amount,הסכום,
Bill,שטר כסף,
Branch,סניף,
Buying Price List,מחירון קנייה,
Cancelled,בוטל,
Cashier,קופאית,
Click Enter To Add,לחץ על Enter כדי להוסיף,
Closing Amount,סכום סגירה,
Comment,תגובה,
Comments,תגובות,
Company,חברה,
Cost of Goods Sold,עלות מכר,
Current Order,סדר נוכחי,
Customer,לקוחות,
Customer Name,שם לקוח,
Date,תאריך,
Default Price List,מחיר מחירון ברירת מחדל,
Default Tax Template,תבנית מס ברירת מחדל,
Delivery,משלוח,
Depreciation,פחת,
Details,פרטים,
Difference,הֶבדֵל,
Direct Expenses,הוצאות ישירות,
Disabled,נכים,
Draft,טְיוּטָה,
Duplicate,לשכפל,
Enabled,מופעל,
Expected Amount,סכום צפוי,
Expense,חשבון,
Failed,נכשל,
Grand Total,סך כולל,
Image,תמונה,
Indirect Expenses,הוצאות עקיפות,
Invoice,חשבונית,
Invoice Created,חשבונית נוצרה,
Invoice Series Prefix,קידומת סדרת חשבוניות,
Item,פריט,
Item Group,קבוצת פריט,
Item Groups,קבוצות פריטים,
Item Name,שם הפריט,
Items,פריטים,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Linked Invoices,חשבוניות מקושרות,
Material,חוֹמֶר,
Menu,תפריט,
Minimum Seating,מינימום ישיבה,
Mobile Number,מספר טלפון נייד,
Mode of Payment,אופן התשלום,
Net Profit/Loss,רווח / הפסד נטו,
Net Total,"סה""כ נקי",
No of Seats,לא מושבים,
Occupied,כָּבוּשׁ,
Opening Amount,סכום פתיחה,
Order,להזמין,
Order Type,סוג להזמין,
POS Invoice,חשבונית קופה,
POS Opening Entry,כניסה לפתיחת קופה,
POS Profile,פרופיל קופה,
POS Transactions,עסקאות קופה,
Payment Amount,סכום תשלום,
Payment Reconciliation,פיוס תשלום,
Payment Type,סוג תשלום,
Percent,אחוזים,
Period End Date,תאריך סיום תקופה,
Period Start Date,תאריך התחלת תקופה,
Posting Date,תאריך פרסום,
Posting Time,זמן פרסום,
Price List (Auto created),מחירון (נוצר אוטומטית),
Print,הדפס,
Printer,מדפסת,
Printer Settings,הגדרות מדפסת,
Priority,עדיפות,
Production,הפקה,
Qty,כמות,
Quantity,כמות,
Queued,בתור,
Rate,שיעור,
Reason,סיבה,
Receiver By Role,מקלט לפי תפקיד,
Recipients,מקבלי,
Reload,רענן,
Remarks,הערות,
Restaurant,מִסעָדָה,
Restaurant Menu,תפריט המסעדה,
Restaurant Table,שולחן המסעדה,
Role,תפקיד,
Room,חֶדֶר,
Room Type,סוג חדר,
Session Defaults,ברירות מחדל של מושב,
Status,סטטוס,
Submitted,הוגש,
Summary,סיכום,
System Manager,מנהל מערכת,
Table,שולחן,
Tax,מס,
Time,זְמַן,
Total Quantity,כמות כוללת,
Type,סוג,
User,מִשׁתַמֵשׁ,
User Details,פרטי המשתמש,
Verified,מְאוּמָת,
View Website,אתר צפה ב,
Warehouse,מחסן,
user,משתמש,
