Add Item,सामान जोडें,
Additional Details,अतिरिक्त जानकारिया,
Address,पता,
All,सब,
Amended From,से संशोधित,
Amount,राशि,
Bill,बिल,
Branch,शाखा,
Buying Price List,ख़रीदना मूल्य सूची,
Cancelled,रद्द,
Cashier,केशियर,
Click Enter To Add,जोड़ने के लिए दर्ज करें पर क्लिक करें,
Closing Amount,समापन राशि,
Comment,टिप्पणी,
Comments,टिप्पणियां,
Company,कंपनी,
Cost of Goods Sold,बेच माल की लागत,
Current Order,अभी का ऑर्डर,
Customer,ग्राहक,
Customer Name,ग्राहक का नाम,
Date,तारीख,
Default Price List,डिफ़ॉल्ट मूल्य सूची,
Default Tax Template,डिफ़ॉल्ट कर टेम्पलेट,
Delivery,वितरण,
Depreciation,ह्रास,
Details,विवरण,
Difference,अंतर,
Direct Expenses,प्रत्यक्ष खर्च,
Disabled,विकलांग,
Draft,प्रारूप,
Duplicate,डुप्लिकेट,
Enabled,Enabled,
Expected Amount,अपेक्षित राशि,
Expense,व्यय,
Failed,विफल,
Grand Total,महायोग,
Image,छवि,
Indirect Expenses,अप्रत्यक्ष व्यय,
Invoice,बीजक,
Invoice Created,चालान बनाया,
Invoice Series Prefix,चालान श्रृंखला उपसर्ग,
Item,मद,
Item Group,आइटम समूह,
Item Groups,मद समूह,
Item Name,वस्तु का नाम,
Items,आइटम,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Linked Invoices,जुड़े चालान,
Material,सामग्री,
Menu,मेन्यू,
Minimum Seating,न्यूनतम बैठने,
Mobile Number,मोबाइल नंबर,
Mode of Payment,भुगतान का प्रकार,
Net Profit/Loss,कुल लाभ (हानि,
Net Total,शुद्ध जोड़,
No of Seats,सीटों की संख्या,
Occupied,कब्जा कर लिया,
Opening Amount,उद्घाटन राशि,
Order,व्यवस्था,
Order Type,आदेश प्रकार,
POS Invoice,पीओएस चालान,
POS Opening Entry,पीओएस ओपनिंग एंट्री,
POS Profile,पीओएस प्रोफाइल,
POS Transactions,पीओएस लेनदेन,
Payment Amount,भुगतान राशि,
Payment Reconciliation,भुगतान सुलह,
Payment Type,भुगतान के प्रकार,
Percent,प्रतिशत,
Period End Date,अवधि समाप्ति तिथि,
Period Start Date,अवधि प्रारंभ तिथि,
Posting Date,तिथि पोस्टिंग,
Posting Time,बार पोस्टिंग,
Price List (Auto created),मूल्य सूची (ऑटो बनाया),
Print,छाप,
Printer,मुद्रक,
Printer Settings,प्रिंटर सेटिंग्स,
Priority,प्राथमिकता,
Production,उत्पादन,
Qty,मात्रा,
Quantity,मात्रा,
Queued,पंक्तिबद्ध,
Rate,दर,
Reason,कारण,
Receiver By Role,भूमिका द्वारा प्राप्तकर्ता,
Recipients,प्राप्तकर्ता,
Reload,सीमा से अधिक लादना,
Remarks,टिप्पणियाँ,
Restaurant,खाने की दुकान,
Restaurant Menu,रेस्तरां मेनू,
Restaurant Table,रेस्टोरेंट टेबल,
Role,भूमिका,
Room,कक्ष,
Room Type,कमरे जैसा,
Session Defaults,सत्र चूक,
Status,हैसियत,
Submitted,पेश,
Summary,सारांश,
System Manager,सिस्टम प्रबंधक,
Table,तालिका,
Tax,कर,
Time,समय,
Total Quantity,कुल मात्रा,
Type,टाइप,
User,उपयोगकर्ता,
User Details,उपभोक्ता का विवरण,
Verified,सत्यापित,
View Website,वेबसाइट देखें,
Warehouse,गोदाम,
user,उपयोगकर्ता,
