About,O,
Add Item,Dodaj stavku,
Additional Details,dodatni detalji,
Address,Adresa,
All,svi,
Amended From,Izmijenjena Od,
Amount,Iznos,
Bill,Račun,
Branch,grana,
Buying Price List,Cjenik kupnje,
Cancelled,OTKAZANO,
Cashier,Blagajnik,
Click Enter To Add,Kliknite Unesi za dodavanje,
Closing Amount,Završni iznos,
Comment,Komentar,
Comments,Komentari,
Company,Društvo,
Cost of Goods Sold,Troškovi prodane robe,
Current Order,Trenutačna narudžba,
Customer,kupac,
Customer Name,Naziv klijenta,
Date,Datum,
Default Price List,Zadani cjenik,
Default Tax Template,Zadani predložak poreza,
Delivery,Isporuka,
Depreciation,Amortizacija,
Details,Detalji,
Difference,Razlika,
Direct Expenses,Izravni troškovi,
Disabled,Ugašeno,
Draft,Nacrt,
Duplicate,Duplikat,
Enabled,Omogućeno,
Expected Amount,Očekivani iznos,
Expense,rashod,
Failed,Neuspješno,
Grand Total,Ukupno za platiti,
Image,Slika,
Indirect Expenses,Neizravni troškovi,
Invoice,Faktura,
Invoice Created,Izračun je izrađen,
Invoice Series Prefix,Prefiks serije fakture,
Item,Proizvod,
Item Group,Grupa proizvoda,
Item Groups,stavka Grupe,
Item Name,Ime proizvoda,
Items,Proizvodi,
Keyboard Shortcuts,Prečice na tipkovnici,
Linked Invoices,Povezane fakture,
Material,Materijal,
Menu,Meni,
Minimum Seating,Minimalna sjedala,
Mobile Number,Broj mobitela,
Mode of Payment,Nacin placanja,
Net Profit/Loss,Neto dobit / gubitak,
Net Total,Osnovica,
No of Seats,Nema sjedala,
Occupied,okupiran,
Opening Amount,Iznos otvaranja,
Order,Narudžba,
Order Type,Vrsta narudžbe,
POS Invoice,POS račun,
POS Opening Entry,POS otvaranje,
POS Profile,POS profil,
POS Transactions,POS transakcije,
Payment Amount,Iznos za plaćanje,
Payment Reconciliation,Pomirenje plaćanja,
Payment Type,Vrsta plaćanja,
Percent,Postotak,
Period End Date,Datum završetka razdoblja,
Period Start Date,Datum početka razdoblja,
Posting Date,Datum objave,
Posting Time,Vrijeme knjiženja,
Price List (Auto created),Cjenik (automatski izrađen),
Print,otisak,
Printer,printer,
Printer Settings,Postavke pisača,
Priority,Prioritet,
Production,Proizvodnja,
Qty,Kol,
Quantity,Količina,
Queued,Čekanju,
Rate,VPC,
Reason,Razlog,
Receiver By Role,Prijemnik prema ulozi,
Recipients,Primatelji,
Reload,Reload,
Remarks,Primjedbe,
Restaurant,Restoran,
Restaurant Menu,Izbornik restorana,
Restaurant Table,Tablica restorana,
Role,Uloga,
Room,Soba,
Room Type,Vrsta sobe,
Session Defaults,Zadani zadaci sesije,
Status,Status,
Submitted,Potvrđeno,
Summary,Sažetak,
System Manager,Sustav Manager,
Table,Stol,
Tax,Porez,
Time,Vrijeme,
Total Quantity,Ukupna količina,
Type,Vrsta,
User,Korisnik,
User Details,Podaci o korisniku,
Verified,ovjeren,
View Website,Pogledaj web stranicu,
Warehouse,Skladište,
user,korisnik,
