Add Item,Tétel hozzáadása,
Additional Details,További részletek,
Address,Cím,
All,Összes,
Amended From,Módosított feladója,
Amount,Összeg,
Bill,Számla,
Branch,Ágazat,
Buying Price List,Beszerzési árlista,
Cancelled,Törölve,
Cashier,Pénztáros,
Click Enter To Add,Kattintson az Enterre a hozzáadáshoz,
Closing Amount,Záró összeg,
Comment,Megjegyzés,
Comments,Hozzászólások,
Company,Vállalkozás,
Cost of Goods Sold,Az eladott áruk beszerzési költsége,
Current Order,Jelenlegi Megrendelés,
Customer,Vevő,
Customer Name,Vevő neve,
Date,Dátum,
Default Price List,Alapértelmezett árlista,
Default Tax Template,Alapértelmezett adó sablon,
Delivery,Szállítás,
Depreciation,Értékcsökkentés,
Details,Részletek,
Difference,Különbség,
Direct Expenses,Közvetlen költségek,
Disabled,Tiltva,
Draft,vázlat,
Duplicate,Megsokszoroz,
Enabled,Engedélyezve,
Expected Amount,Várható összeg,
Expense,Költség,
Failed,Sikertelen,
Grand Total,Mindösszesen,
Image,Kép,
Indirect Expenses,Közvetett költségek,
Invoice,Számla,
Invoice Created,Számla kelte,
Invoice Series Prefix,Számla sorozatok előtagja,
Item,Tétel,
Item Group,Tételcsoport,
Item Groups,Tétel Csoportok,
Item Name,Termék név,
Items,Tételek,
Keyboard Shortcuts,Gyorsbillentyűket,
Linked Invoices,Kapcsolodó számlák,
Material,Anyag,
Menu,Menü,
Minimum Seating,Minimum ülések száma,
Mobile Number,Mobil szám,
Mode of Payment,Fizetési mód,
Net Profit/Loss,Nettó nyereség / veszteség,
Net Total,Nettó összesen,
No of Seats,Ülőhelyek  száma,
Occupied,Foglalt,
Opening Amount,Nyitó összeg,
Order,Sorrend,
Order Type,Rendelés típusa,
POS Invoice,POS számla,
POS Opening Entry,POS nyitó bejegyzés,
POS Profile,POS profil,
POS Transactions,POS tranzakciók,
Payment Amount,Kifizetés összege,
Payment Reconciliation,Fizetés főkönyvi egyeztetése,
Payment Type,Fizetési mód,
Percent,Százalék,
Period End Date,Időszak vége,
Period Start Date,Időtartam kezdetének dátuma,
Posting Date,Rögzítés dátuma,
Posting Time,Rögzítés ideje,
Price List (Auto created),Árlista (automatikusan  létrehozva),
Print,Nyomtatás,
Printer,Nyomtató,
Printer Settings,Nyomtatóbeállítások,
Priority,Prioritás,
Production,Gyártás,
Qty,Menny.,
Quantity,Mennyiség,
Queued,Sorba állított,
Rate,Arány,
Reason,Ok,
Receiver By Role,Vevő szerep szerint,
Recipients,Címzettek,
Reload,Reload,
Remarks,Megjegyzések,
Restaurant,Étterem,
Restaurant Menu,Éttermi menü,
Restaurant Table,Éttermi asztal,
Role,Beosztás,
Room,Szoba,
Room Type,Szoba típus,
Session Defaults,Munkamenet alapértelmezései,
Status,Állapot,
Submitted,Benyújtva,
Summary,Összefoglalás,
System Manager,Rendszer menedzser,
Table,Táblázat,
Tax,Adó,
Time,Idő,
Total Quantity,Teljes mennyiség,
Type,Típus,
User,használó,
User Details,Felhasználói adatok,
Verified,ellenőrzött,
View Website,Weboldal megtekintése,
Warehouse,Raktár,
user,Felhasználó,
