Add Item,Tambahkan Barang,
Additional Details,Rincian Tambahan,
Address,Alamat,
All,Semua,
Amended From,Diubah Dari,
Amount,Total,
Bill,Tagihan,
Branch,Cabang,
Buying Price List,Daftar Harga Beli,
Cancelled,Dibatalkan,
Cashier,Kasir,
Click Enter To Add,Klik Enter To Add,
Closing Amount,Jumlah Penutupan,
Comment,Komentar,
Comments,Komentar,
Company,Perusahaan,
Cost of Goods Sold,Harga pokok penjualan,
Current Order,Pesanan saat ini,
Customer,Pelanggan,
Customer Name,Nama Pelanggan,
Date,Tanggal,
Default Price List,Standar List Harga,
Default Tax Template,Template Pajak Default,
Delivery,Pengiriman,
Depreciation,Penyusutan,
Details,Penjelasan,
Difference,Perbedaan,
Direct Expenses,Beban Langsung,
Disabled,Dinonaktifkan,
Draft,Draf,
Duplicate,Duplikat,
Enabled,Diaktifkan,
Expected Amount,Jumlah yang Diharapkan,
Expense,Biaya,
Failed,Gagal,
Grand Total,Nilai Jumlah Total,
Image,Gambar,
Indirect Expenses,Biaya Tidak Langsung,
Invoice,Faktur,
Invoice Created,Faktur Dibuat,
Invoice Series Prefix,Awalan Seri Faktur,
Item,Barang,
Item Group,Item Grup,
Item Groups,Grup Item,
Item Name,Nama barang,
Items,Items,
Keyboard Shortcuts,Pintasan keyboard,
Linked Invoices,Faktur Tertaut,
Material,Bahan,
Menu,Menu,
Minimum Seating,Tempat Duduk Minimal,
Mobile Number,Nomor handphone,
Mode of Payment,Cara Pembayaran,
Net Profit/Loss,Laba / Rugi Bersih,
Net Total,Jumlah Bersih,
No of Seats,Tidak ada tempat duduk,
Occupied,Sibuk,
Opening Amount,Jumlah Pembukaan,
Order,Memesan,
Order Type,Tipe Order,
POS Invoice,Faktur POS,
POS Opening Entry,Entri Pembukaan POS,
POS Profile,POS Profil,
POS Transactions,Transaksi POS,
Payment Amount,Jumlah pembayaran,
Payment Reconciliation,Rekonsiliasi Pembayaran,
Payment Type,Jenis Pembayaran,
Percent,Persen,
Period End Date,Tanggal Akhir Masa,
Period Start Date,Tanggal Mulai Periode,
Posting Date,Tanggal Posting,
Posting Time,Posting Waktu,
Price List (Auto created),Daftar Harga (Auto dibuat),
Print,Mencetak,
Printer,Printer,
Printer Settings,Pengaturan Printer,
Priority,Prioritas,
Production,Produksi,
Qty,Kuantitas,
Quantity,Kuantitas,
Queued,Diantrikan,
Rate,Harga,
Reason,Alasan,
Receiver By Role,Penerima Berdasarkan Peran,
Recipients,Penerima,
Reload,Mengisi kembali,
Remarks,Keterangan,
Restaurant,Restoran,
Restaurant Menu,Menu Restoran,
Restaurant Table,Meja restoran,
Role,Peran,
Room,Kamar,
Room Type,Tipe ruangan,
Session Defaults,Default Sesi,
Status,Status,
Submitted,Dikirim,
Summary,Ringkasan,
System Manager,System Manager,
Table,Tabel,
Tax,PPN,
Time,Waktu,
Total Quantity,Jumlah total,
Type,Jenis,
User,Pengguna,
User Details,Detail Pengguna,
Verified,Diverifikasi,
View Website,Lihat Situs Web,
Warehouse,Gudang,
user,pengguna,
