Add Item,Bæta Hlutir,
Additional Details,Önnur Nánar,
Address,Heimilisfang,
All,Allt,
Amended From,breytt Frá,
Amount,upphæð,
Bill,Bill,
Branch,Branch,
Buying Price List,Kaupverðskrá,
Cancelled,Hætt við,
Cashier,Gjaldkeri,
Click Enter To Add,Smelltu á Enter til að bæta við,
Closing Amount,Lokaupphæð,
Comment,Athugasemd,
Comments,Comments,
Company,fyrirtæki,
Cost of Goods Sold,Kostnaður af seldum vörum,
Current Order,Núverandi röð,
Customer,Viðskiptavinur,
Customer Name,Nafn viðskiptavinar,
Date,Dagsetning,
Default Price List,Sjálfgefið Verðskrá,
Default Tax Template,Sjálfgefið Skattamót,
Delivery,Afhending,
Depreciation,gengislækkun,
Details,Nánar,
Difference,Mismunur,
Direct Expenses,Bein útgjöld,
Disabled,Fatlaðir,
Draft,Drög,
Duplicate,Afrit,
Enabled,virkt,
Expected Amount,Væntanlegt magn,
Expense,Expense,
Failed,mistókst,
Grand Total,Grand Total,
Image,Mynd,
Indirect Expenses,óbeinum kostnaði,
Invoice,Reikningur,
Invoice Created,Reikningur búin til,
Invoice Series Prefix,Reiknivél Reiknivél,
Item,Item,
Item Group,Liður Group,
Item Groups,Item Hópar,
Item Name,Nafn hlutar,
Items,atriði,
Keyboard Shortcuts,Flýtilyklar,
Linked Invoices,Tengdir reikningar,
Material,Efni,
Menu,matseðill,
Minimum Seating,Lágmarksstofa,
Mobile Number,Farsímanúmer,
Mode of Payment,Greiðslumáti,
Net Profit/Loss,Hagnaður / tap,
Net Total,Net Total,
No of Seats,Nei sæti,
Occupied,Upptekinn,
Opening Amount,Opnunarupphæð,
Order,Panta,
Order Type,Order Type,
POS Invoice,POS reikningur,
POS Opening Entry,POS opnunarfærsla,
POS Profile,POS Profile,
POS Transactions,POS viðskipti,
Payment Amount,Greiðslu upphæð,
Payment Reconciliation,greiðsla Sættir,
Payment Type,greiðsla Type,
Percent,prósent,
Period End Date,Tímabil Lokadagur,
Period Start Date,Tímabil Upphafsdagur,
Posting Date,staða Date,
Posting Time,staða Time,
Price List (Auto created),Verðskrá (Sjálfvirk stofnaður),
Print,Prenta,
Printer,Prentari,
Printer Settings,Prentarastillingar,
Priority,Forgangur,
Production,Framleiðsla,
Qty,Magn,
Quantity,Magn,
Queued,biðröð,
Rate,Gefa,
Reason,Ástæðan,
Receiver By Role,Viðtakandi með hlutverk,
Recipients,viðtakendur,
Reload,endurhlaða,
Remarks,Athugasemdir,
Restaurant,Veitingahús,
Restaurant Menu,Veitingahús Valmynd,
Restaurant Table,Veitingahús borðstofa,
Role,hlutverk,
Room,Room,
Room Type,Herbergistegund,
Session Defaults,Sjálfgefin seta,
Status,Staða,
Submitted,lögð,
Summary,Yfirlit,
System Manager,System Manager,
Table,Tafla,
Tax,Tax,
Time,Tími,
Total Quantity,Heildarfjöldi,
Type,Gerð,
User,Notandi,
User Details,Upplýsingar um notendur,
Verified,Staðfest,
View Website,view Website,
Warehouse,Vöruhús,
user,notandi,
