Add Item,Aggiungi articolo,
Additional Details,Dettagli aggiuntivi,
Address,Indirizzo,
All,Tutti,
Amended From,Corretto da,
Amount,Importo,
Bill,Fattura,
Branch,Ramo,
Buying Price List,Listino prezzi acquisto,
Cancelled,Annullato,
Cashier,Cassiere,
Click Enter To Add,Fare clic su Invio per aggiungere,
Closing Amount,Importo di chiusura,
Comment,Commento,
Comments,Commenti,
Company,Azienda,
Cost of Goods Sold,Costo del venduto,
Current Order,Ordine attuale,
Customer,Cliente,
Customer Name,Nome Cliente,
Date,Data,
Default Price List,Listino Prezzi Predefinito,
Default Tax Template,Modello fiscale predefinito,
Delivery,Consegna,
Depreciation,Ammortamento,
Details,Dettagli,
Difference,Differenza,
Direct Expenses,Spese dirette,
Disabled,Disabilitato,
Draft,Bozza,
Duplicate,Duplica,
Enabled,Attivato,
Expected Amount,Importo previsto,
Expense,Spesa,
Failed,Impossibile,
Grand Total,Somma totale,
Image,Immagine,
Indirect Expenses,Spese indirette,
Invoice,Fattura,
Invoice Created,Fattura creata,
Invoice Series Prefix,Prefisso della serie di fatture,
Item,Articolo,
Item Group,Gruppo Articoli,
Item Groups,Gruppi Articoli,
Item Name,Nome dell&#39;elemento,
Items,Articoli,
Keyboard Shortcuts,Tasti rapidi,
Linked Invoices,Fatture collegate,
Material,Materiale,
Menu,Menu,
Minimum Seating,Minima sede,
Mobile Number,Numero di cellulare,
Mode of Payment,Modalità di pagamento,
Net Profit/Loss,Utile / perdita netti,
Net Total,Totale netto,
No of Seats,No delle sedute,
Occupied,Occupato,
Opening Amount,Importo di apertura,
Order,Ordine,
Order Type,Tipo di ordine,
POS Invoice,Fattura POS,
POS Opening Entry,Ingresso apertura POS,
POS Profile,POS Profilo,
POS Transactions,Transazioni POS,
Payment Amount,Pagamento Importo,
Payment Reconciliation,Pagamento Riconciliazione,
Payment Type,Tipo di pagamento,
Percent,Percentuale,
Period End Date,Data di fine del periodo,
Period Start Date,Data di inizio del periodo,
Posting Date,Data di Registrazione,
Posting Time,Ora di Registrazione,
Price List (Auto created),Listino prezzi (creato automaticamente),
Print,Stampa,
Printer,Stampante,
Printer Settings,Impostazioni della stampante,
Priority,Priorità,
Production,Produzione,
Qty,Qtà,
Quantity,Quantità,
Queued,In coda,
Rate,Prezzo,
Reason,Motivo,
Receiver By Role,Ricevitore per ruolo,
Recipients,Destinatari,
Reload,Aggiorna,
Remarks,Osservazioni,
Restaurant,Ristorante,
Restaurant Menu,Ristorante Menu,
Restaurant Table,Ristorante Tavolo,
Role,Ruolo,
Room,Camera,
Room Type,Tipo di stanza,
Session Defaults,Sessioni predefinite,
Status,Stato,
Submitted,Confermato,
Summary,Sommario,
System Manager,System Manager,
Table,Tabella,
Tax,Tassa,
Time,Tempo,
Total Quantity,Quantità totale,
Type,Tipo,
User,Utente,
User Details,Dettagli utente,
Verified,verificata,
View Website,Visualizza sito web,
Warehouse,Magazzino,
user,utente,
