Add Item,アイテム追加,
Additional Details,さらなる詳細,
Address,住所,
All,すべて,
Amended From,修正元,
Amount,額,
Bill,支払,
Branch,支社・支店,
Buying Price List,購入価格リスト,
Cancelled,キャンセル,
Cashier,レジ,
Click Enter To Add,入力をクリックして追加,
Closing Amount,決算額,
Comment,コメント,
Comments,コメント,
Company,会社,
Cost of Goods Sold,売上原価,
Current Order,現在の注文,
Customer,顧客,
Customer Name,顧客名,
Date,日付,
Default Price List,デフォルト価格表,
Default Tax Template,デフォルト税テンプレート,
Delivery,配送,
Depreciation,減価償却,
Details,詳細,
Difference,差,
Direct Expenses,直接経費,
Disabled,無効,
Draft,ドラフト,
Duplicate,複製,
Enabled,有効,
Expected Amount,期待額,
Expense,経費,
Failed,失敗,
Grand Total,総額,
Image,画像,
Indirect Expenses,間接経費,
Invoice,請求,
Invoice Created,作成された請求書,
Invoice Series Prefix,請求書シリーズ接頭辞,
Item,アイテム,
Item Group,アイテムグループ,
Item Groups,アイテムグループ,
Item Name,項目名,
Items,アイテム,
Keyboard Shortcuts,キーボードショートカット,
Linked Invoices,リンクされた請求書,
Material,材料,
Menu,メニュー,
Minimum Seating,最小座席,
Mobile Number,携帯電話番号,
Mode of Payment,支払い方法,
Net Profit/Loss,純利益/損失,
Net Total,差引計,
No of Seats,席数,
Occupied,占有,
Opening Amount,開始額,
Order,注文,
Order Type,注文タイプ,
POS Invoice,POS請求書,
POS Opening Entry,POSオープニングエントリー,
POS Profile,POSプロフィール,
POS Transactions,POSトランザクション,
Payment Amount,支払金額,
Payment Reconciliation,支払照合,
Payment Type,支払タイプ,
Percent,割合（%）,
Period End Date,期間終了日,
Period Start Date,期間開始日,
Posting Date,転記日付,
Posting Time,投稿時間,
Price List (Auto created),価格表（自動作成）,
Print,印刷する,
Printer,プリンター,
Printer Settings,プリンター設定,
Priority,優先度,
Production,製造,
Qty,数量,
Quantity,数量,
Queued,キュー追加済,
Rate,単価／率,
Reason,理由,
Receiver By Role,役割別の受信者,
Recipients,受信者,
Reload,リロード,
Remarks,備考,
Restaurant,レストラン,
Restaurant Menu,レストランメニュー,
Restaurant Table,レストラン表,
Role,役割,
Room,教室,
Room Type,ルームタイプ,
Session Defaults,セッションのデフォルト,
Status,ステータス,
Submitted,提出済,
Summary,概要,
System Manager,システム管理者,
Table,表,
Tax,税,
Time,時間,
Total Quantity,総量,
Type,タイプ,
User,ユーザー,
User Details,ユーザーの詳細,
Verified,確認済み,
View Website,ウェブサイトを見る,
Warehouse,倉庫,
user,ユーザー,
