Add Item,ಐಟಂ ಸೇರಿಸಿ,
Additional Details,ಹೆಚ್ಚುವರಿ ವಿವರಗಳು,
Address,ವಿಳಾಸ,
All,ಎಲ್ಲಾ,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ,
Amount,ಪ್ರಮಾಣ,
Bill,ಬಿಲ್,
Branch,ಶಾಖೆ,
Buying Price List,ಬೆಲೆ ಪಟ್ಟಿ ಖರೀದಿ,
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
Cashier,ಕ್ಯಾಷಿಯರ್,
Click Enter To Add,ಸೇರಿಸಲು ನಮೂದಿಸಿ ಕ್ಲಿಕ್ ಮಾಡಿ,
Closing Amount,ಮುಚ್ಚುವ ಮೊತ್ತ,
Comment,ಕಾಮೆಂಟ್ ಮಾಡಿ,
Comments,ಪ್ರತಿಕ್ರಿಯೆಗಳು,
Company,ಕಂಪನಿ,
Cost of Goods Sold,ಮಾರಿದ ವಸ್ತುಗಳ ಬೆಲೆ,
Current Order,ಪ್ರಸ್ತುತ ಆದೇಶ,
Customer,ಗಿರಾಕಿ,
Customer Name,ಗ್ರಾಹಕ ಹೆಸರು,
Date,ದಿನಾಂಕ,
Default Price List,ಡೀಫಾಲ್ಟ್ ಬೆಲೆ ಪಟ್ಟಿ,
Default Tax Template,ಡೀಫಾಲ್ಟ್ ತೆರಿಗೆ ಟೆಂಪ್ಲೇಟು,
Delivery,ಡೆಲಿವರಿ,
Depreciation,ಸವಕಳಿ,
Details,ವಿವರಗಳು,
Difference,ವ್ಯತ್ಯಾಸ,
Direct Expenses,ನೇರ ವೆಚ್ಚಗಳು,
Disabled,ಅಂಗವಿಕಲ,
Draft,ಡ್ರಾಫ್ಟ್,
Duplicate,ನಕಲು,
Enabled,ಶಕ್ತಗೊಂಡಿದೆ,
Expected Amount,ನಿರೀಕ್ಷಿತ ಮೊತ್ತ,
Expense,ಖರ್ಚುವೆಚ್ಚಗಳು,
Failed,ವಿಫಲವಾಗಿದೆ,
Grand Total,ಗ್ರ್ಯಾಂಡ್ ಒಟ್ಟು,
Image,ಚಿತ್ರ,
Indirect Expenses,ಪರೋಕ್ಷ ವೆಚ್ಚಗಳು,
Invoice,ಸರಕುಪಟ್ಟಿ,
Invoice Created,ಸರಕುಪಟ್ಟಿ ರಚಿಸಲಾಗಿದೆ,
Invoice Series Prefix,ಸರಕುಪಟ್ಟಿ ಪೂರ್ವಪ್ರತ್ಯಯ,
Item,ವಸ್ತು,
Item Group,ಐಟಂ ಗುಂಪು,
Item Groups,ಐಟಂ ಗುಂಪುಗಳು,
Item Name,ವಸ್ತುವಿನ ಹೆಸರು,
Items,ಐಟಂಗಳನ್ನು,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Linked Invoices,ಲಿಂಕ್ಡ್ ಇನ್ವಾಯ್ಸ್ಗಳು,
Material,ವಸ್ತು,
Menu,ಮೆನು,
Minimum Seating,ಕನಿಷ್ಠ ಆಸನ,
Mobile Number,ಮೊಬೈಲ್ ನಂಬರ,
Mode of Payment,ಪಾವತಿಯ ಮೋಡ್,
Net Profit/Loss,ನಿವ್ವಳ ಲಾಭ / ನಷ್ಟ,
Net Total,ನೆಟ್ ಒಟ್ಟು,
No of Seats,ಆಸನಗಳ ಸಂಖ್ಯೆ,
Occupied,ಆಕ್ರಮಿಸಿಕೊಂಡಿದೆ,
Opening Amount,ತೆರೆಯುವ ಮೊತ್ತ,
Order,ಆರ್ಡರ್,
Order Type,ಆರ್ಡರ್ ಪ್ರಕಾರ,
POS Invoice,ಪಿಒಎಸ್ ಸರಕುಪಟ್ಟಿ,
POS Opening Entry,ಪಿಓಎಸ್ ಓಪನಿಂಗ್ ಎಂಟ್ರಿ,
POS Profile,ಪಿಓಎಸ್ ವಿವರ,
POS Transactions,ಪಿಓಎಸ್ ವ್ಯವಹಾರಗಳು,
Payment Amount,ಪಾವತಿ ಪ್ರಮಾಣವನ್ನು,
Payment Reconciliation,ಪಾವತಿ ಸಾಮರಸ್ಯ,
Payment Type,ಪಾವತಿ ಪ್ರಕಾರ,
Percent,ಪರ್ಸೆಂಟ್,
Period End Date,ಅವಧಿ ಅಂತ್ಯ ದಿನಾಂಕ,
Period Start Date,ಅವಧಿಯ ಪ್ರಾರಂಭ ದಿನಾಂಕ,
Posting Date,ದಿನಾಂಕ ಪೋಸ್ಟ್,
Posting Time,ಟೈಮ್ ಪೋಸ್ಟ್,
Price List (Auto created),ಬೆಲೆ ಪಟ್ಟಿ (ಸ್ವಯಂ ರಚಿಸಲಾಗಿದೆ),
Print,ಮುದ್ರಿಸಿ,
Printer,ಮುದ್ರಕ,
Printer Settings,ಮುದ್ರಕ ಸೆಟ್ಟಿಂಗ್‌ಗಳು,
Priority,ಆದ್ಯತೆ,
Production,ಉತ್ಪಾದನೆ,
Qty,ಪ್ರಮಾಣ,
Quantity,ಪ್ರಮಾಣ,
Queued,ಸರತಿಯಲ್ಲಿ,
Rate,ದರ,
Reason,ಕಾರಣ,
Receiver By Role,ಪಾತ್ರದಿಂದ ಸ್ವೀಕರಿಸುವವರು,
Recipients,ಸ್ವೀಕೃತದಾರರ,
Reload,ರೀಲೋಡ್,
Remarks,ರಿಮಾರ್ಕ್ಸ್,
Restaurant,ಉಪಹಾರ ಗೃಹ,
Restaurant Menu,ರೆಸ್ಟೋರೆಂಟ್ ಮೆನು,
Restaurant Table,ರೆಸ್ಟೋರೆಂಟ್ ಟೇಬಲ್,
Role,ರೋಲ್,
Room,ಕೊಠಡಿ,
Room Type,ಕೋಣೆ ಪ್ರಕಾರ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Status,ಅಂತಸ್ತು,
Submitted,ಒಪ್ಪಿಸಿದ,
Summary,ಸಾರಾಂಶ,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Table,ಮೇಜು,
Tax,ತೆರಿಗೆ,
Time,ಸಮಯ,
Total Quantity,ಒಟ್ಟು ಪರಿಮಾಣ,
Type,ದರ್ಜೆ,
User,ಬಳಕೆದಾರ,
User Details,ಬಳಕೆದಾರರ ವಿವರಗಳು,
Verified,ಪರಿಶೀಲಿಸಲಾಗಿದೆ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Warehouse,ಮಳಿಗೆ,
user,ಬಳಕೆದಾರ,
