Add Item,항목 추가,
Additional Details,추가 세부 사항,
Address,주소,
All,모두,
Amended From,개정,
Amount,양,
Bill,계산서,
Branch,Branch,
Buying Price List,구매 가격 목록,
Cancelled,취소 된,
Cashier,출납원,
Click Enter To Add,추가하려면 Enter를 클릭하십시오.,
Closing Amount,마감 금액,
Comment,논평,
Comments,비고,
Company,회사,
Cost of Goods Sold,매출원가,
Current Order,현재 주문,
Customer,고객,
Customer Name,고객 이름,
Date,날짜,
Default Price List,기본 가격리스트,
Default Tax Template,기본 세금 템플릿,
Delivery,배달,
Depreciation,감가 상각,
Details,세부 정보,
Difference,차,
Direct Expenses,직접 비용,
Disabled,사용 안함,
Draft,초안,
Duplicate,복제,
Enabled,사용,
Expected Amount,예상 금액,
Expense,지출,
Failed,실패한,
Grand Total,총 합계,
Image,영상,
Indirect Expenses,간접 비용,
Invoice,송장,
Invoice Created,생성 된 송장,
Invoice Series Prefix,송장 시리즈 접두사,
Item,항목,
Item Group,항목 그룹,
Item Groups,항목 그룹,
Item Name,상품명,
Items,아이템,
Keyboard Shortcuts,키보드 단축키,
Linked Invoices,연결된 송장,
Material,자료,
Menu,메뉴,
Minimum Seating,최소 좌석 수,
Mobile Number,휴대 전화 번호,
Mode of Payment,지불 방식,
Net Profit/Loss,순이익 / 손실,
Net Total,합계액,
No of Seats,좌석 수,
Occupied,가득차 있는,
Opening Amount,개시 금액,
Order,주문,
Order Type,주문 유형,
POS Invoice,POS 송장,
POS Opening Entry,POS 오프닝 항목,
POS Profile,POS 프로필,
POS Transactions,POS 거래,
Payment Amount,결제 금액,
Payment Reconciliation,결제 조정,
Payment Type,지불 유형,
Percent,퍼센트,
Period End Date,기한 종료 날짜,
Period Start Date,기간 시작일,
Posting Date,등록일자,
Posting Time,등록시간,
Price List (Auto created),가격표 (자동 생성),
Print,인쇄,
Printer,인쇄기,
Printer Settings,프린터 설정,
Priority,우선순위,
Production,생산,
Qty,수량,
Quantity,수량,
Queued,대기 중,
Rate,비율,
Reason,이유,
Receiver By Role,역할 별 수신자,
Recipients,받는 사람,
Reload,다시로드,
Remarks,Remarks,
Restaurant,레스토랑,
Restaurant Menu,식당 메뉴,
Restaurant Table,레스토랑 테이블,
Role,역할,
Room,방,
Room Type,객실 유형,
Session Defaults,세션 기본값,
Status,상태,
Submitted,제출,
Summary,개요,
System Manager,시스템 관리자,
Table,표,
Tax,세금,
Time,시각,
Total Quantity,총량,
Type,종류,
User,사용자,
User Details,사용자 세부 정보,
Verified,검증 됨,
View Website,웹 사이트보기,
Warehouse,창고,
user,사용자,
