Add Item,Pridėti Prekę,
Additional Details,Papildoma informacija,
Address,adresas,
All,VISOS,
Amended From,Iš dalies pakeistas Nuo,
Amount,Suma,
Bill,sąskaita,
Branch,Filialas,
Buying Price List,Pirkimo kainoraštis,
Cancelled,Atšauktas,
Cashier,Kasininkas,
Click Enter To Add,Spustelėkite &quot;Įtraukti&quot;,
Closing Amount,Uždarymo suma,
Comment,Komentuok,
Comments,Komentarai,
Company,Bendrovė,
Cost of Goods Sold,Parduotų prekių kaina,
Current Order,Dabartinis užsakymas,
Customer,Klientas,
Customer Name,Klientas,
Date,Data,
Default Price List,Numatytasis Kainų sąrašas,
Default Tax Template,Numatytas mokesčio šablonas,
Delivery,Pristatymas,
Depreciation,amortizacija,
Details,detalės,
Difference,Skirtumas,
Direct Expenses,Tiesioginės išlaidos,
Disabled,neįgalusis,
Draft,Projektas,
Duplicate,dublikatas,
Enabled,Įjungtas,
Expected Amount,Numatoma suma,
Expense,Išlaidos,
Failed,Nepavyko,
Grand Total,Bendra suma,
Image,Vaizdas,
Indirect Expenses,Netiesioginės išlaidos,
Invoice,faktūra,
Invoice Created,Sukurta sąskaita,
Invoice Series Prefix,Sąskaitų serijos prefiksas,
Item,Prekė,
Item Group,Prekė grupė,
Item Groups,Prekė Grupės,
Item Name,Daikto pavadinimas,
Items,Daiktai,
Keyboard Shortcuts,Klaviatūros nuorodos,
Linked Invoices,Susietos sąskaitos faktūros,
Material,Medžiaga,
Menu,Meniu,
Minimum Seating,Minimali sėdimoji vietovė,
Mobile Number,Mobilaus telefono numeris,
Mode of Payment,Mokėjimo būdas,
Net Profit/Loss,Grynasis pelnas / nuostolis,
Net Total,grynasis Iš viso,
No of Seats,Sėdimų vietų skaičius,
Occupied,Okupuotas,
Opening Amount,Pradinė suma,
Order,Įsakymas,
Order Type,pavedimo tipas,
POS Invoice,POS sąskaita faktūra,
POS Opening Entry,POS atidarymo įrašas,
POS Profile,POS profilis,
POS Transactions,POS sandoriai,
Payment Amount,Mokėjimo suma,
Payment Reconciliation,Mokėjimo suderinimas,
Payment Type,Mokėjimo tipas,
Percent,procentai,
Period End Date,Laikotarpio pabaigos data,
Period Start Date,Laikotarpio pradžios data,
Posting Date,Išsiuntimo data,
Posting Time,Siunčiamos laikas,
Price List (Auto created),Kainoraštis (automatiškai sukurta),
Print,Spausdinti,
Printer,Spausdintuvas,
Printer Settings,Spausdintuvo nustatymai,
Priority,Prioritetas,
Production,Gamyba,
Qty,Kiekis,
Quantity,Kiekis,
Queued,eilėje,
Rate,Kaina,
Reason,priežastis,
Receiver By Role,Imtuvas pagal vaidmenį,
Recipients,gavėjai,
Reload,Perkrauti,
Remarks,Pastabos,
Restaurant,Restoranas,
Restaurant Menu,Restorano meniu,
Restaurant Table,Restorano stalas,
Role,vaidmuo,
Room,Kambarys,
Room Type,Kambario tipas,
Session Defaults,Sesijos numatytieji nustatymai,
Status,Statusas,
Submitted,pateikė,
Summary,Santrauka,
System Manager,sistemos direktorius,
Table,lentelė,
Tax,mokestis,
Time,Laikas,
Total Quantity,Bendras kiekis,
Type,tipas,
User,Vartotojas,
User Details,Išsami vartotojo informacija,
Verified,Patikrinta,
View Website,Peržiūrėti svetainė,
Warehouse,sandėlis,
user,Vartotojas,
