Add Item,Pievienot objektu,
Additional Details,papildu Details,
Address,Adrese,
All,Visi,
Amended From,Grozīts No,
Amount,Summa,
Bill,Rēķins,
Branch,Filiāle,
Buying Price List,Pircēju cenu saraksts,
Cancelled,Atcelts,
Cashier,Kasieris,
Click Enter To Add,"Noklikšķiniet uz Ievadīt, lai pievienotu",
Closing Amount,Noslēguma summa,
Comment,Komentārs,
Comments,Komentāri,
Company,Kompānija,
Cost of Goods Sold,Pārdotās produkcijas ražošanas izmaksas,
Current Order,Kārtējais pasūtījums,
Customer,Klients,
Customer Name,Klienta vārds,
Date,Datums,
Default Price List,Default Cenrādis,
Default Tax Template,Noklusējuma nodokļu veidlapa,
Delivery,Nodošana,
Depreciation,Nolietojums,
Details,Sīkāka informācija,
Difference,Atšķirība,
Direct Expenses,Tiešie izdevumi,
Disabled,Invalīdiem,
Draft,Projekts,
Duplicate,Dublēt,
Enabled,Enabled,
Expected Amount,Paredzamā summa,
Expense,Izdevumi,
Failed,Neizdevās,
Grand Total,Pavisam kopā,
Image,Attēls,
Indirect Expenses,Netiešie izdevumi,
Invoice,Pavadzīme,
Invoice Created,Izveidots rēķins,
Invoice Series Prefix,Rēķinu sērijas prefikss,
Item,Prece,
Item Group,Postenis Group,
Item Groups,postenis Grupas,
Item Name,Priekšmeta nosaukums,
Items,Preces,
Keyboard Shortcuts,Tastatūras īsceļi,
Linked Invoices,Saistītie rēķini,
Material,Materiāls,
Menu,Izvēlēties,
Minimum Seating,Minimālais sēdvietu skaits,
Mobile Number,Mobilā telefona numurs,
Mode of Payment,Maksājuma veids,
Net Profit/Loss,Neto peļņa / zaudējumi,
Net Total,Net Kopā,
No of Seats,Sēdvietu skaits,
Occupied,Aizņemts,
Opening Amount,Sākuma summa,
Order,rīkojums,
Order Type,Order Type,
POS Invoice,POS rēķins,
POS Opening Entry,POS atvēršanas ieraksts,
POS Profile,POS Profile,
POS Transactions,POS darījumi,
Payment Amount,Maksājuma summa,
Payment Reconciliation,Maksājumu Izlīgums,
Payment Type,Maksājuma veids,
Percent,Procents,
Period End Date,Perioda beigu datums,
Period Start Date,Perioda sākuma datums,
Posting Date,Norīkošanu Datums,
Posting Time,Norīkošanu laiks,
Price List (Auto created),Cenrādis (automātiski izveidots),
Print,Drukāt,
Printer,Printeris,
Printer Settings,Printera iestatījumi,
Priority,Prioritāte,
Production,Ražošana,
Qty,Daudz,
Quantity,Daudzums,
Queued,Rindā,
Rate,Likme,
Reason,Iemesls,
Receiver By Role,Uztvērējs pēc lomas,
Recipients,Saņēmēji,
Reload,Pārlādēt,
Remarks,Piezīmes,
Restaurant,Restorāns,
Restaurant Menu,Restorāna ēdienkarte,
Restaurant Table,Restorāna galds,
Role,Loma,
Room,istaba,
Room Type,Istabas tips,
Session Defaults,Sesijas noklusējumi,
Status,Stāvoklis,
Submitted,Iesniegtie,
Summary,Kopsavilkums,
System Manager,System Manager,
Table,Tabula,
Tax,Nodoklis,
Time,Laiks,
Total Quantity,Kopējais daudzums,
Type,Tips,
User,Lietotājs,
User Details,Informācija par lietotāju,
Verified,Pārbaudīts,
View Website,Skatīt Website,
Warehouse,Noliktava,
user,lietotājs,
