Add Item,Додај ставка,
Additional Details,дополнителни детали,
Address,Адреса,
All,Сите,
Amended From,Изменет Од,
Amount,Износ,
Bill,Бил,
Branch,Филијали,
Buying Price List,Купување на ценовник,
Cancelled,Откажано,
Cashier,Касиер,
Click Enter To Add,Кликнете Enter за да додадете,
Closing Amount,Износ на затворање,
Comment,Коментар,
Comments,Коментари,
Company,Компанијата,
Cost of Goods Sold,Трошоците на продадени производи,
Current Order,Тековен ред,
Customer,Клиент,
Customer Name,Име на Клиент,
Date,Датум,
Default Price List,Стандардно Ценовник,
Default Tax Template,Стандардна даночна образец,
Delivery,Испорака,
Depreciation,Амортизација,
Details,Детали за,
Difference,Разликата,
Direct Expenses,Директни трошоци,
Disabled,Со посебни потреби,
Draft,Нацрт,
Duplicate,СТРОГО,
Enabled,Овозможено,
Expected Amount,Очекуван износ,
Expense,Сметка,
Failed,Не успеа,
Grand Total,Сѐ Вкупно,
Image,Слика,
Indirect Expenses,Индиректни трошоци,
Invoice,Фактура,
Invoice Created,Создадена е фактура,
Invoice Series Prefix,Префикс на серија на фактури,
Item,Точка,
Item Group,Точка група,
Item Groups,точка групи,
Item Name,Име на предметот,
Items,Теми,
Keyboard Shortcuts,Кратенки на тастатурата,
Linked Invoices,Поврзани фактури,
Material,Материјал,
Menu,Мени,
Minimum Seating,Минимално седење,
Mobile Number,Мобилен број,
Mode of Payment,Начин на плаќање,
Net Profit/Loss,Нето добивка / Загуба,
Net Total,Нето Вкупно,
No of Seats,Број на седишта,
Occupied,Окупирана,
Opening Amount,Износ на отворање,
Order,Со цел,
Order Type,Цел Тип,
POS Invoice,ПОС-фактура,
POS Opening Entry,Запис за отворање ПОС,
POS Profile,POS Профил,
POS Transactions,ПОС-трансакции,
Payment Amount,Исплата Износ,
Payment Reconciliation,Плаќање помирување,
Payment Type,Тип на плаќање,
Percent,Проценти,
Period End Date,Датум на завршување на периодот,
Period Start Date,Датум на почеток на периодот,
Posting Date,Датум на објавување,
Posting Time,Праќање пораки во Време,
Price List (Auto created),Ценовник (автоматски креиран),
Print,Печати,
Printer,Печатач,
Printer Settings,Поставки за печатачот,
Priority,Приоритет,
Production,Производство,
Qty,Количина,
Quantity,Кол,
Queued,Чекаат на ред,
Rate,Цена,
Reason,Причината,
Receiver By Role,Приемник по улога,
Recipients,Примателите,
Reload,Вчитај ја страната повторно,
Remarks,Забелешки,
Restaurant,Ресторан,
Restaurant Menu,Мени за ресторани,
Restaurant Table,Ресторан Табела,
Role,Улога,
Room,соба,
Room Type,Вид на соба,
Session Defaults,Сесија стандардно,
Status,Статус,
Submitted,Поднесени,
Summary,Резиме,
System Manager,Систем за менаџер,
Table,Табела,
Tax,Данок,
Time,Време,
Total Quantity,Вкупна количина,
Type,Тип,
User,Корисник,
User Details,Детали за корисникот,
Verified,Потврдено,
View Website,Преглед на веб-страница,
Warehouse,Магацин,
user,Корисникот,
