Add Item,ഇനം ചേർക്കുക,
Additional Details,കൂടുതൽ വിവരങ്ങൾ,
Address,വിലാസം,
All,എല്ലാം,
Amended From,നിന്ന് ഭേദഗതി,
Amount,തുക,
Bill,ബില്,
Branch,ബ്രാഞ്ച്,
Buying Price List,വിലവിപണി വാങ്ങൽ,
Cancelled,റദ്ദാക്കി,
Cashier,കാഷ്യയർ,
Click Enter To Add,Add to Enter ക്ലിക്ക് ചെയ്യുക,
Closing Amount,അടയ്ക്കുന്ന തുക,
Comment,അഭിപ്രായം,
Comments,അഭിപ്രായങ്ങൾ,
Company,കമ്പനി,
Cost of Goods Sold,വിറ്റ സാധനങ്ങളുടെ വില,
Current Order,നിലവിലെ ഓർഡർ,
Customer,കസ്റ്റമർ,
Customer Name,ഉപഭോക്താവിന്റെ പേര്,
Date,തീയതി,
Default Price List,സ്ഥിരസ്ഥിതി വില പട്ടിക,
Default Tax Template,സ്ഥിര ടാക്സ് ടെംപ്ലേറ്റ്,
Delivery,ഡെലിവറി,
Depreciation,മൂല്യശോഷണം,
Details,വിശദാംശങ്ങൾ,
Difference,വ്യത്യാസം,
Direct Expenses,നേരിട്ടുള്ള ചെലവുകൾ,
Disabled,രഹിതമായ,
Draft,ഡ്രാഫ്റ്റ്,
Duplicate,തനിപ്പകർപ്പ്,
Enabled,പ്രാപ്തമാക്കി,
Expected Amount,പ്രതീക്ഷിക്കുന്ന തുക,
Expense,ചിലവേറിയ,
Failed,പരാജയപ്പെട്ടു,
Grand Total,ആകെ തുക,
Image,ചിത്രം,
Indirect Expenses,പരോക്ഷമായ ചെലവുകൾ,
Invoice,വികയപതം,
Invoice Created,ഇൻവോയ്സ് സൃഷ്ടിച്ചു,
Invoice Series Prefix,ഇൻവോയ്സ് ശ്രേണി പ്രിഫിക്സ്,
Item,ഇനം,
Item Group,ഇനം ഗ്രൂപ്പ്,
Item Groups,ഇനം ഗ്രൂപ്പുകൾ,
Item Name,ഇനത്തിന്റെ പേര്,
Items,ഇനങ്ങൾ,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Linked Invoices,ലിങ്ക് ചെയ്ത ഇൻവോയ്സുകൾ,
Material,മെറ്റീരിയൽ,
Menu,മെനു,
Minimum Seating,കുറഞ്ഞ സീറ്റിംഗ്,
Mobile Number,മൊബൈൽ നമ്പർ,
Mode of Payment,പേയ്മെന്റ് മോഡ്,
Net Profit/Loss,അറ്റ ലാഭം / നഷ്ടം,
Net Total,നെറ്റ് ആകെ,
No of Seats,സീറ്റുകളുടെ എണ്ണം,
Occupied,അധിനിവേശം,
Opening Amount,തുറക്കുന്ന തുക,
Order,ഓർഡർ,
Order Type,ഓർഡർ തരം,
POS Invoice,POS ഇൻവോയ്സ്,
POS Opening Entry,POS ഓപ്പണിംഗ് എൻ‌ട്രി,
POS Profile,POS പ്രൊഫൈൽ,
POS Transactions,POS ഇടപാടുകൾ,
Payment Amount,പേയ്മെന്റ് തുക,
Payment Reconciliation,പേയ്മെന്റ് അനുരഞ്ജനം,
Payment Type,പേയ്മെന്റ് തരം,
Percent,ശതമാനം,
Period End Date,കാലാവധി അവസാനിക്കുന്ന തീയതി,
Period Start Date,ആരംഭ തീയതി കാലാവധി,
Posting Date,പോസ്റ്റിംഗ് തീയതി,
Posting Time,പോസ്റ്റിംഗ് സമയം,
Price List (Auto created),വിലവിവരങ്ങൾ (സ്വയമേവ സൃഷ്ടിച്ചത്),
Print,അച്ചടിക്കുക,
Printer,പ്രിന്റർ,
Printer Settings,പ്രിന്റർ ക്രമീകരണങ്ങൾ,
Priority,മുൻഗണന,
Production,പ്രൊഡക്ഷൻ,
Qty,Qty,
Quantity,ക്വാണ്ടിറ്റി,
Queued,ക്യൂവിലാക്കി,
Rate,റേറ്റ്,
Reason,കാരണം,
Receiver By Role,റോൾ പ്രകാരം സ്വീകർത്താവ്,
Recipients,സ്വീകർത്താക്കൾ,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Remarks,അഭിപ്രായപ്രകടനം,
Restaurant,റെസ്റ്റോറന്റ്,
Restaurant Menu,റെസ്റ്റോറന്റ് മെനു,
Restaurant Table,റെസ്റ്റോറന്റ് ടേബിൾ,
Role,റോൾ,
Room,ഇടം,
Room Type,റൂം തരം,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Status,അവസ്ഥ,
Submitted,സമർപ്പിച്ച,
Summary,സംഗ്രഹം,
System Manager,സിസ്റ്റം മാനേജർ,
Table,ടേബിൾ,
Tax,നികുതി,
Time,സമയം,
Total Quantity,ആകെ അളവ്,
Type,തരം,
User,ഉപയോക്താവ്,
User Details,ഉപയോക്തൃ വിശദാംശങ്ങൾ,
Verified,പരിശോധിച്ചുറപ്പിച്ചു,
View Website,വെബ്സൈറ്റ് കാണുക,
Warehouse,പണ്ടകശാല,
user,ഉപയോക്താവ്,
