Add Item,आयटम जोडा,
Additional Details,अतिरिक्त तपशील,
Address,पत्ता,
All,सर्व,
Amended From,पासून दुरुस्ती,
Amount,रक्कम,
Bill,बिल,
Branch,शाखा,
Buying Price List,खरेदी किंमत सूची,
Cancelled,रद्द केले,
Cashier,रोखपाल,
Click Enter To Add,जोडण्यासाठी Enter क्लिक करा,
Closing Amount,बंद रक्कम,
Comment,टिप्पणी,
Comments,टिप्पण्या,
Company,कंपनी,
Cost of Goods Sold,माल किंमत विक्री,
Current Order,वर्तमान ऑर्डर,
Customer,ग्राहक,
Customer Name,ग्राहक नाव,
Date,तारीख,
Default Price List,मुलभूत दर सूची,
Default Tax Template,डीफॉल्ट कर टेम्पलेट,
Delivery,डिलिव्हरी,
Depreciation,घसारा,
Details,तपशील,
Difference,फरक,
Direct Expenses,थेट खर्च,
Disabled,अपंग,
Draft,मसुदा,
Duplicate,डुप्लिकेट,
Enabled,सक्षम,
Expected Amount,अपेक्षित रक्कम,
Expense,खर्च,
Failed,अयशस्वी,
Grand Total,एकूण,
Image,प्रतिमा,
Indirect Expenses,अप्रत्यक्ष खर्च,
Invoice,चलन,
Invoice Created,बीजक तयार केले,
Invoice Series Prefix,बीजक मालिका उपसर्ग,
Item,आयटम,
Item Group,आयटम गट,
Item Groups,आयटम गट,
Item Name,आयटम नाव,
Items,आयटम,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Linked Invoices,लिंक्ड इनव्हॉइसेस,
Material,साहित्य,
Menu,मेनू,
Minimum Seating,किमान आसन,
Mobile Number,मोबाइल क्रमांक,
Mode of Payment,देय मोड,
Net Profit/Loss,निव्वळ नफा / तोटा,
Net Total,निव्वळ एकूण,
No of Seats,सीटची संख्या,
Occupied,व्यापलेल्या,
Opening Amount,उघडण्याची रक्कम,
Order,ऑर्डर,
Order Type,ऑर्डर प्रकार,
POS Invoice,पॉस बीजक,
POS Opening Entry,पीओएस ओपनिंग एन्ट्री,
POS Profile,पीओएस प्रोफाइल,
POS Transactions,पीओएस व्यवहार,
Payment Amount,भरणा रक्कम,
Payment Reconciliation,भरणा मेळ,
Payment Type,भरणा प्रकार,
Percent,टक्के,
Period End Date,कालावधी समाप्ती तारीख,
Period Start Date,कालावधी प्रारंभ तारीख,
Posting Date,पोस्टिंग तारीख,
Posting Time,पोस्टिंग वेळ,
Price List (Auto created),किंमत सूची (स्वयं तयार),
Print,प्रिंट,
Printer,प्रिंटर,
Printer Settings,प्रिंटर सेटिंग्ज,
Priority,प्राधान्य,
Production,उत्पादन,
Qty,Qty,
Quantity,प्रमाण,
Queued,रांगेत आहे,
Rate,दर,
Reason,कारण,
Receiver By Role,रोलद्वारे प्राप्तकर्ता,
Recipients,प्राप्तकर्ता,
Reload,रीलोड करा,
Remarks,शेरा,
Restaurant,उपहारगृह,
Restaurant Menu,रेस्टॉरन्ट मेनू,
Restaurant Table,रेस्टॉरन्ट टेबल,
Role,भूमिका,
Room,खोली,
Room Type,खोली प्रकार,
Session Defaults,सत्र डीफॉल्ट,
Status,स्थिती,
Submitted,सबमिट,
Summary,सारांश,
System Manager,प्रणाली व्यवस्थापक,
Table,टेबल,
Tax,कर,
Time,वेळ,
Total Quantity,एकूण प्रमाण,
Type,प्रकार,
User,वापरकर्ता,
User Details,वापरकर्त्याचा तपशील,
Verified,सत्यापित,
View Website,वेबसाइट पहा,
Warehouse,कोठार,
user,सदस्य,
