Add Item,Tambah Item,
Additional Details,maklumat tambahan,
Address,Alamat,
All,Semua,
Amended From,Pindaan Dari,
Amount,Jumlah,
Bill,Rang Undang-Undang,
Branch,Cawangan,
Buying Price List,Membeli Senarai Harga,
Cancelled,Dibatalkan,
Cashier,Juruwang,
Click Enter To Add,Klik Masukkan Ke Tambah,
Closing Amount,Jumlah Penutupan,
Comment,Komen,
Comments,Comments,
Company,Syarikat,
Cost of Goods Sold,Kos Barang Dijual,
Current Order,Perintah Semasa,
Customer,Pelanggan,
Customer Name,Nama Pelanggan,
Date,Tarikh,
Default Price List,Senarai Harga Default,
Default Tax Template,Templat Cukai Lalai,
Delivery,Penghantaran,
Depreciation,Susutnilai,
Details,Butiran,
Difference,Beza,
Direct Expenses,Perbelanjaan Langsung,
Disabled,Orang kurang upaya,
Draft,Draf,
Duplicate,Salinan,
Enabled,Membolehkan,
Expected Amount,Amaun Yang Diharapkan,
Expense,Perbelanjaan,
Failed,Gagal,
Grand Total,Jumlah Besar,
Image,Image,
Indirect Expenses,Perbelanjaan Tidak Langsung,
Invoice,Invois,
Invoice Created,Invois Dicipta,
Invoice Series Prefix,Awalan Siri Invois,
Item,Perkara,
Item Group,Perkara Kumpulan,
Item Groups,Kumpulan item,
Item Name,Nama barang,
Items,Item,
Keyboard Shortcuts,Pintasan papan kekunci,
Linked Invoices,Invois Berkaitan,
Material,Bahan,
Menu,Menu,
Minimum Seating,Tempat Duduk Minimum,
Mobile Number,Nombor telefon,
Mode of Payment,Cara Pembayaran,
Net Profit/Loss,Keuntungan / Kerugian Bersih,
Net Total,Jumlah bersih,
No of Seats,Tiada tempat duduk,
Occupied,Diduduki,
Opening Amount,Jumlah Pembukaan,
Order,Order,
Order Type,Perintah Jenis,
POS Invoice,Invois POS,
POS Opening Entry,Penyertaan Pembukaan POS,
POS Profile,POS Profil,
POS Transactions,Transaksi POS,
Payment Amount,Jumlah Bayaran,
Payment Reconciliation,Penyesuaian bayaran,
Payment Type,Jenis pembayaran,
Percent,Peratus,
Period End Date,Tarikh Akhir Tempoh,
Period Start Date,Tarikh Permulaan Tempoh,
Posting Date,Penempatan Tarikh,
Posting Time,Penempatan Masa,
Price List (Auto created),Senarai harga (dicipta secara automatik),
Print,Cetak,
Printer,Mesin pencetak,
Printer Settings,Tetapan Pencetak,
Priority,Keutamaan,
Production,Pengeluaran,
Qty,Qty,
Quantity,Kuantiti,
Queued,Beratur,
Rate,Kadar,
Reason,Sebab,
Receiver By Role,Penerima Oleh Peranan,
Recipients,Penerima,
Reload,Muat semula,
Remarks,Catatan,
Restaurant,Restoran,
Restaurant Menu,Menu Restoran,
Restaurant Table,Jadual Restoran,
Role,Peranan,
Room,bilik,
Room Type,Jenis bilik,
Session Defaults,Default Sesi,
Status,Status,
Submitted,Dihantar,
Summary,Ringkasan,
System Manager,Pengurus Sistem,
Table,Jadual,
Tax,Cukai,
Time,Masa,
Total Quantity,Kuantiti keseluruhan,
Type,Jenis,
User,Pengguna,
User Details,Maklumat Pengguna,
Verified,Disahkan,
View Website,Lihat Laman Web,
Warehouse,Gudang,
user,pengguna,
