Add Item,Item toevoegen,
Additional Details,Overige gegevens,
Address,Adres,
All,Allemaal,
Amended From,Gewijzigd Van,
Amount,Bedrag,
Bill,Bill,
Branch,Tak,
Buying Price List,Prijslijst kopen,
Cancelled,Geannuleerd,
Cashier,Kassa,
Click Enter To Add,Klik op Enter om toe te voegen,
Closing Amount,Eindbedrag,
Comment,Commentaar,
Comments,Reacties,
Company,Bedrijf,
Cost of Goods Sold,Kostprijs verkochte goederen,
Current Order,Huidige bestelling,
Customer,Klant,
Customer Name,klantnaam,
Date,Datum,
Default Price List,Standaard Prijslijst,
Default Tax Template,Standaard belasting sjabloon,
Delivery,Levering,
Depreciation,Afschrijvingskosten,
Details,Details,
Difference,Verschil,
Direct Expenses,Directe kosten,
Disabled,Uitgeschakeld,
Draft,Concept,
Duplicate,Dupliceer,
Enabled,Ingeschakeld,
Expected Amount,Verwacht bedrag,
Expense,Kosten,
Failed,Gefaald,
Grand Total,Algemeen totaal,
Image,Afbeelding,
Indirect Expenses,Indirecte kosten,
Invoice,Factuur,
Invoice Created,Invoice Created,
Invoice Series Prefix,Prefix voor factuurreeks,
Item,Artikel,
Item Group,Artikelgroep,
Item Groups,Item Groepen,
Item Name,Itemnaam,
Items,Artikelen,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Linked Invoices,Gelinkte facturen,
Material,Materiaal,
Menu,Menu,
Minimum Seating,Minimum aantal zitplaatsen,
Mobile Number,Mobiel nummer,
Mode of Payment,Manier van betalen,
Net Profit/Loss,Nettowinst (verlies,
Net Total,Netto totaal,
No of Seats,Aantal zitplaatsen,
Occupied,Bezet,
Opening Amount,Openingsbedrag,
Order,Bestellen,
Order Type,Order Type,
POS Invoice,POS-factuur,
POS Opening Entry,POS Opening Entry,
POS Profile,POS Profiel,
POS Transactions,POS-transacties,
Payment Amount,Betaling Bedrag,
Payment Reconciliation,Afletteren,
Payment Type,Betaling Type,
Percent,Percentage,
Period End Date,Periode Einddatum,
Period Start Date,Begindatum van de periode,
Posting Date,Plaatsingsdatum,
Posting Time,Plaatsing Time,
Price List (Auto created),Prijslijst (automatisch aangemaakt),
Print,Afdrukken,
Printer,Printer,
Printer Settings,Printer instellingen,
Priority,Prioriteit,
Production,Productie,
Qty,Aantal,
Quantity,Hoeveelheid,
Queued,Wachtrij,
Rate,tarief,
Reason,Reden,
Receiver By Role,Ontvanger per rol,
Recipients,Ontvangers,
Reload,Herladen,
Remarks,Opmerkingen,
Restaurant,Restaurant,
Restaurant Menu,Restaurant Menu,
Restaurant Table,Restaurant tafel,
Role,Rol,
Room,Kamer,
Room Type,Kamertype,
Session Defaults,Standaardwaarden sessie,
Status,Status,
Submitted,Ingediend,
Summary,Overzicht,
System Manager,System Manager,
Table,Tabel,
Tax,Belasting,
Time,Tijd,
Total Quantity,Totale kwantiteit,
Type,Type,
User,Gebruiker,
User Details,gebruikersdetails,
Verified,geverifieerd,
View Website,Bekijk Website,
Warehouse,Magazijn,
user,gebruiker,
