Add Item,Legg til element,
Additional Details,ekstra detaljer,
Address,Adresse,
All,Alle,
Amended From,Endret Fra,
Amount,Beløp,
Bill,Regning,
Branch,Branch,
Buying Price List,Kjøpe prisliste,
Cancelled,avbrutt,
Cashier,Kasserer,
Click Enter To Add,Klikk på Enter for å legge til,
Closing Amount,Utløpsbeløp,
Comment,Kommentar,
Comments,Kommentarer,
Company,Selskap,
Cost of Goods Sold,Varekostnad,
Current Order,Nåværende ordre,
Customer,Kunde,
Customer Name,Kundenavn,
Date,Dato,
Default Price List,Standard Prisliste,
Default Tax Template,Standardskattemall,
Delivery,Levering,
Depreciation,avskrivninger,
Details,Detaljer,
Difference,Forskjell,
Direct Expenses,Direkte kostnader,
Disabled,Funksjonshemmede,
Draft,utkast,
Duplicate,Duplisere,
Enabled,Aktivert,
Expected Amount,Forventet beløp,
Expense,Expense,
Failed,Mislyktes,
Grand Total,Grand Total,
Image,Bilde,
Indirect Expenses,Indirekte kostnader,
Invoice,Faktura,
Invoice Created,Faktura er opprettet,
Invoice Series Prefix,Faktura Serie Prefiks,
Item,Sak,
Item Group,Varegruppe,
Item Groups,varegruppene,
Item Name,Gjenstandsnavn,
Items,elementer,
Keyboard Shortcuts,Tastatursnarveier,
Linked Invoices,Koblede fakturaer,
Material,Materiale,
Menu,Meny,
Minimum Seating,Minimum sitteplasser,
Mobile Number,Mobilnummer,
Mode of Payment,Betalingsmåte,
Net Profit/Loss,Netto fortjeneste / tap,
Net Total,Net Total,
No of Seats,Antall plasser,
Occupied,opptatt,
Opening Amount,Åpningsbeløp,
Order,Rekkefølge,
Order Type,Ordretype,
POS Invoice,POS-faktura,
POS Opening Entry,POS åpningsoppføring,
POS Profile,POS Profile,
POS Transactions,POS-transaksjoner,
Payment Amount,Betalings Beløp,
Payment Reconciliation,Betaling Avstemming,
Payment Type,Betalings type,
Percent,Prosent,
Period End Date,Periodens sluttdato,
Period Start Date,Periode Startdato,
Posting Date,Publiseringsdato,
Posting Time,Postering Tid,
Price List (Auto created),Prisliste (automatisk opprettet),
Print,Skrive ut,
Printer,Skriver,
Printer Settings,Skriverinnstillinger,
Priority,Prioritet,
Production,Produksjon,
Qty,Antall,
Quantity,Antall,
Queued,I kø,
Rate,Rate,
Reason,Reason,
Receiver By Role,Mottaker etter rolle,
Recipients,Mottakere,
Reload,Last,
Remarks,Bemerkninger,
Restaurant,Restaurant,
Restaurant Menu,Restaurantmeny,
Restaurant Table,Restaurantbord,
Role,Rolle,
Room,Rom,
Room Type,Romtype,
Session Defaults,Økt mislighold,
Status,Status,
Submitted,Sendt inn,
Summary,Sammendrag,
System Manager,System Manager,
Table,Bord,
Tax,Skatte,
Time,Tid,
Total Quantity,Totalt antall,
Type,Type,
User,Bruker,
User Details,Brukerdetaljer,
Verified,verifisert,
View Website,Vis nettstedet,
Warehouse,Warehouse,
user,bruker,
