Add Item,Dodaj pozycję,
Additional Details,Dodatkowe Szczegóły,
Address,Adres,
All,Wszystko,
Amended From,Zmodyfikowany od,
Amount,Wartość,
Bill,Rachunek,
Branch,Odddział,
Buying Price List,Kupowanie cennika,
Cancelled,Anulowany,
Cashier,Kasjer,
Click Enter To Add,Kliknij Enter To Add,
Closing Amount,Kwota zamknięcia,
Comment,Komentarz,
Comments,Komentarze,
Company,Firma,
Cost of Goods Sold,Wartość sprzedanych pozycji w cenie nabycia,
Current Order,Aktualne zamówienie,
Customer,Klient,
Customer Name,Nazwa klienta,
Date,Data,
Default Price List,Domyślny cennik,
Default Tax Template,Domyślny szablon podatkowy,
Delivery,Dostarczanie,
Depreciation,Amortyzacja,
Details,Szczegóły,
Difference,Różnica,
Direct Expenses,Wydatki bezpośrednie,
Disabled,Nieaktywny,
Draft,Wersja robocza,
Duplicate,Powiel,
Enabled,Aktywny,
Expected Amount,Oczekiwana kwota,
Expense,Koszt,
Failed,Nieudane,
Grand Total,Suma Całkowita,
Image,Obrazek,
Indirect Expenses,Wydatki pośrednie,
Invoice,Faktura,
Invoice Created,Utworzono fakturę,
Invoice Series Prefix,Prefiks serii faktur,
Item,Asortyment,
Item Group,Kategoria,
Item Groups,Pozycja Grupy,
Item Name,Nazwa przedmiotu,
Items,Produkty,
Keyboard Shortcuts,Skróty klawiszowe,
Linked Invoices,Powiązane faktury,
Material,Materiał,
Menu,Menu,
Minimum Seating,Minimalne miejsce siedzące,
Mobile Number,Numer telefonu komórkowego,
Mode of Payment,Sposób płatności,
Net Profit/Loss,Zysk / strata netto,
Net Total,Łączna wartość netto,
No of Seats,Liczba miejsc,
Occupied,Zajęty,
Opening Amount,Kwota otwarcia,
Order,Zamówienie,
Order Type,Typ zamówienia,
POS Invoice,Faktura POS,
POS Opening Entry,Otwarcie POS,
POS Profile,POS profilu,
POS Transactions,Transakcje POS,
Payment Amount,Kwota płatności,
Payment Reconciliation,Uzgodnienie płatności,
Payment Type,Typ płatności,
Percent,Procent,
Period End Date,Data zakończenia okresu,
Period Start Date,Data rozpoczęcia okresu,
Posting Date,Data publikacji,
Posting Time,Czas publikacji,
Price List (Auto created),Cennik (utworzony automatycznie),
Print,Wydrukować,
Printer,Drukarka,
Printer Settings,Ustawienia drukarki,
Priority,Priorytet,
Production,Produkcja,
Qty,Ilość,
Quantity,Ilość,
Queued,W kolejce,
Rate,Stawka,
Reason,Powód,
Receiver By Role,Odbiorca według roli,
Recipients,Adresaci,
Reload,Przeładuj,
Remarks,Uwagi,
Restaurant,Restauracja,
Restaurant Menu,Menu restauracji,
Restaurant Table,Stolik Restauracyjny,
Role,Rola,
Room,Pokój,
Room Type,Rodzaj pokoju,
Session Defaults,Domyślne ustawienia sesji,
Status,Status,
Submitted,Zgłoszny,
Summary,Podsumowanie,
System Manager,System Manager,
Table,Tabela,
Tax,Podatek,
Time,Czas,
Total Quantity,Całkowita ilość,
Type,Typ,
User,Użytkownik,
User Details,Dane użytkownika,
Verified,Zweryfikowany,
View Website,Zobacz stronę WWW,
Warehouse,Magazyn,
user,użytkownik,
