Add Item,Adicionar Item,
Additional Details,Detalhes Adicionais,
Address,Endereço,
All,Todos,
Amended From,Alterado De,
Amount,Montante,
Bill,Fatura,
Branch,Filial,
Buying Price List,Lista de Preços de Compra,
Cancelled,Cancelado,
Cashier,Caixa,
Click Enter To Add,Clique em Enter para Adicionar,
Closing Amount,Valor de Fechamento,
Comment,Comentário,
Comments,Comentários,
Company,Empresa,
Cost of Goods Sold,Custo Dos Produtos Vendidos,
Current Order,Ordem Atual,
Customer,Cliente,
Customer Name,Nome do Cliente,
Date,Data,
Default Price List,Lista de Preços Padrão,
Default Tax Template,Modelo de Imposto Padrão,
Delivery,Entrega,
Depreciation,Depreciação,
Details,Detalhes,
Difference,Diferença,
Direct Expenses,Despesas Diretas,
Disabled,Desativado,
Draft,Rascunho,
Duplicate,Duplicar,
Enabled,Ativado,
Expected Amount,Quantidade Esperada,
Expense,Despesa,
Failed,Falhou,
Grand Total,Total Geral,
Image,Imagem,
Indirect Expenses,Despesas Indiretas,
Invoice,Fatura,
Invoice Created,Fatura Criada,
Invoice Series Prefix,Prefixo da Série de Fatura,
Item,Item,
Item Group,Grupo de Itens,
Item Groups,Grupos de Itens,
Item Name,Nome do Item,
Items,Itens,
Keyboard Shortcuts,Atalhos do teclado,
Linked Invoices,Faturas Vinculadas,
Material,Material,
Menu,Menu,
Minimum Seating,Assentos Mínimos,
Mobile Number,Número de Celular,
Mode of Payment,Forma de Pagamento,
Net Profit/Loss,Lucro / Perda Líquida,
Net Total,Total Líquido,
No of Seats,Número de Assentos,
Occupied,Ocupado,
Opening Amount,Quantidade de Abertura,
Order,Pedido,
Order Type,Tipo de Pedido,
POS Invoice,Fatura PDV,
POS Opening Entry,Entrada de abertura de PDV,
POS Profile,Perfil do PDV,
POS Transactions,Transações PDV,
Payment Amount,Valor do Pagamento,
Payment Reconciliation,Conciliação de Pagamento,
Payment Type,Tipo de Pagamento,
Percent,Por cento,
Period End Date,Data de Término do Período,
Period Start Date,Data de Início do Período,
Posting Date,Data da Postagem,
Posting Time,Horário da Postagem,
Price List (Auto created),Lista de preços (criada automaticamente),
Print,Impressão,
Printer,Impressora,
Printer Settings,Configurações da Impressora,
Priority,Prioridade,
Production,Produção,
Qty,Qtd,
Quantity,Quantidade,
Queued,Em Fila,
Rate,Taxa,
Reason,Motivo,
Receiver By Role,Receptor por função,
Recipients,Destinatários,
Reload,Recarregar,
Remarks,Observações,
Restaurant,Restaurante,
Restaurant Menu,Menu do Restaurante,
Restaurant Table,Mesa de Restaurante,
Role,Função,
Room,Quarto,
Room Type,Tipo de Quarto,
Session Defaults,Padrões de Sessão,
Status,Status,
Submitted,Enviado,
Summary,Resumo,
System Manager,Administrador do Sistema,
Table,Tabela,
Tax,Imposto,
Time,Tempo,
Total Quantity,Quantidade Total,
Type,Tipo,
User,Usuário,
User Details,Detalhes do Usuario,
Verified,Verificado,
View Website,Ver  Site,
Warehouse,Armazém,
user,usuário,
