Add Item,Adicionar Item,
Additional Details,Dados Adicionais,
Address,Endereço,
All,Todos,
Amended From,Alterado De,
Amount,Montante,
Bill,Fatura,
Branch,Filial,
Buying Price List,Lista de preços de compra,
Cancelled,Cancelado,
Cashier,Caixa,
Click Enter To Add,Clique em Enter To Add,
Closing Amount,Valor de fechamento,
Comment,Comente,
Comments,Comentários,
Company,Empresa,
Cost of Goods Sold,Custo dos Produtos Vendidos,
Current Order,Ordem atual,
Customer,Cliente,
Customer Name,nome do cliente,
Date,Data,
Default Price List,Lista de Preços Padrão,
Default Tax Template,Modelo de imposto padrão,
Delivery,Entrega,
Depreciation,Depreciação,
Details,Dados,
Difference,Diferença,
Direct Expenses,Despesas Diretas,
Disabled,Desativado,
Draft,"Esboço, projeto",
Duplicate,Duplicar,
Enabled,Ativado,
Expected Amount,Quantidade esperada,
Expense,Despesa,
Failed,Falhou,
Grand Total,Total geral,
Image,Imagem,
Indirect Expenses,Despesas indiretas,
Invoice,Fatura,
Invoice Created,Fatura criada,
Invoice Series Prefix,Prefixo da série de fatura,
Item,Item,
Item Group,Grupo do Item,
Item Groups,Grupos de Itens,
Item Name,Nome do item,
Items,Itens,
Keyboard Shortcuts,Atalhos do teclado,
Linked Invoices,Faturas Vinculadas,
Material,Material,
Menu,Menu,
Minimum Seating,Assentos mínimos,
Mobile Number,Número de Telemóvel,
Mode of Payment,Modo de pagamento,
Net Profit/Loss,Lucro / Perda Líquida,
Net Total,Total Líquido,
No of Seats,No of Seats,
Occupied,Ocupado,
Opening Amount,Quantidade de Abertura,
Order,Ordem,
Order Type,Tipo de Pedido,
POS Invoice,Fatura POS,
POS Opening Entry,Entrada de abertura de PDV,
POS Profile,Perfil POS,
POS Transactions,Transações POS,
Payment Amount,Valor do Pagamento,
Payment Reconciliation,Conciliação de Pagamento,
Payment Type,Tipo de pagamento,
Percent,Por Cento,
Period End Date,Data de término do período,
Period Start Date,Data de Início do Período,
Posting Date,Data de postagem,
Posting Time,Hora de Postagem,
Price List (Auto created),Lista de preços (criada automaticamente),
Print,Impressão,
Printer,Impressora,
Printer Settings,Configurações da Impressora,
Priority,Prioridade,
Production,Produção,
Qty,Qtd,
Quantity,Quantidade,
Queued,Em Fila,
Rate,Valor,
Reason,Motivo,
Receiver By Role,Receptor por função,
Recipients,Destinatários,
Reload,recarregar,
Remarks,Observações,
Restaurant,Restaurante,
Restaurant Menu,Menu do restaurante,
Restaurant Table,Mesa de restaurante,
Role,Função,
Room,Quarto,
Room Type,Tipo de sala,
Session Defaults,Padrões de Sessão,
Status,Status,
Submitted,Enviado,
Summary,Resumo,
System Manager,System Manager,
Table,Tabela,
Tax,Imposto,
Time,Tempo,
Total Quantity,Quantidade total,
Type,Tipo,
User,Do utilizador,
User Details,Detalhes do usuario,
Verified,Verificado,
View Website,Veja site,
Warehouse,Armazém,
user,Utilizador,
