Add Item,Adăugă Element,
Additional Details,Detalii suplimentare,
Address,Adresă,
All,Toate,
Amended From,Modificat din,
Amount,Sumă,
Bill,Factură,
Branch,ramură,
Buying Price List,Achiziționarea listei de prețuri,
Cancelled,Anulat,
Cashier,Casier,
Click Enter To Add,Faceți clic pe Enter to Add,
Closing Amount,Suma de închidere,
Comment,cometariu,
Comments,Comentarii,
Company,Compania,
Cost of Goods Sold,Cost Bunuri Vândute,
Current Order,Comanda actuală,
Customer,Client,
Customer Name,Nume client,
Date,Dată,
Default Price List,Lista de Prețuri Implicita,
Default Tax Template,Implicit Template fiscal,
Delivery,Livrare,
Depreciation,Depreciere,
Details,Detalii,
Difference,Diferență,
Direct Expenses,Cheltuieli directe,
Disabled,Dezactivat,
Draft,Proiect,
Duplicate,Duplicat,
Enabled,Activat,
Expected Amount,Suma așteptată,
Expense,cheltuială,
Failed,A eșuat,
Grand Total,Total general,
Image,Imagine,
Indirect Expenses,Cheltuieli indirecte,
Invoice,Factură,
Invoice Created,Factura creată,
Invoice Series Prefix,Prefixul seriei de facturi,
Item,Obiect,
Item Group,Grup Articol,
Item Groups,Grupuri articol,
Item Name,Numele articolului,
Items,Articole,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Linked Invoices,Linked Factures,
Material,Material,
Menu,Meniu,
Minimum Seating,Scaunele minime,
Mobile Number,Numar de mobil,
Mode of Payment,Modul de plată,
Net Profit/Loss,Profit / Pierdere Netă,
Net Total,Total net,
No of Seats,Numărul de scaune,
Occupied,Ocupat,
Opening Amount,Suma de deschidere,
Order,Ordin,
Order Type,Tip comandă,
POS Invoice,Factură POS,
POS Opening Entry,Intrare de deschidere POS,
POS Profile,POS Profil,
POS Transactions,Tranzacții POS,
Payment Amount,Plata Suma,
Payment Reconciliation,Reconcilierea plată,
Payment Type,Tip de plată,
Percent,La sută,
Period End Date,Perioada de sfârșit a perioadei,
Period Start Date,Data de începere a perioadei,
Posting Date,Dată postare,
Posting Time,Postarea de timp,
Price List (Auto created),Listă Prețuri (creată automat),
Print,Imprimare,
Printer,Imprimanta,
Printer Settings,Setări imprimantă,
Priority,Prioritate,
Production,Producţie,
Qty,Cantitate,
Quantity,Cantitate,
Queued,Coada de așteptare,
Rate,Rată,
Reason,Motiv,
Receiver By Role,Receptor după rol,
Recipients,Destinatarii,
Reload,Reîncarcă,
Remarks,Remarci,
Restaurant,Restaurant,
Restaurant Menu,Meniu Restaurant,
Restaurant Table,Masă Restaurant,
Role,Rol,
Room,Cameră,
Room Type,Tip Cameră,
Session Defaults,Valorile implicite ale sesiunii,
Status,Status,
Submitted,Inscrisa,
Summary,Rezumat,
System Manager,System Manager,
Table,Tabel,
Tax,Impozite,
Time,Timp,
Total Quantity,Cantitatea totala,
Type,Tip,
User,Utilizator,
User Details,Detalii utilizator,
Verified,Verificat,
View Website,Vezi site-ul,
Warehouse,Depozit,
user,utilizator,
