 Enable Order Type Edit,Разрешить изменение типа заказа,
% of selected sales,% от выбранных продаж,
"<li>Daily Gross Salary Cost is calculated from employees attendance.</li>
<br>","<li>Дневная стоимость валовой зарплаты рассчитывается из посещаемости сотрудников.</li>
<br>",
A staff member will assist with payment shortly.,Сотрудник скоро подойдёт для оплаты.,
A valid recipient is required,Требуется корректный получатель,
AC,Кондиционер,
AMOUNT,СУММА,
Acknowledged,Подтверждено,
Active Info,Информация о статусе,
Add Discount,Добавить скидку,
Adding further items to this order is not allowed,Добавление позиций в этот заказ запрещено,
Aggregator ID,ID агрегатора,
Aggregator Series Prefix,Префикс серии агрегатора,
Aggregator Settings,Настройки агрегатора,
Aggregators,Агрегаторы,
Aggregators Settings,Настройки агрегаторов,
Allow Add to Running Table,Разрешить добавление к занятому столу,
Allow Cashier To Edit And Remove Table Order Items,Разрешить кассиру изменять и удалять позиции заказа стола,
Allow Cashier To View All Status,Разрешить кассиру видеть все статусы,
An error occurred while printing,Произошла ошибка при печати,
Applied for both Sales Invoice and POS Invoice,"Применяется и к Sales Invoice, и к POS Invoice",
Applies To,Применяется к,
Arrived Time,Время прибытия,
Assistance,Помощь,
At least one item must remain on the original bill.,На исходном счёте должна остаться хотя бы одна позиция.,
Auth & Status,Авторизация и статус,
Bill Merge Details,Детали объединения счёта,
Billing & Payment,Оплата и расчёт,
Block Takeaway KOT,Блокировать KOT на вынос,
Breakup,Разбивка,
Burning Materials (Other Consumables),Расходные материалы (прочие),
Buying Price,Закупочная цена,
Cancel Order,Отменить заказ,
Cancellation Reason,Причина отмены,
Cancelled Qty,Отменённое количество,
Cannot merge an already merged table.,Нельзя объединить уже объединённый стол.,
Cannot merge tables from different rooms.,Нельзя объединять столы из разных залов.,
Cannot merge tables with separate active orders.,Нельзя объединять столы с разными активными заказами.,
Cannot move more than available quantity for {0}.,Нельзя переместить больше доступного количества для {0}.,
Cannot unmerge active tables.,Нельзя разъединить активные столы.,
Cannot verify transfer permission: order has no POS Profile.,Не удалось проверить право переноса: у заказа нет POS-профиля.,
Captain Transfer,Перенос официантом,
Captain transfer is not allowed between different rooms,Перенос между разными залами запрещён,
Cart Items,Позиции корзины,
Checklist Items,Пункты чек-листа,
Checklist Type,Тип чек-листа,
Circle,Круг,
Closing,Закрытие,
Completed At,Завершено в,
Confirm Cancellation,Подтвердить отмену,
Cost Of Goods,Себестоимость,
Cost Of Goods Sold (Breakup),Себестоимость продаж (разбивка),
Cost Per Unit,Стоимость за единицу,
Cost center is mandatory.,Центр затрат обязателен.,
Cost of Goods Sold Percent,"Себестоимость продаж, %",
Could Not Delete Demo Data,Не удалось удалить демо-данные,
Course Icon,Иконка категории,
Create Invoice without Tax,Создавать счёт без налога,
Creating demo transactions,Создание демо-транзакций,
Credential Hash,Хеш учётных данных,
Customer group,Группа клиентов,
Daily Fixed,Ежедневно (фикс.),
Daily P and L Settings,Настройки ежедневного P&L,
Declined,Отклонено,
Default Menu,Меню по умолчанию,
Default Mode Of Payments,Способы оплаты по умолчанию,
Default Room,Зал по умолчанию,
Depreciation Percent,"Амортизация, %",
Device,Устройство,
Device Config,Конфигурация устройства,
Device ID,ID устройства,
Device Info,Информация об устройстве,
Device Name,Название устройства,
Device Type,Тип устройства,
Device not recognized,Устройство не распознано,
Dine In,В зале,
Direct Fixed Expenses,Прямые постоянные расходы,
Discount is not allowed for this POS Profile,Скидка запрещена для этого POS-профиля,
Discount of {0}% exceeds the maximum allowed discount of {1}%.,Скидка {0}% превышает максимально допустимую {1}%.,
Discount percentage must be between 0 and 100,Процент скидки должен быть от 0 до 100,
Discounts & Round Offs,Скидки и округления,
Discounts & Round Offs Percent,"Скидки и округления, %",
Discounts are not enabled for POS Profile {0}.,Скидки не включены для POS-профиля {0}.,
Edit Cart,Изменить корзину,
Either Bill is not enabled / Printer is not selected in Printer Settings.,"Либо печать счёта не включена, либо не выбран принтер в настройках принтера.",
Electricity Closing,Электричество (закрытие),
Electricity Opening,Электричество (открытие),
Electricty Charges,Расходы на электроэнергию,
Employee Cost,Расходы на персонал,
Employee Cost Percent,"Расходы на персонал, %",
Employee Costs,Расходы на персонал,
Enable Customer Payment,Включить оплату клиентом,
Enable Discount,Включить скидки,
Enable Item Notes,Включить заметки к позициям,
Enable KOT Audio Alert,Включить звуковое оповещение KOT,
Enable KOT Reprint,Включить повторную печать KOT,
Enable Kiosk Ordering,Включить киоск самообслуживания,
Enable Multiple Cashier,Включить несколько кассиров,
Enable Pay at Counter,Включить оплату на кассе,
Enable Payment Link,Включить платёжную ссылку,
Enable Product Detail Page,Включить страницу деталей товара,
Enable QR Pickup Ordering,Включить QR-заказ на самовывоз,
Enable QR Table Ordering,Включить QR-заказ за столом,
Enable Request Bill,Включить запрос счёта,
Enable discount feature in URY POS,Включить скидки в URY POS,
Enable order type wise display on mosaic,Включить отображение по типам заказа в Mosaic,
"Enables Cashiers to view all statuses (Paid, Consolidated, Return Invoices) in the recent order.","Позволяет кассирам видеть все статусы (Оплачен, Объединён, Возврат) в последних заказах.",
Enter Units Consumed,Введите потреблённые единицы,
"Enter any Lucide icon name in PascalCase (e.g., Pizza, Coffee, Soup). See https://lucide.dev/icons for all available icons. Common choices: Apple, Banana, Beef, Beer, Blender, BottleWine, Broccoli, Hamburger, Cake, CakeSlice, Candy, CandyCane, Carrot, ChefHat, Cherry, Citrus, Coffee, Cookie, CookingPot, Croissant, CupSoda, Dessert, Donut, Drumstick, Egg, EggFried, Fish, FishSymbol, GlassWater, Grape, Hamburger, HandPlatter, Hop, IceCreamBowl, IceCreamCone, LeafyGreen, Lollipop, Martini, Milk, Microwave, Nut, PaperBag, Pizza, Popcorn, Popsicle, Refrigerator, Salad, Sandwich, Shell, Shrimp, Snail, Soup, Taco, Torus, Utensils, UtensilsCrossed, Vegan, Wheat, Wine.","Введите имя иконки Lucide в PascalCase (например, Pizza, Coffee, Soup). См. https://lucide.dev/icons. Частые варианты: Apple, Banana, Beef, Beer, Hamburger, Cake, Coffee, Croissant, Fish, Pizza, Salad, Soup, Wine и др.",
Error while placing order: {0},Ошибка при размещении заказа: {0},
Error while printing order,Ошибка при печати заказа,
Expires At,Истекает в,
Extended Hours,Продлённые часы,
Failed to create demo transactions,Не удалось создать демо-транзакции,
"Failed to erase demo data, please delete the demo company manually.","Не удалось стереть демо-данные, удалите демо-компанию вручную.",
Failed to load data . Please refresh the page,Не удалось загрузить данные. Обновите страницу,
Failed to load restaurant demo masters,Не удалось загрузить демо-справочники ресторана,
Failed to set up POS demo,Не удалось настроить демо POS,
Favorite Item,Избранная позиция,
Favorite Items,Избранные позиции,
Fixed Table,Стационарный стол,
Frappe School,Frappe School,
Generate URY Demo Data,Сгенерировать демо-данные URY,
Gross Profit/Loss,Валовая прибыль/убыток,
Gross Profit/Loss Percent,"Валовая прибыль/убыток, %",
Gross Sales,Валовые продажи,
Gross Sales Percent,"Валовые продажи, %",
Idle,Простаивает,
"If checked, we will create URY demo data for you to explore the system. This demo data can be erased later.","Если отмечено, будут созданы демо-данные URY для ознакомления с системой. Позже их можно стереть.",
Includes in Total Indirect Expense,Включается в общие косвенные расходы,
Incorrect staff PIN,Неверный PIN сотрудника,
Indicate Course,Указывать категорию,
Indicate In KDS,Отображать в KDS,
Indirect Fixed Expenses,Косвенные постоянные расходы,
Ingenico,Ingenico,
Invalid QZ private key path in site config,Неверный путь к приватному ключу QZ в конфигурации сайта,
Invalid characters in search term,Недопустимые символы в поисковом запросе,
Invalid discount value: {0},Неверное значение скидки: {0},
Invalid ordering link,Неверная ссылка заказа,
Invalid quantity for item {0},Неверное количество для позиции {0},
Invalid table,Неверный стол,
Invoice Already Billed,Счёт уже выставлен,
Invoice Creation Time,Время создания счёта,
Invoice Printed,Счёт напечатан,
Is Aggregator,Агрегатор,
Is Checked,Отмечено,
Is Take Away,На вынос,
Item Add On,Дополнение к позиции,
Item Added Total Qty= ,"Добавлена позиция, всего = ",
Item Added Total Qty= 1,"Добавлена позиция, всего = 1",
Item Quantity Reduced Total Qty= ,"Уменьшено количество позиции, всего = ",
Item not found,Позиция не найдена,
Item {0} is not available on this menu,Позиция {0} недоступна в этом меню,
KDS Order Type,Тип заказа KDS,
KDS Settings,Настройки KDS,
KOT,KOT,
KOT Items,Позиции KOT,
KOT Print,Печать KOT,
KOT Print Format,Формат печати KOT,
KOT Settings,Настройки KOT,
KOT Warning Time,Время предупреждения KOT,
KOT alert sound,Звук оповещения KOT,
Keep Sales Invoice Unpaid,Оставлять Sales Invoice неоплаченным,
Kiosk,Киоск,
Kiosk ordering is currently unavailable,Заказ через киоск сейчас недоступен,
Landscape Kiosk,Киоск (альбомная),
Last Activity,Последняя активность,
Last Seen,Последний визит,
Last Transaction,Последняя транзакция,
Last Transaction ID,ID последней транзакции,
Latest Invoice Time,Время последнего счёта,
Layout,Макет,
Layout Height,Высота макета,
Layout Position,Позиция макета,
Layout Width,Ширина макета,
Layout X,Макет X,
Layout Y,Макет Y,
Loading Invoices! Please Wait...,Загрузка счетов! Подождите...,
Loading restaurant demo masters,Загрузка демо-справочников ресторана,
Main Cashier,Главный кассир,
Materials Consumed,Потреблённые материалы,
Menu For Room,Меню для зала,
Menu Info,Информация о меню,
Menu for Room,Меню для зала,
Merged POS Invoice,Объединённый POS-счёт,
Merged POS Invoice Details,Детали объединённого POS-счёта,
Merged Tables,Объединённые столы,
Merged Total,Итог объединения,
Merged With,Объединён с,
Missing URY Report Settings,Отсутствуют настройки отчётов URY,
Missing ordering session,Отсутствует сессия заказа,
Missing ordering token or device credentials,Отсутствует токен заказа или учётные данные устройства,
Missing payload to sign,Отсутствуют данные для подписи,
Modified time,Время изменения,
Monthly Fixed,Ежемесячно (фикс.),
Monthly Fixed Expenses,Ежемесячные постоянные расходы,
Multiple Cashier Configuration,Настройка нескольких кассиров,
Multiple Rooms,Несколько залов,
NON-AC,Без кондиционера,
Net Profit/Loss Percent,"Чистая прибыль/убыток, %",
Net Sales,Чистые продажи,
Net Sales Percent,"Чистые продажи, %",
New Order,Новый заказ,
No Company found.,Компания не найдена.,
No Of Hours,Количество часов,
No active order for this session,Нет активного заказа для этой сессии,
No active order for this table,Нет активного заказа для этого стола,
No company found for URY demo data,Компания для демо-данных URY не найдена,
No item price found for Item: {0} in Price List: {1}. Please check the price list settings.,Цена не найдена для позиции {0} в прайс-листе {1}. Проверьте настройки прайс-листа.,
No items provided,Позиции не переданы,
No payment request found for this order — create one first,Платёжный запрос для этого заказа не найден — сначала создайте его,
No payment terminal is configured for this kiosk.,Для этого киоска не настроен платёжный терминал.,
"No payment terminal is configured for this kiosk. Please use a card/UPI reader at the counter, or pay via the online payment option if enabled.","Для этого киоска не настроен платёжный терминал. Воспользуйтесь картридером на кассе или онлайн-оплатой, если она включена.",
No such simulated terminal transaction.,Такая симулированная транзакция терминала не найдена.,
No warehouses found for the demo company. Please create at least one warehouse.,Склады для демо-компании не найдены. Создайте хотя бы один склад.,
Not allowed to cancel billed orders.,Отмена оплаченных заказов запрещена.,
Not allowed to cancel table orders through PoS,Отмена заказов стола через POS запрещена,
