Add Item,Ongeraho Ikintu,
Additional Details,Ibisobanuro birambuye,
Address,Aderesi,
All,Byose,
Amended From,Yahinduwe Kuva,
Amount,Umubare,
Bill,Bill,
Branch,Ishami,
Buying Price List,Kugura Urutonde,
Cancelled,Yahagaritswe,
Cashier,Cashier,
Click Enter To Add,Kanda Enter Kuri Ongeraho,
Closing Amount,Amafaranga yo gufunga,
Comment,Igitekerezo,
Comments,Ibitekerezo,
Company,Isosiyete,
Cost of Goods Sold,Igiciro cyibicuruzwa,
Current Order,Urutonde rwubu,
Customer,Umukiriya,
Customer Name,Izina ryabakiriya,
Date,Itariki,
Default Price List,Urutonde rwibiciro,
Default Tax Template,Inyandikorugero yimisoro,
Delivery,Gutanga,
Depreciation,Guta agaciro,
Details,Ibisobanuro,
Difference,Itandukaniro,
Direct Expenses,Amafaranga ataziguye,
Disabled,Abamugaye,
Draft,Inyandiko,
Duplicate,Kwigana,
Enabled,Gushoboza,
Expected Amount,Amafaranga ateganijwe,
Expense,Amafaranga,
Failed,Kunanirwa,
Grand Total,Igiteranyo Cyinshi,
Image,Ishusho,
Indirect Expenses,Amafaranga ataziguye,
Invoice,Inyemezabuguzi,
Invoice Created,Inyemezabuguzi yakozwe,
Invoice Series Prefix,Inyemezabuguzi y&#39;uruhererekane,
Item,Ingingo,
Item Group,Itsinda ryikintu,
Item Groups,Amatsinda y&#39;Ibintu,
Item Name,Izina ryikintu,
Items,Ibintu,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Linked Invoices,Inyemezabuguzi zihujwe,
Material,Ibikoresho,
Menu,Ibikubiyemo,
Minimum Seating,Kwicara Ntarengwa,
Mobile Number,Inomero ya Terefone,
Mode of Payment,Uburyo bwo Kwishura,
Net Profit/Loss,Inyungu / Gutakaza,
Net Total,Igiteranyo Cyuzuye,
No of Seats,Nta ntebe,
Occupied,Yigaruriwe,
Opening Amount,Amafaranga yo gufungura,
Order,Tegeka,
Order Type,Ubwoko bw&#39;urutonde,
POS Invoice,Inyemezabuguzi ya POS,
POS Opening Entry,POS Gufungura ibyinjira,
POS Profile,Umwirondoro wa POS,
POS Transactions,Ibikorwa bya POS,
Payment Amount,Amafaranga yo kwishyura,
Payment Reconciliation,Ubwiyunge bwo Kwishura,
Payment Type,Ubwoko bwo Kwishura,
Percent,Ijanisha,
Period End Date,Itariki yo kurangiriraho,
Period Start Date,Itariki yo Gutangiriraho,
Posting Date,Itariki yoherejwe,
Posting Time,Igihe cyo kohereza,
Price List (Auto created),Urutonde rwibiciro (Imodoka yaremye),
Print,Icapa,
Printer,Mucapyi,
Printer Settings,Igenamiterere rya Mucapyi,
Priority,Ibyingenzi,
Production,Umusaruro,
Qty,Qty,
Quantity,Umubare,
Queued,Umurongo,
Rate,Igipimo,
Reason,Impamvu,
Receiver By Role,Uwakiriye Uruhare,
Recipients,Abagenerwabikorwa,
Reload,Ongera usubiremo,
Remarks,Ijambo,
Restaurant,Restaurant,
Restaurant Menu,Ibikurikira,
Restaurant Table,Imeza ya Restaurant,
Role,Uruhare,
Room,Icyumba,
Room Type,Ubwoko bw&#39;icyumba,
Session Defaults,Isomo risanzwe,
Status,Imiterere,
Submitted,Yatanzwe,
Summary,Incamake,
System Manager,Umuyobozi wa sisitemu,
Table,Imbonerahamwe,
Tax,Umusoro,
Time,Igihe,
Total Quantity,Umubare wuzuye,
Type,Andika,
User,Umukoresha,
User Details,Umukoresha Ibisobanuro,
Verified,Byemejwe,
View Website,Reba Urubuga,
Warehouse,Ububiko,
user,umukoresha,
