Add Item,Pridať položku,
Additional Details,Ďalšie podrobnosti,
Address,Adresa,
All,ALL,
Amended From,Platném znění,
Amount,Částka,
Bill,Účtenka,
Branch,Větev,
Buying Price List,Nákupný cenník,
Cancelled,ZRUŠENÉ,
Cashier,Pokladník,
Click Enter To Add,Kliknite na položku Zadat &#39;na pridanie,
Closing Amount,Konečná suma,
Comment,komentár,
Comments,Komentáre,
Company,Spoločnosť,
Cost of Goods Sold,Náklady na predaj tovaru,
Current Order,Aktuálna objednávka,
Customer,zákazník,
Customer Name,Meno zákazníka,
Date,Dátum,
Default Price List,Predvolený cenník,
Default Tax Template,Štandardná daňová šablóna,
Delivery,dodávka,
Depreciation,Odpisovanie,
Details,Podrobnosti,
Difference,Rozdiel,
Direct Expenses,Priame náklady,
Disabled,Vypnuté,
Draft,Návrh,
Duplicate,Duplikát,
Enabled,Zapnuto,
Expected Amount,Očakávaná suma,
Expense,Výdaj,
Failed,Nepodarilo,
Grand Total,Celkem,
Image,Obrázok,
Indirect Expenses,Nepřímé náklady,
Invoice,faktúra,
Invoice Created,Vytvorená faktúra,
Invoice Series Prefix,Prefix radu faktúr,
Item,položka,
Item Group,Položková skupina,
Item Groups,Skupiny položiek,
Item Name,Názov položky,
Items,Položky,
Keyboard Shortcuts,Klávesové skratky,
Linked Invoices,Prepojené faktúry,
Material,materiál,
Menu,Menu,
Minimum Seating,Minimálne sedenie,
Mobile Number,Telefónne číslo,
Mode of Payment,Spôsob platby,
Net Profit/Loss,Čistý zisk / strata,
Net Total,Netto Spolu,
No of Seats,Počet sedadiel,
Occupied,obsadený,
Opening Amount,Počiatočná suma,
Order,objednať,
Order Type,Typ objednávky,
POS Invoice,POS faktúra,
POS Opening Entry,Vstupný otvorenie POS,
POS Profile,POS Profile,
POS Transactions,POS transakcie,
Payment Amount,Částka platby,
Payment Reconciliation,Platba Odsouhlasení,
Payment Type,Typ platby,
Percent,Percento,
Period End Date,Dátum ukončenia obdobia,
Period Start Date,Dátum začiatku obdobia,
Posting Date,Dátum pridania,
Posting Time,Čas zadání,
Price List (Auto created),Cenník (vytvorený automaticky),
Print,vytlačiť,
Printer,tlačiareň,
Printer Settings,Nastavenia tlačiarne,
Priority,Priorita,
Production,výroba,
Qty,množstvo,
Quantity,množstvo,
Queued,Vo fronte,
Rate,Sadzba,
Reason,Dôvod,
Receiver By Role,Prijímač podľa roly,
Recipients,Príjemcovia,
Reload,Znovu načítať,
Remarks,Poznámky,
Restaurant,reštaurácie,
Restaurant Menu,Reštaurácia,
Restaurant Table,Reštaurácia Tabuľka,
Role,Role,
Room,izbu,
Room Type,Typ izby,
Session Defaults,Predvolené hodnoty relácie,
Status,Stav,
Submitted,Potvrdené,
Summary,zhrnutie,
System Manager,Správca systému,
Table,Tabuľka,
Tax,daň,
Time,čas,
Total Quantity,Celkové množstvo,
Type,Typ,
User,užívateľ,
User Details,Detaily používateľa,
Verified,overená,
View Website,Prejsť na webstránku,
Warehouse,sklad,
user,Uživatel,
