Add Item,Dodaj predmet,
Additional Details,Dodatne podrobnosti,
Address,Naslov,
All,Vse,
Amended From,Spremenjeni Od,
Amount,Znesek,
Bill,Bill,
Branch,Podružnica,
Buying Price List,Nakupni cenik,
Cancelled,Prekinjeno,
Cashier,Blagajnik,
Click Enter To Add,Kliknite Enter za dodajanje,
Closing Amount,Zaključni znesek,
Comment,Komentar,
Comments,Komentarji,
Company,Podjetje,
Cost of Goods Sold,Nabavna vrednost prodanega blaga,
Current Order,Trenutni naročilo,
Customer,Stranka,
Customer Name,Ime stranke,
Date,Datum,
Default Price List,Privzeto Cenik,
Default Tax Template,Privzeta davčna predloga,
Delivery,Dostava,
Depreciation,Amortizacija,
Details,Podrobnosti,
Difference,Razlika,
Direct Expenses,Neposredni stroški,
Disabled,Onemogočeno,
Draft,Osnutek,
Duplicate,Podvajati,
Enabled,Omogočeno,
Expected Amount,Pričakovani znesek,
Expense,Expense,
Failed,Ni uspelo,
Grand Total,Skupna vsota,
Image,Image,
Indirect Expenses,Posredni stroški,
Invoice,Račun,
Invoice Created,Račun ustvarjen,
Invoice Series Prefix,Predpisi serije računov,
Item,Postavka,
Item Group,Element Group,
Item Groups,postavka Skupine,
Item Name,Ime predmeta,
Items,Predmeti,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Linked Invoices,Povezani računi,
Material,Material,
Menu,Meni,
Minimum Seating,Najmanjše število sedežev,
Mobile Number,Mobilna številka,
Mode of Payment,Način plačila,
Net Profit/Loss,Čisti dobiček / izguba,
Net Total,Neto Skupaj,
No of Seats,Število sedežev,
Occupied,Zasedeno,
Opening Amount,Začetni znesek,
Order,Vrstni red,
Order Type,Tip naročila,
POS Invoice,POS račun,
POS Opening Entry,POS otvoritveni vstop,
POS Profile,POS profila,
POS Transactions,POS transakcije,
Payment Amount,Znesek Plačila,
Payment Reconciliation,Uskladitev plačil,
Payment Type,Način plačila,
Percent,Odstotek,
Period End Date,Datum konca obdobja,
Period Start Date,Datum začetka obdobja,
Posting Date,Napotitev Datum,
Posting Time,Ura vnosa,
Price List (Auto created),Cenik (samodejno ustvarjen),
Print,Natisni,
Printer,Tiskalnik,
Printer Settings,Nastavitve tiskalnika,
Priority,Prednost,
Production,Proizvodnja,
Qty,Kol.,
Quantity,Količina,
Queued,V čakalni vrsti,
Rate,Stopnja,
Reason,Razlog,
Receiver By Role,Sprejemnik po vlogi,
Recipients,Prejemniki,
Reload,Osveži,
Remarks,Opombe,
Restaurant,Restavracija,
Restaurant Menu,Restavracija Meni,
Restaurant Table,Restavracija Tabela,
Role,Vloga,
Room,soba,
Room Type,Tip sobe,
Session Defaults,Privzete seje,
Status,Stanje,
Submitted,Predložen,
Summary,Povzetek,
System Manager,System Manager,
Table,Preglednica,
Tax,Davčna,
Time,Čas,
Total Quantity,Skupna količina,
Type,Tip,
User,Uporabnik,
User Details,Podrobnosti o uporabniku,
Verified,Preverjeno,
View Website,View Website,
Warehouse,Skladišče,
user,uporabnik,
