About,O Nama,
Add Item,Додајте ставку,
Additional Details,Додатни детаљи,
Address,Adresa,
All,Svi,
Amended From,Izmijenjena iz,
Amount,Vrijednost,
Bill,рачун,
Branch,Филијала,
Buying Price List,Куповни ценовник,
Cancelled,Otkazan,
Cashier,Благајна,
Click Enter To Add,Кликните Ентер за додавање,
Closing Amount,Завршни износ,
Comment,Komentar,
Comments,Komentari,
Company,Preduzeće,
Cost of Goods Sold,Себестоимость реализованных товаров,
Current Order,Тренутни ред,
Customer,Купац,
Customer Name,Име клијента,
Date,Datum,
Default Price List,Уобичајено Ценовник,
Default Tax Template,Подразумевани образац пореза,
Delivery,Испорука,
Depreciation,амортизация,
Details,Детаљи,
Difference,Разлика,
Direct Expenses,прямые расходы,
Disabled,Neaktivni,
Documentation,Dokumentacija,
Draft,Na čekanju,
Duplicate,Dupliraj,
Enabled,Aktivan,
Expected Amount,Очекивани износ,
Expense,расход,
Failed,Није успео,
Grand Total,Свеукупно,
Image,Slika,
Indirect Expenses,косвенные расходы,
Invoice,Фактура,
Invoice Created,Креирана фактура,
Invoice Series Prefix,Префикс серије рачуна,
Item,ставка,
Item Group,Ставка Група,
Item Groups,итем Групе,
Item Name,Назив производа,
Items,Артикли,
Keyboard Shortcuts,Пречице на тастатури,
Linked Invoices,Повезане фактуре,
Material,Материјал,
Menu,Meni,
Minimum Seating,Минимално седиште,
Mobile Number,Mobilni br. telefona,
Mode of Payment,Начин плаћања,
My Settings,Moja podešavanja,
Net Profit/Loss,Нето добитак / губитак,
Net Total,Нето Укупно,
No of Seats,Број седишта,
Occupied,Заузети,
Opening Amount,Износ отварања,
Order,ред,
Order Type,Врста поруџбине,
POS Invoice,ПОС фактура,
POS Opening Entry,ПОС отварање,
POS Profile,ПОС Профил,
POS Transactions,ПОС трансакције,
Payment Amount,Плаћање Износ,
Payment Reconciliation,Плаћање Помирење,
Payment Type,Плаћање Тип,
Percent,Проценат,
Period End Date,Датум окончања периода,
Period Start Date,Датум почетка периода,
Posting Date,Постављање Дате,
Posting Time,Постављање Време,
Price List (Auto created),Ценовник (Аутоматски креиран),
Print,Štampaj,
Printer,Штампач,
Printer Settings,Подешавања штампача,
Priority,Приоритет,
Production,Производња,
Qty,Кол,
Quantity,Количина,
Queued,Куеуед,
Rate,Стопа,
Reason,Разлог,
Receiver By Role,Пријемник по улози,
Recipients,Примаоци,
Reload,Učitaj ponovo,
Remarks,Примедбе,
Restaurant,Ресторан,
Restaurant Menu,Ресторан мени,
Restaurant Table,Ресторан Табле,
Role,Uloga,
Room,соба,
Room Type,Врста собе,
Session Defaults,Задане поставке сесије,
Status,Status,
Submitted,Potvrđen,
Summary,Резиме,
System Manager,Menadžer sistema,
Table,Табела,
Tax,Порез,
Time,време,
Total Quantity,Укупна количина,
Type,Tip,
User,Korisnik,
User Details,Детаљи о кориснику,
Verified,Проверено,
View Website,Pogledaj sajt,
Warehouse,Skladište,
user,Усер,
