Add Item,Додајте ставку,
Additional Details,Додатни детаљи,
Address,Адреса,
All,Све,
Amended From,Измењена од,
Amount,Износ,
Bill,рачун,
Branch,Филијала,
Buying Price List,Куповни ценовник,
Cancelled,Отказано,
Cashier,Благајна,
Click Enter To Add,Кликните Ентер за додавање,
Closing Amount,Завршни износ,
Comment,Коментирај,
Comments,Коментари,
Company,Компанија,
Cost of Goods Sold,Себестоимость реализованных товаров,
Current Order,Тренутни ред,
Customer,Купац,
Customer Name,Име клијента,
Date,Датум,
Default Price List,Уобичајено Ценовник,
Default Tax Template,Подразумевани образац пореза,
Delivery,Испорука,
Depreciation,амортизация,
Details,Детаљи,
Difference,Разлика,
Direct Expenses,прямые расходы,
Disabled,Онеспособљен,
Draft,Драфт,
Duplicate,Дупликат,
Enabled,Омогућено,
Expected Amount,Очекивани износ,
Expense,расход,
Failed,Није успео,
Grand Total,Свеукупно,
Image,Слика,
Indirect Expenses,косвенные расходы,
Invoice,Фактура,
Invoice Created,Креирана фактура,
Invoice Series Prefix,Префикс серије рачуна,
Item,ставка,
Item Group,Ставка Група,
Item Groups,итем Групе,
Item Name,Назив производа,
Items,Артикли,
Keyboard Shortcuts,Пречице на тастатури,
Linked Invoices,Повезане фактуре,
Material,Материјал,
Menu,Мени,
Minimum Seating,Минимално седиште,
Mobile Number,Број мобилног телефона,
Mode of Payment,Начин плаћања,
Net Profit/Loss,Нето добитак / губитак,
Net Total,Нето Укупно,
No of Seats,Број седишта,
Occupied,Заузети,
Opening Amount,Износ отварања,
Order,ред,
Order Type,Врста поруџбине,
POS Invoice,ПОС фактура,
POS Opening Entry,ПОС отварање,
POS Profile,ПОС Профил,
POS Transactions,ПОС трансакције,
Payment Amount,Плаћање Износ,
Payment Reconciliation,Плаћање Помирење,
Payment Type,Плаћање Тип,
Percent,Проценат,
Period End Date,Датум окончања периода,
Period Start Date,Датум почетка периода,
Posting Date,Постављање Дате,
Posting Time,Постављање Време,
Price List (Auto created),Ценовник (Аутоматски креиран),
Print,Принт,
Printer,Штампач,
Printer Settings,Подешавања штампача,
Priority,Приоритет,
Production,Производња,
Qty,Кол,
Quantity,Количина,
Queued,Куеуед,
Rate,Стопа,
Reason,Разлог,
Receiver By Role,Пријемник по улози,
Recipients,Примаоци,
Reload,Релоад,
Remarks,Примедбе,
Restaurant,Ресторан,
Restaurant Menu,Ресторан мени,
Restaurant Table,Ресторан Табле,
Role,Улога,
Room,соба,
Room Type,Врста собе,
Session Defaults,Задане поставке сесије,
Status,Статус,
Submitted,Поднет,
Summary,Резиме,
System Manager,Систем менаџер,
Table,Табела,
Tax,Порез,
Time,време,
Total Quantity,Укупна количина,
Type,Тип,
User,Усер,
User Details,Детаљи о кориснику,
Verified,Проверено,
View Website,Погледај Сајт,
Warehouse,Магацин,
user,Усер,
