About,Om,
Add Item,Lägg till vara,
Additional Details,ytterligare detaljer,
Address,Adress,
All,Allt,
Amended From,Ändrat Från,
Amount,Mängd,
Apps,Appar,
Bill,Räkningen,
Branch,Bransch,
Buying Price List,Köpa prislista,
Cancelled,Inställt,
Cashier,Kassör,
Click Enter To Add,Klicka på Enter för att lägga till,
Closing Amount,Utgående belopp,
Comment,Kommentar,
Comments,Kommentarer,
Company,Företaget,
Cost Per Unit,Kostnad Per Enhet,
Cost of Goods Sold,Kostnad för sålda varor,
Current Order,Nuvarande ordning,
Customer,Kunden,
Customer Name,Kundnamn,
Date,Datum,
Default Price List,Standard Prislista,
Default Tax Template,Standardskattemall,
Delivery,Leverans,
Depreciation,Avskrivningar,
Details,Detaljer,
Difference,Skillnad,
Direct Expenses,Direkta kostnader,
Disabled,Inaktiverad,
Draft,Förslag,
Duplicate,Duplicera,
Enabled,Aktiverat,
Expected Amount,Förväntad mängd,
Expense,Utgift,
Failed,Misslyckades,
Frappe Support,Frappe Support,
Grand Total,Totalsumma,
Image,Bild,
Indirect Expenses,Indirekta kostnader,
Invoice,Faktura,
Invoice Created,Faktura skapad,
Invoice Series Prefix,Faktura Serie Prefix,
Item,Objekt,
Item Group,Produkt Grupp,
Item Groups,artikelgrupper,
Item Name,Föremålsnamn,
Items,Produkter,
Keyboard Shortcuts,Kort Kommando,
Linked Invoices,Länkade fakturor,
Log out,Logga Ut,
Material,Material,
Menu,Meny,
Minimum Seating,Minsta sätet,
Mobile Number,Mobilnummer,
Mode of Payment,Betalningssätt,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Net Profit/Loss,Nettovinst / förlust,
Net Total,Netto Totalt,
No of Seats,Antal platser,
Occupied,Ockuperade,
Opening Amount,Öppningsbelopp,
Order,Order,
Order No,Order Nummer,
Order Type,Beställ Type,
POS Invoice,POS-faktura,
POS Opening Entry,POS öppningsinträde,
POS Profile,POS-profil,
POS Transactions,POS-transaktioner,
Payment Amount,Betalningsbelopp,
Payment Reconciliation,Betalning Avstämning,
Payment Type,Betalning Typ,
Percent,Procent,
Period Details,Period Detaljer,
Period End Date,Period Slutdatum,
Period Start Date,Periodens startdatum,
Posting Date,Bokningsdatum,
Posting Time,Boknings Tid,
Price List (Auto created),Prislista (automatiskt skapad),
Print,Skriva ut,
Printer,Skrivare,
Printer Settings,Skrivare Inställningar,
Priority,Prioritet,
Production,Produktion,
Qty,Antal,
Quantity,Kvantitet,
Queued,I kö,
Rate,Betygsätt,
Reason,Anledning,
Receiver By Role,Mottagare efter Roll,
Recipients,mottagare,
Reload,Ladda om,
Remarks,Anmärkningar,
Restaurant,Restaurang,
Restaurant Menu,Restaurangmeny,
Restaurant Table,Restaurangbord,
Role,Roll,
Room,Rum,
Room Type,Rumstyp,
Session Defaults,Session Inställningar,
Status,Status,
Submitted,Avsändare,
Summary,Sammanfattning,
System Manager,System Manager,
Table,Tabell,
Tax,Skatt,
Time,Tid,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Total Quantity,Total kvantitet,
Type,Typ,
User,Användare,
User Details,Användarinformation,
Verified,Verifierad,
View Website,Visa Webbplats,
Warehouse,lager,
user,användare,
