Add Item,Ongeza kitu,
Additional Details,Maelezo ya ziada,
Address,Anwani,
All,ZOTE,
Amended From,Imebadilishwa Kutoka,
Amount,Kiasi,
Bill,Bill,
Branch,Tawi,
Buying Price List,Kununua Orodha ya Bei,
Cancelled,Kuweza,
Cashier,Msaidizi,
Click Enter To Add,Bonyeza Ingia Kuongeza,
Closing Amount,Kiasi cha Kufunga,
Comment,Maoni,
Comments,Maoni,
Company,Kampuni,
Cost of Goods Sold,Gharama ya bidhaa zilizouzwa,
Current Order,Utaratibu wa sasa,
Customer,Wateja,
Customer Name,Jina la Wateja,
Date,Tarehe,
Default Price List,Orodha ya Bei ya Hitilafu,
Default Tax Template,Kigezo cha Ushuru cha Default,
Delivery,Utoaji,
Depreciation,Kushuka kwa thamani,
Details,Maelezo,
Difference,Tofauti,
Direct Expenses,Malipo ya moja kwa moja,
Disabled,Walemavu,
Draft,Rasimu,
Duplicate,Duplicate,
Enabled,Imewezeshwa,
Expected Amount,Kiasi kinachotarajiwa,
Expense,Gharama,
Failed,Imeshindwa,
Grand Total,Jumla ya Jumla,
Image,Picha,
Indirect Expenses,Gharama zisizo sahihi,
Invoice,Invoice,
Invoice Created,Invoice Iliyoundwa,
Invoice Series Prefix,Msaada wa Mfululizo wa Invoice,
Item,Kipengee,
Item Group,Kundi la Bidhaa,
Item Groups,Makala ya Vikundi,
Item Name,Jina la Kipengee,
Items,Vitu,
Keyboard Shortcuts,Njia za mkato za kibodi,
Linked Invoices,Invosi zilizohusishwa,
Material,Nyenzo,
Menu,Menyu,
Minimum Seating,Kukaa chini,
Mobile Number,Namba ya simu ya mkononi,
Mode of Payment,Mfumo wa Malipo,
Net Profit/Loss,Faida / Upotezaji wa jumla,
Net Total,Jumla ya Net,
No of Seats,Hakuna Viti,
Occupied,Imewekwa,
Opening Amount,Kiasi cha Kufungua,
Order,Amri,
Order Type,Aina ya Utaratibu,
POS Invoice,Ankara ya POS,
POS Opening Entry,Kuingia kwa POS,
POS Profile,Profaili ya POS,
POS Transactions,Shughuli za POS,
Payment Amount,Kiwango cha Malipo,
Payment Reconciliation,Upatanisho wa Malipo,
Payment Type,Aina ya malipo,
Percent,Asilimia,
Period End Date,Tarehe ya Mwisho wa Kipindi,
Period Start Date,Tarehe ya Kuanza ya Kipindi,
Posting Date,Tarehe ya Kuchapisha,
Posting Time,Wakati wa Kuchapa,
Price List (Auto created),Orodha ya Bei (Iliundwa kwa Auto),
Print,Chapisha,
Printer,Printa,
Printer Settings,Mipangilio ya Printa,
Priority,Kipaumbele,
Production,Uzalishaji,
Qty,Uchina,
Quantity,Wingi,
Queued,Umewekwa,
Rate,Kiwango,
Reason,Sababu,
Receiver By Role,Mpokeaji Kwa Jukumu,
Recipients,Wapokeaji,
Reload,Pakia tena,
Remarks,Maelezo,
Restaurant,Mgahawa,
Restaurant Menu,Mkahawa wa Menyu,
Restaurant Table,Jedwali la Mgahawa,
Role,Wajibu,
Room,Chumba,
Room Type,Aina ya Chumba,
Session Defaults,Defavers ya Kikao,
Status,Hali,
Submitted,Iliwasilishwa,
Summary,Muhtasari,
System Manager,Meneja wa Mfumo,
Table,Jedwali,
Tax,Kodi,
Time,Wakati,
Total Quantity,Jumla ya Wingi,
Type,Weka,
User,Mtumiaji,
User Details,Maelezo ya Mtumiaji,
Verified,Imethibitishwa,
View Website,Tazama Tovuti,
Warehouse,Ghala,
user,mtumiaji,
