Add Item,பொருள் சேர்,
Additional Details,கூடுதல் விவரங்கள்,
Address,முகவரி,
All,எல்லாம்,
Amended From,முதல் திருத்தப்பட்ட,
Amount,தொகை,
Bill,ரசீது,
Branch,கிளை,
Buying Price List,கொள்முதல் விலைப் பட்டியல்,
Cancelled,ரத்து செய்யப்பட்டது,
Cashier,காசாளர்,
Click Enter To Add,சேர் என்பதை கிளிக் செய்யவும்,
Closing Amount,நிறைவு தொகை,
Comment,கருத்து,
Comments,கருத்துகள்,
Company,நிறுவனம்,
Cost of Goods Sold,விற்கப்படும் பொருட்களின் விலை,
Current Order,தற்போதைய வரிசை,
Customer,வாடிக்கையாளர்,
Customer Name,வாடிக்கையாளர் பெயர்,
Date,தேதி,
Default Price List,முன்னிருப்பு விலை பட்டியல்,
Default Tax Template,இயல்புநிலை வரி வார்ப்புரு,
Delivery,விநியோகம்,
Depreciation,மதிப்பிறக்கம் தேய்மானம்,
Details,விவரம்,
Difference,வேறுபாடு,
Direct Expenses,நேரடி செலவுகள்,
Disabled,முடக்கப்பட்டது,
Draft,வரைவு,
Duplicate,நகல்,
Enabled,இயலுமைப்படுத்த,
Expected Amount,எதிர்பார்த்த தொகை,
Expense,செலவு,
Failed,தோல்வி,
Grand Total,ஆக மொத்தம்,
Image,படம்,
Indirect Expenses,மறைமுக செலவுகள்,
Invoice,விலைப்பட்டியல்,
Invoice Created,விலைப்பட்டியல் உருவாக்கப்பட்டது,
Invoice Series Prefix,விலைப்பட்டியல் தொடர் முன்னொட்டு,
Item,பொருள்,
Item Group,பொருள் குழு,
Item Groups,பொருள் குழுக்கள்,
Item Name,பொருளின் பெயர்,
Items,பொருட்கள்,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Linked Invoices,இணைக்கப்பட்ட பற்றுச்சீட்டுகள்,
Material,பொருள்,
Menu,பட்டி,
Minimum Seating,குறைந்தபட்ச சீட்டிங்,
Mobile Number,மொபைல் எண்,
Mode of Payment,கட்டணம் செலுத்தும் முறை,
Net Profit/Loss,நிகர லாபம் / இழப்பு,
Net Total,நிகர மொத்தம்,
No of Seats,இடங்கள் இல்லை,
Occupied,ஆக்கிரமிக்கப்பட்ட,
Opening Amount,திறக்கும் தொகை,
Order,ஆணை,
Order Type,வரிசை வகை,
POS Invoice,பிஓஎஸ் விலைப்பட்டியல்,
POS Opening Entry,பிஓஎஸ் திறப்பு நுழைவு,
POS Profile,பிஓஎஸ் செய்தது,
POS Transactions,பிஓஎஸ் பரிவர்த்தனைகள்,
Payment Amount,கட்டணம் அளவு,
Payment Reconciliation,கொடுப்பனவு நல்லிணக்க,
Payment Type,கொடுப்பனவு வகை,
Percent,சதவீதம்,
Period End Date,காலம் முடிவு தேதி,
Period Start Date,காலம் தொடங்கும் தேதி,
Posting Date,தேதி தகவல்களுக்கு,
Posting Time,நேரம் தகவல்களுக்கு,
Price List (Auto created),விலை பட்டியல் (தானாக உருவாக்கப்பட்டது),
Print,அச்சிடுக,
Printer,பிரிண்டர்,
Printer Settings,அச்சுப்பொறி அமைப்புகள்,
Priority,முதன்மை,
Production,உற்பத்தி,
Qty,அளவு,
Quantity,அளவு,
Queued,வரிசைப்படுத்திய,
Rate,விலை,
Reason,காரணம்,
Receiver By Role,பங்கு மூலம் பெறுநர்,
Recipients,பெறுநர்கள்,
Reload,Reload,
Remarks,கருத்துக்கள்,
Restaurant,உணவகம்,
Restaurant Menu,உணவக மெனு,
Restaurant Table,உணவக அட்டவணை,
Role,பங்கு,
Room,அறை,
Room Type,அறையின் வகை,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Status,அந்தஸ்து,
Submitted,சமர்ப்பிக்கப்பட்டது,
Summary,சுருக்கம்,
System Manager,கணினி மேலாளர்,
Table,மேசை,
Tax,வரி,
Time,நேரம்,
Total Quantity,மொத்த அளவு,
Type,மாதிரி,
User,பயனர்,
User Details,பயனர் விவரங்கள்,
Verified,சரிபார்க்கப்பட்ட,
View Website,இணையத்தளம் பார்வையிட,
Warehouse,கிடங்கு,
user,பயனர்,
