Add Item,చేర్చు,
Additional Details,అదనపు వివరాలు,
Address,చిరునామా,
All,ALL,
Amended From,సవరించిన,
Amount,మొత్తం,
Bill,బిల్,
Branch,బ్రాంచ్,
Buying Price List,ధర జాబితా కొనుగోలు,
Cancelled,రద్దు,
Cashier,క్యాషియర్,
Click Enter To Add,జోడించు క్లిక్ చేయండి,
Closing Amount,ముగింపు మొత్తం,
Comment,వ్యాఖ్య,
Comments,వ్యాఖ్యలు,
Company,కంపెనీ,
Cost of Goods Sold,వస్తువుల ఖర్చు సోల్డ్,
Current Order,ప్రస్తుత ఆర్డర్,
Customer,కస్టమర్,
Customer Name,వినియోగదారుని పేరు,
Date,తేదీ,
Default Price List,డిఫాల్ట్ ధర జాబితా,
Default Tax Template,డిఫాల్ట్ పన్ను మూస,
Delivery,డెలివరీ,
Depreciation,అరుగుదల,
Details,వివరాలు,
Difference,తేడా,
Direct Expenses,ప్రత్యక్ష ఖర్చులు,
Disabled,వికలాంగుల,
Draft,డ్రాఫ్ట్,
Duplicate,నకిలీ,
Enabled,ప్రారంభించబడ్డ,
Expected Amount,ఊహించిన మొత్తం,
Expense,ఖర్చుల,
Failed,విఫలమైంది,
Grand Total,సంపూర్ణ మొత్తము,
Image,చిత్రం,
Indirect Expenses,పరోక్ష ఖర్చులు,
Invoice,వాయిస్,
Invoice Created,వాయిస్ సృష్టించబడింది,
Invoice Series Prefix,ఇన్వాయిస్ సిరీస్ ప్రిఫిక్స్,
Item,అంశం,
Item Group,అంశం గ్రూప్,
Item Groups,అంశం గుంపులు,
Item Name,వస్తువు పేరు,
Items,అంశాలు,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Linked Invoices,లింక్ చేసిన ఇన్వాయిస్లు,
Material,మెటీరియల్,
Menu,మెనూ,
Minimum Seating,కనీస సీటింగ్,
Mobile Number,మొబైల్ నంబర్,
Mode of Payment,చెల్లింపు మోడ్,
Net Profit/Loss,నికర లాభం / నష్టం,
Net Total,నికర మొత్తం,
No of Seats,సీట్ల సంఖ్య,
Occupied,ఆక్రమిత,
Opening Amount,ఓపెనింగ్ మొత్తం,
Order,ఆర్డర్,
Order Type,ఆర్డర్ రకం,
POS Invoice,POS ఇన్వాయిస్,
POS Opening Entry,POS ఓపెనింగ్ ఎంట్రీ,
POS Profile,POS ప్రొఫైల్,
POS Transactions,POS లావాదేవీలు,
Payment Amount,చెల్లింపు మొత్తం,
Payment Reconciliation,చెల్లింపు సయోధ్య,
Payment Type,చెల్లింపు పద్ధతి,
Percent,శాతం,
Period End Date,కాలం ముగింపు తేదీ,
Period Start Date,కాలం ప్రారంభ తేదీ,
Posting Date,పోస్ట్ చేసిన తేదీ,
Posting Time,పోస్టింగ్ సమయం,
Price List (Auto created),ధర జాబితా (ఆటో సృష్టించబడింది),
Print,ముద్రణ,
Printer,ప్రింటర్,
Printer Settings,ప్రింటర్ సెట్టింగులు,
Priority,ప్రాధాన్య,
Production,ఉత్పత్తి,
Qty,ప్యాక్ చేసిన అంశాల,
Quantity,పరిమాణం,
Queued,క్యూలో,
Rate,రేటు,
Reason,కారణము,
Receiver By Role,పాత్ర ద్వారా స్వీకర్త,
Recipients,గ్రహీతలు,
Reload,Reload,
Remarks,విశేషాంశాలు,
Restaurant,రెస్టారెంట్,
Restaurant Menu,రెస్టారెంట్ మెను,
Restaurant Table,రెస్టారెంట్ టేబుల్,
Role,పాత్ర,
Room,గది,
Room Type,గది రకం,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Status,స్థితి,
Submitted,Submitted,
Summary,సారాంశం,
System Manager,వ్యవస్థ మేనేజర్,
Table,టేబుల్,
Tax,పన్ను,
Time,సమయం,
Total Quantity,మొత్తం పరిమాణం,
Type,రకం,
User,వాడుకరి,
User Details,వినియోగదారు వివరాలు,
Verified,నిర్థారించబడింది,
View Website,చూడండి వెబ్సైట్,
Warehouse,వేర్హౌస్,
user,వాడుకరి,
