About,Hakkında,
Add Item,Ürün Ekle,
Additional Details,Ek Detaylar,
Address,Adres,
All,Tümü,
Amended From,Şu tarihten itibaren değiştirildi:,
Amount,Miktar,
Apps,Uygulamalar,
Bill,Fatura,
Branch,Şube,
Buying Price List,Alış Fiyat Listesi,
Cancelled,İptal edildi,
Cashier,Kasiyer,
Click Enter To Add,Eklemek için Enter'a tıklayın,
Closing Amount,Kapanış Tutarı,
Comment,Yorum Yap,
Comments,Yorumlar,
Company,Şirket,
Cost Per Unit,Birim Başına Maliyet,
Cost of Goods Sold,Satılan Malın Maliyeti,
Course,Kurs,
Current Order,Mevcut Sipariş,
Customer,Müşteri,
Customer Name,Müşteri Adı,
Date,Tarih,
Default Price List,Varsayılan Fiyat Listesi,
Default Tax Template,Varsayılan Vergi Şablonu,
Delivery,Teslimat,
Depreciation,Amortisman,
Details,Ayrıntılar,
Difference,Fark,
Direct Expenses,Direkt Giderler,
Disabled,Devre dışı,
Documentation,Dokümantasyon,
Draft,Taslak,
Duplicate,Kopyala,
Enabled,Etkin,
Expected Amount,Beklenen Tutar,
Expense,Gider,
Failed,Başarısız,
Frappe Support,Frappe Desteği,
Grand Total,Genel Toplam,
Image,Resim,
Indirect Expenses,Dolaylı Giderler,
Invoice,Fatura,
Invoice Created,Oluşturulan Fatura,
Invoice Series Prefix,Fatura Serisi Öneki,
Item,Ürün,
Item Group,Ürün Grubu,
Item Groups,Öğe Grupları,
Item Name,Ürün Adı,
Items,Ürünler,
Keyboard Shortcuts,Klavye Kısayolları,
Linked Invoices,Bağlı Faturalar,
Log out,Çıkış,
Material,Malzeme,
Menu,Menü,
Minimum Seating,Asgari Oturma,
Mobile Number,Cep Numarası,
Mode of Payment,Ödeme Şekli,
My Profile,Profilim,
My Settings,Ayarlarım,
Net Profit/Loss,Net Kâr/Zarar,
Net Total,Net Toplam,
No of Seats,Koltuk Sayısı,
Occupied,Meşgul,
Opening Amount,Açılış Tutarı,
Order No,Sipariş No,
Order Status,Sipariş Durumu,
Order Type,Sipariş Türü,
POS Invoice,POS Faturası,
POS Opening Entry,POS Açılış Kaydı,
POS Profile,POS Profili,
POS Transactions,POS İşlemleri,
Payment Amount,Ödeme Tutarı,
Payment Reconciliation,Ödeme Mutabakat,
Payment Type,Ödeme Tipi,
Percent,Yüzde,
Period Details,Dönem Detayları,
Period End Date,Dönem Sonu Tarihi,
Period Start Date,Dönem Başlangıç Tarihi,
Posting Date,Gönderim Tarihi,
Posting Time,Gönderim Saati,
Price List (Auto created),Fiyat Listesi (Otomatik kaydı),
Print,Yazdır,
Printer,Yazıcı,
Printer Settings,Yazıcı Ayarları,
Priority,Öncelik,
Production,Üretim,
Qty,Miktar,
Quantity,Miktar,
Queued,Sıraya alındı,
Rate,Oran,
Reason,Nedeni,
Receiver By Role,Role Göre Alıcı,
Recipients,Alıcılar,
Reload,Yeniden Yükle,
Remarks,Açıklamalar,
Restaurant,Restoran,
Restaurant Menu,Restoran Menüsü,
Restaurant Table,Restoran Masası,
Role,Rol,
Room,Oda,
Room Type,Oda Tipi,
Session Defaults,Oturum Varsayılanları,
Status,Durumu,
Submitted,İşlendi,
Summary,Özet,
System Manager,Sistem Yöneticisi,
Table,Tablo,
Tax,Vergi,
Time,Zaman,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Total Quantity,Toplam Miktar,
Type,Türü,
User,Kullanıcı,
User Details,Kullanıcı Detayları,
Verified,Doğrulandı,
View Website,Websitesine Git,
Warehouse,Depo,
user,kullanıcı,
