Add Item,Додати елемент,
Additional Details,додаткові подробиці,
Address,Адреса,
All,ВСІ,
Amended From,Відновлено з,
Amount,Сума,
Bill,Bill,
Branch,Філія,
Buying Price List,Купівля прайс-листа,
Cancelled,ВІДМОВЛЕНО,
Cashier,Касир,
Click Enter To Add,Натисніть «Ввести додати»,
Closing Amount,Кінцева сума,
Comment,Прокоментуйте,
Comments,Коментарі,
Company,Компанія,
Cost of Goods Sold,Вартість проданих товарів,
Current Order,Поточний порядок,
Customer,Клієнт,
Customer Name,Ім&#39;я клієнта,
Date,Дата,
Default Price List,Прайс-лист за замовчуванням,
Default Tax Template,Шаблон податку за замовчуванням,
Delivery,Доставка,
Depreciation,Амортизація,
Details,Подробиці,
Difference,Різниця,
Direct Expenses,Прямі витрати,
Disabled,Неактивний,
Draft,Чернетка,
Duplicate,Дублювати,
Enabled,Включено,
Expected Amount,Очікувана сума,
Expense,Витрати,
Failed,Не вдалося,
Grand Total,Загальний підсумок,
Image,Зображення,
Indirect Expenses,Непрямі витрати,
Invoice,Рахунок-фактура,
Invoice Created,Рахунок створено,
Invoice Series Prefix,Префікс серії рахунків-фактур,
Item,Номенклатура,
Item Group,Група,
Item Groups,Групи товарів,
Item Name,Назва виробу,
Items,Номенклатура,
Keyboard Shortcuts,Гарячі клавіши,
Linked Invoices,Пов&#39;язані рахунки-фактури,
Material,Матеріал,
Menu,Меню,
Minimum Seating,Мінімальна кількість сидінь,
Mobile Number,Номер мобільного,
Mode of Payment,Спосіб оплати,
Net Profit/Loss,Чистий прибуток / збиток,
Net Total,Чистий підсумок,
No of Seats,Кількість місць,
Occupied,Окупована,
Opening Amount,Сума на відкриття,
Order,замовлення,
Order Type,Тип замовлення,
POS Invoice,POS-рахунок,
POS Opening Entry,Відкриття входу в POS,
POS Profile,POS-профіль,
POS Transactions,POS-операції,
Payment Amount,Сума оплати,
Payment Reconciliation,Узгодження оплат з рахунками,
Payment Type,Тип оплати,
Percent,Відсотків,
Period End Date,Дата закінчення періоду,
Period Start Date,Дата початку періоду,
Posting Date,Дата створення/розміщення,
Posting Time,Час запису,
Price List (Auto created),Прайс-лист (авто створений),
Print,Друк,
Printer,Принтер,
Printer Settings,Налаштування принтера,
Priority,Пріоритет,
Production,Виробництво,
Qty,К-сть,
Quantity,Кількість,
Queued,У черзі,
Rate,Ціна,
Reason,Причина,
Receiver By Role,Приймач за роллю,
Recipients,Одержувачі,
Reload,Оновити,
Remarks,Зауваження,
Restaurant,Ресторан,
Restaurant Menu,Меню ресторану,
Restaurant Table,Ресторанний стіл,
Role,Роль,
Room,кімната,
Room Type,Тип кімнати,
Session Defaults,За замовчуванням сесії,
Status,Стан,
Submitted,Проведено,
Summary,Резюме,
System Manager,Менеджер системи,
Table,Таблиця,
Tax,Податок,
Time,Час,
Total Quantity,Загальна кількість,
Type,Тип,
User,Користувач,
User Details,Інформація про користувача,
Verified,Перевірено,
View Website,Подивитися веб-сайт,
Warehouse,Склад,
user,користувач,
