Add Item,آئٹم شامل کریں,
Additional Details,ایڈیشنل تفصیلات,
Address,پتہ,
All,سب,
Amended From,سے ترمیم شدہ,
Amount,رقم,
Bill,بل,
Branch,برانچ,
Buying Price List,قیمت کی فہرست خریدنا,
Cancelled,منسوخ,
Cashier,کیشیر,
Click Enter To Add,شامل کرنے کیلئے درج کریں پر کلک کریں,
Closing Amount,رقم کا خاتمہ,
Comment,تبصرہ,
Comments,تبصرے,
Company,کمپنی,
Cost of Goods Sold,فروخت سامان کی قیمت,
Current Order,موجودہ آرڈر,
Customer,کسٹمر,
Customer Name,گاہک کا نام,
Date,تاریخ,
Default Price List,پہلے سے طے شدہ قیمت کی فہرست,
Default Tax Template,ڈیفالٹ ٹیکس سانچہ,
Delivery,ڈلیوری,
Depreciation,فرسودگی,
Details,تفصیلات,
Difference,فرق,
Direct Expenses,براہ راست اخراجات,
Disabled,معذور,
Draft,ڈرافٹ,
Duplicate,نقل,
Enabled,فعال,
Expected Amount,متوقع رقم,
Expense,اخراجات,
Failed,ناکام,
Grand Total,مجموعی عدد,
Image,تصویر,
Indirect Expenses,بالواسطہ اخراجات,
Invoice,انوائس,
Invoice Created,انوائس بنا دیا,
Invoice Series Prefix,انوائس سیریل پریفکس,
Item,آئٹم,
Item Group,آئٹم گروپ,
Item Groups,آئٹم گروپس,
Item Name,شے کا نام,
Items,اشیا,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Linked Invoices,منسلک انوائس,
Material,مواد,
Menu,مینو,
Minimum Seating,کم سے کم نشست,
Mobile Number,موبائل فون کانمبر,
Mode of Payment,ادائیگی کا موڈ,
Net Profit/Loss,خالص منافع / نقصان,
Net Total,نیٹ کل,
No of Seats,نشستوں کی تعداد,
Occupied,قبضہ کر لیا,
Opening Amount,افتتاحی رقم,
Order,آرڈر,
Order Type,آرڈر کی قسم,
POS Invoice,پوزیشن انوائس,
POS Opening Entry,پوز کھلنے کا اندراج,
POS Profile,پی او ایس پروفائل,
POS Transactions,POS لین دین,
Payment Amount,ادائیگی کی رقم,
Payment Reconciliation,ادائیگی مصالحتی,
Payment Type,ادائیگی کی قسم,
Percent,فیصد,
Period End Date,مدت ختم ہونے کی تاریخ,
Period Start Date,مدت کی تاریخ شروع,
Posting Date,پوسٹنگ کی تاریخ,
Posting Time,پوسٹنگ وقت,
Price List (Auto created),قیمت کی فہرست (آٹو تخلیق),
Print,پرنٹ کریں,
Printer,پرنٹر۔,
Printer Settings,پرنٹر کی ترتیبات۔,
Priority,ترجیح,
Production,پیداوار,
Qty,مقدار,
Quantity,مقدار,
Queued,قطار میں,
Rate,شرح,
Reason,وجہ,
Receiver By Role,رول کے ذریعہ وصول کنندہ,
Recipients,وصول کنندگان,
Reload,دوبارہ,
Remarks,ریمارکس,
Restaurant,ریسٹورانٹ,
Restaurant Menu,ریسٹورانٹ مینو,
Restaurant Table,ریسٹورانٹ ٹیبل,
Role,کردار,
Room,کمرہ,
Room Type,کمرہ کی قسم,
Session Defaults,سیشن ڈیفالٹس,
Status,سٹیٹس,
Submitted,پیش,
Summary,خلاصہ,
System Manager,سسٹم مینیجر,
Table,ٹیبل,
Tax,ٹیکس,
Time,وقت,
Total Quantity,کل مقدار,
Type,قسم,
User,صارف,
User Details,صارف کی تفصیلات,
Verified,تصدیق شدہ۔,
View Website,سائٹ,
Warehouse,گودام,
user,صارف,
