Add Item,Mavzu qo&#39;shish,
Additional Details,Qo&#39;shimcha tafsilotlar,
Address,Manzil,
All,HAMMA,
Amended From,O&#39;zgartirishlar,
Amount,Miqdori,
Bill,Bill,
Branch,Filial,
Buying Price List,Narxlar ro&#39;yxatini sotib olish,
Cancelled,BEKOR QILISH,
Cashier,Kassir,
Click Enter To Add,Qo&#39;shish uchun Enter ni bosing,
Closing Amount,Yakuniy miqdor,
Comment,Izoh,
Comments,Sharhlar,
Company,Kompaniya,
Cost of Goods Sold,Sotilgan mol-mulki,
Current Order,Joriy Buyurtma,
Customer,Xaridor,
Customer Name,Xaridor nomi,
Date,Sana,
Default Price List,Standart narx ro&#39;yxati,
Default Tax Template,Standart soliq kodi,
Delivery,Yetkazib berish,
Depreciation,Amortizatsiya,
Details,Batafsil,
Difference,Farqi,
Direct Expenses,To&#39;g&#39;ridan-to&#39;g&#39;ri xarajatlar,
Disabled,O&#39;chirib qo&#39;yildi,
Draft,Loyihalar,
Duplicate,Duplikat,
Enabled,Faol,
Expected Amount,Kutilayotgan miqdori,
Expense,Xarajatlar,
Failed,Muvaffaqiyatsiz,
Grand Total,Jami,
Image,Rasm,
Indirect Expenses,Bilvosita xarajatlar,
Invoice,Billing,
Invoice Created,Hisob-faktura yaratildi,
Invoice Series Prefix,Billing-uz prefiksi,
Item,Mavzu,
Item Group,Mavzu guruhi,
Item Groups,Mavzu guruhlari,
Item Name,Mavzu nomi,
Items,Mahsulotlar,
Keyboard Shortcuts,Klaviatura yorliqlari,
Linked Invoices,Bog&#39;langan Xarajatlar,
Material,Materiallar,
Menu,Menyu,
Minimum Seating,Minimal yashash joyi,
Mobile Number,Mobil telefon raqami,
Mode of Payment,To&#39;lov tartibi,
Net Profit/Loss,Sof foyda / zarar,
Net Total,Net Jami,
No of Seats,O&#39;rindiqlar soni,
Occupied,Ishg&#39;ol qilindi,
Opening Amount,Ochilish miqdori,
Order,Buyurtma,
Order Type,Buyurtma turi,
POS Invoice,POS-faktura,
POS Opening Entry,POS ochilishi,
POS Profile,Qalin profil,
POS Transactions,POS operatsiyalari,
Payment Amount,To&#39;lov miqdori,
Payment Reconciliation,To&#39;lovni taqsimlash,
Payment Type,To&#39;lov turi,
Percent,Foiz,
Period End Date,Davrining tugash sanasi,
Period Start Date,Davr boshlanish sanasi,
Posting Date,O&#39;tilganlik sanasi,
Posting Time,Vaqtni yuborish vaqti,
Price List (Auto created),Narxlar ro&#39;yxati (Avtomatik yaratilgan),
Print,Chop eting,
Printer,Printer,
Printer Settings,Printer sozlamalari,
Priority,Birinchi o&#39;ringa,
Production,Ishlab chiqarish,
Qty,Miqdor,
Quantity,Miqdor,
Queued,Navbatga qo&#39;yildi,
Rate,Baholash,
Reason,Sabab,
Receiver By Role,Roli bo&#39;yicha qabul qiluvchi,
Recipients,Qabul qiluvchilar,
Reload,Qayta yuklash,
Remarks,Izohlar,
Restaurant,Restoran,
Restaurant Menu,Restoran menyusi,
Restaurant Table,Restoran jadvalidan,
Role,Rol,
Room,Xona,
Room Type,Xona turi,
Session Defaults,Sessiya standartlari,
Status,Holat,
Submitted,Taklif qilingan,
Summary,Xulosa,
System Manager,Tizim menejeri,
Table,Jadval,
Tax,Soliq,
Time,Vaqt,
Total Quantity,Jami miqdori,
Type,Turi,
User,Foydalanuvchi,
User Details,Foydalanuvchi ma&#39;lumotlari,
Verified,Tasdiqlangan,
View Website,Veb-saytni ko&#39;rish,
Warehouse,QXI,
user,foydalanuvchi,
