About,关于,
Add Discount,添加折扣,
Add Item,新增項目,
Additional Details,額外細節,
Address,地址,
All,全部,
Amended From,修订自,
Amount,量,
Apps,应用,
Bill,法案,
Branch,分支機構,
Buying Price List,買價格表,
Cancel,取消,
Cancelled,已取消,
Cashier,出納員,
Checkout,查看,
Click Enter To Add,點擊輸入要添加,
Closing Amount,结算金额,
Comment,评论,
Comments,评论,
Company,公司,
Cost Per Unit,单位成本,
Cost of Goods Sold,銷貨成本,
Current Order,當前訂單,
Customer,客戶,
Customer Group,客戶群組,
Customer Name,客戶名稱,
Customer Territory,客戶地區,
Date,日期,
Default Price List,預設價格表,
Default Tax Template,默認稅收模板,
Delivery,交貨,
Depreciation,折舊,
Details,详情,
Difference,區別,
Direct Expenses,直接費用,
Disabled,已禁用,
Documentation,文檔,
Draft,草稿,
Duplicate,重复项,
Edit Cart,编辑购物车,
Enabled,已启用,
Expected Amount,預期金額,
Expense,費用,
Failed,失败,
Frappe Support,Frappe支持,
Grand Total,累計,
Image,图片,
Indirect Expenses,間接費用,
Invoice,發票,
Invoice Created,已創建發票,
Invoice Series Prefix,發票系列前綴,
Item,項目,
Item Cart,項目車,
Item Group,項目群組,
Item Groups,項目組,
Item Name,項目名稱,
Items,項目,
Keyboard Shortcuts,键盘快捷键,
Linked Invoices,鏈接的發票,
Loading Invoices! Please Wait...,正在加载发票，请稍候...,
Log out,注销,
Material,材料,
Menu,菜单,
Minimum Seating,最小的座位,
Mobile Number,手機號碼,
Mode of Payment,付款方式,
My Profile,我的档案,
My Settings,我的设置,
Net Profit/Loss,净利润/亏损,
Net Total,總淨值,
No of Seats,座位數,
Occupied,佔據,
Opening Amount,期初金额,
Order,排序,
Order No,订单编号,
Order Status,订单状态,
Order Type,訂單類型,
POS Invoice,POS发票,
POS Opening Entry,POS入口条目,
POS Profile,POS簡介,
POS Transactions,POS交易,
Payment Amount,付款金額,
Payment Reconciliation,付款對帳,
Payment Type,付款類型,
Percent,百分比,
Period Details,期间明细,
Period End Date,期末結束日期,
Period Start Date,期間開始日期,
Please select a table,請選擇一張桌子,
Please set an active menu for Restaurant {0},請設置餐館{0}的有效菜單,
Point of Sale,銷售點,
Posting Date,發布日期,
Posting Time,登錄時間,
Price List (Auto created),價目表（自動創建）,
Print,打印,
Printer,打印机,
Printer Settings,打印机设置,
Priority,优先级,
Processing Sales! Please Wait...,正在处理销售！请稍候...,
Production,生產,
Qty,數量,
Quantity,數量,
Queued,已排队,
Rate,單價,
Reason,原因,
Receiver By Role,按角色指定接收人,
Recipients,收件人列表,
Reload,重新加载,
Remarks,備註,
Report an Issue,報告問題,
Restaurant,餐廳,
Restaurant Menu,餐廳菜單,
Restaurant Table,餐桌,
Retry,重试,
Role,角色,
Room,房間,
Room Type,房型,
Select Items,選擇項目,
Session Defaults,会话默认值,
Status,状态,
Submitted,已提交,
Summary,摘要,
System Manager,系统管理员,
Table,表,
Tax,稅,
Time,时间,
Toggle Full Width,切换全宽模式,
Toggle Recent Orders,切换最近的订单,
Toggle Theme,切换主题,
Total Items,物料总数,
Total Quantity,總數（量,
Type,类型,
Update,更新,
User,用户,
User Details,用户详细信息,
User Forum,用戶論壇,
Validation Error,验证错误,
Verified,已验证,
View Website,查看网站,
Warehouse,仓库,
Warning,警告,
user,用户,
