About,关于,
Add Item,新增,
Additional Details,额外细节,
Address,地址,
All,所有,
Amended From,修订源,
Amount,金额,
Apps,应用,
Bill,账单,
Branch,分支机构（分公司）,
Buying Price List,采购价格清单,
Cancelled,取消,
Cashier,出纳员,
Click Enter To Add,点击输入以添加,
Closing Amount,结算金额,
Comment,评论,
Comments,评论,
Company,公司,
Cost Per Unit,单位成本,
Cost of Goods Sold,销货成本,
Current Order,当前订单,
Customer,客户,
Customer Name,客户名称,
Date,日期,
Default Price List,默认价格清单,
Default Tax Template,默认税收模板,
Delivery,交货,
Depreciation,折旧,
Details,详细信息,
Difference,区别,
Direct Expenses,直接费用,
Disabled,禁用,
Draft,草案,
Duplicate,复制,
Enabled,已启用,
Expected Amount,预期金额,
Expense,费用,
Failed,失败,
Frappe Support,Frappe支持,
Grand Total,总计,
Image,图像,
Indirect Expenses,间接支出,
Invoice,费用清单,
Invoice Created,已创建费用清单,
Invoice Series Prefix,费用清单系列前缀,
Item,物料,
Item Group,物料群组,
Item Groups,物料组,
Item Name,项目名称,
Items,物料,
Keyboard Shortcuts,键盘快捷键,
Linked Invoices,链接的费用清单,
Log out,注销,
Material,材料,
Menu,菜单,
Minimum Seating,最小的座位,
Mobile Number,手机号码,
Mode of Payment,付款方式,
My Profile,我的档案,
My Settings,我的设置,
Net Profit/Loss,净利润/亏损,
Net Total,总净,
No of Seats,座位数,
Occupied,占据,
Opening Amount,期初金额,
Order,排序,
Order No,订单编号,
Order Status,订单状态,
Order Type,订单类型,
POS Invoice,POS发票,
POS Opening Entry,POS入口条目,
POS Profile,销售终端配置,
POS Transactions,POS交易,
Payment Amount,付款金额,
Payment Reconciliation,付款对账,
Payment Type,付款类型,
Percent,百分比,
Period Details,期间明细,
Period End Date,期末结束日期,
Period Start Date,期间开始日期,
Posting Date,记帐日期,
Posting Time,记帐时间,
Price List (Auto created),价格清单（自动创建）,
Print,打印,
Printer,打印机,
Printer Settings,打印机设置,
Priority,优先,
Production,生产,
Qty,数量,
Quantity,数量,
Queued,排队,
Rate,单价,
Reason,原因,
Receiver By Role,按角色指定接收人,
Recipients,收件人,
Reload,重新加载,
Remarks,备注,
Restaurant,餐厅,
Restaurant Menu,餐厅菜单,
Restaurant Table,餐桌,
Role,角色,
Room,房间,
Room Type,房型,
Session Defaults,会话默认值,
Status,状态,
Submitted,已提交,
Summary,概要,
System Manager,系统管理员,
Table,表,
Tax,税项,
Time,时间,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Total Quantity,总数量,
Type,类型,
User,用户,
User Details,使用者详细资料,
Verified,已验证,
View Website,查看网站,
Warehouse,仓库,
user,用户,
